OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F11_Linkoping_gcs_PET_Nov_OID,F11_Linkoping_gcs_PET_Nov_FID_,F11_Linkoping_gcs_PET_Nov_COUNT,F11_Linkoping_gcs_PET_Nov_AREA,F11_Linkoping_gcs_PET_Nov_MEAN
-1,Linkoping,1,58.413660000000000,15.616339999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,0.377900000000000,11.610799999999999,0.032500000000000,0,0,1,0.000069444451688,6.000000000000000
-1,Linkoping,2,58.411239999999999,15.618840000000001,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,0.181800000000000,11.610799999999999,0.015700000000000,1,1,1,0.000069444451688,6.000000000000000
-1,Linkoping,3,58.407510000000002,15.620520000000001,20,3,0.150000000000000,58.411800999999997,15.621772000000000,Europe,0.482700000000000,11.610799999999999,0.041600000000000,2,2,1,0.000069444451688,6.000000000000000
-1,Linkoping,4,58.404550000000000,15.621639999999999,18,1,0.056000000000000,58.411800999999997,15.621772000000000,Europe,0.806300000000000,11.610799999999999,0.069400000000000,,,,,
-1,Linkoping,5,58.403739999999999,15.626640000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,0.940100000000000,11.610799999999999,0.081000000000000,3,4,1,0.000069444451688,6.000000000000000
-1,Linkoping,6,58.401750000000000,15.629080000000000,16,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,1.196000000000000,11.610799999999999,0.103000000000000,,,,,
-1,Linkoping,7,58.403350000000003,15.631110000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,1.085800000000000,11.610799999999999,0.093500000000000,,,,,
-1,Linkoping,8,58.402560000000001,15.633060000000000,20,2,0.100000000000000,58.411800999999997,15.621772000000000,Europe,1.219900000000000,11.610799999999999,0.105100000000000,,,,,
-1,Linkoping,9,58.397790000000001,15.636030000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,1.765500000000000,11.610799999999999,0.152100000000000,4,8,1,0.000069444451688,6.000000000000000
-1,Linkoping,10,58.396569999999997,15.639670000000001,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,1.988900000000000,11.610799999999999,0.171300000000000,,,,,
-1,Linkoping,11,58.394750000000002,15.639340000000001,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,2.154600000000000,11.610799999999999,0.185600000000000,,,,,
