OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F6_Atlanta_gcs_PET_Jun_OID,F6_Atlanta_gcs_PET_Jun_FID_,F6_Atlanta_gcs_PET_Jun_COUNT,F6_Atlanta_gcs_PET_Jun_AREA,F6_Atlanta_gcs_PET_Jun_MEAN
-1,Atlanta,1,33.580930000000002,-84.690669999999997,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,34.193899999999999,34.193899999999999,1.000000000000000,0,0,1,0.000069444451688,172.000000000000000
-1,Atlanta,2,33.578659999999999,-84.680070000000001,14,8,0.571000000000000,33.757758000000003,-84.388372000000004,North America,33.545600000000000,34.193899999999999,0.981000000000000,1,1,1,0.000069444451688,172.000000000000000
-1,Atlanta,3,33.575249999999997,-84.671090000000007,14,6,0.429000000000000,33.757758000000003,-84.388372000000004,North America,33.112000000000002,34.193899999999999,0.968400000000000,2,2,1,0.000069444451688,172.000000000000000
-1,Atlanta,4,33.572519999999997,-84.662850000000006,15,12,0.800000000000000,33.757758000000003,-84.388372000000004,North America,32.703499999999998,34.193899999999999,0.956400000000000,3,3,1,0.000069444451688,172.000000000000000
-1,Atlanta,5,33.572719999999997,-84.651049999999998,13,8,0.615000000000000,33.757758000000003,-84.388372000000004,North America,31.848299999999998,34.193899999999999,0.931400000000000,4,4,1,0.000069444451688,172.000000000000000
-1,Atlanta,6,33.571770000000001,-84.638090000000005,13,11,0.846000000000000,33.757758000000003,-84.388372000000004,North America,31.012899999999998,34.193899999999999,0.907000000000000,5,5,1,0.000069444451688,171.000000000000000
-1,Atlanta,7,33.575299999999999,-84.630420000000001,15,11,0.733000000000000,33.757758000000003,-84.388372000000004,North America,30.222400000000000,34.193899999999999,0.883900000000000,6,6,1,0.000069444451688,171.000000000000000
-1,Atlanta,8,33.573610000000002,-84.619069999999994,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,29.582200000000000,34.193899999999999,0.865100000000000,7,7,1,0.000069444451688,171.000000000000000
-1,Atlanta,9,33.574739999999998,-84.609139999999996,15,7,0.467000000000000,33.757758000000003,-84.388372000000004,North America,28.837100000000000,34.193899999999999,0.843300000000000,8,8,1,0.000069444451688,171.000000000000000
-1,Atlanta,10,33.574919999999999,-84.598910000000004,15,6,0.400000000000000,33.757758000000003,-84.388372000000004,North America,28.159800000000001,34.193899999999999,0.823500000000000,9,9,1,0.000069444451688,171.000000000000000
-1,Atlanta,11,33.568860000000001,-84.584800000000001,15,4,0.267000000000000,33.757758000000003,-84.388372000000004,North America,27.778900000000000,34.193899999999999,0.812400000000000,10,10,1,0.000069444451688,171.000000000000000
-1,Atlanta,12,33.570000000000000,-84.574179999999998,15,3,0.200000000000000,33.757758000000003,-84.388372000000004,North America,27.047899999999998,34.193899999999999,0.791000000000000,11,11,1,0.000069444451688,171.000000000000000
-1,Atlanta,13,33.576850000000000,-84.559420000000003,15,8,0.533000000000000,33.757758000000003,-84.388372000000004,North America,25.597400000000000,34.193899999999999,0.748600000000000,12,12,1,0.000069444451688,171.000000000000000
