OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_Detroit_gcs_PET_Jul_OID,F7_Detroit_gcs_PET_Jul_FID_,F7_Detroit_gcs_PET_Jul_COUNT,F7_Detroit_gcs_PET_Jul_AREA,F7_Detroit_gcs_PET_Jul_MEAN
-1,Detroit,1,41.945850000000000,-83.559169999999995,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,60.250700000000002,60.250700000000002,1.000000000000000,0,0,1,0.000069444451688,169.000000000000000
-1,Detroit,2,41.961150000000004,-83.548460000000006,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,58.416600000000003,60.250700000000002,0.969600000000000,1,1,1,0.000069444451688,168.000000000000000
-1,Detroit,3,41.977969999999999,-83.537120000000002,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,56.432499999999997,60.250700000000002,0.936600000000000,2,2,1,0.000069444451688,167.000000000000000
-1,Detroit,4,41.994320000000002,-83.528189999999995,15,11,0.733000000000000,42.332939000000003,-83.047836000000004,North America,54.636800000000001,60.250700000000002,0.906800000000000,3,3,1,0.000069444451688,167.000000000000000
-1,Detroit,5,42.008719999999997,-83.508650000000003,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,52.363199999999999,60.250700000000002,0.869100000000000,4,4,1,0.000069444451688,167.000000000000000
-1,Detroit,6,42.021220000000000,-83.496650000000002,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,50.687399999999997,60.250700000000002,0.841300000000000,5,5,1,0.000069444451688,167.000000000000000
-1,Detroit,7,42.027749999999997,-83.479650000000007,15,2,0.133000000000000,42.332939000000003,-83.047836000000004,North America,49.169300000000000,60.250700000000002,0.816100000000000,6,6,1,0.000069444451688,166.000000000000000
-1,Detroit,8,42.041379999999997,-83.474810000000005,15,1,0.067000000000000,42.332939000000003,-83.047836000000004,North America,47.838999999999999,60.250700000000002,0.794000000000000,7,7,1,0.000069444451688,166.000000000000000
-1,Detroit,9,42.057910000000000,-83.479860000000002,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,46.924199999999999,60.250700000000002,0.778800000000000,8,8,1,0.000069444451688,166.000000000000000
-1,Detroit,10,42.072940000000003,-83.457560000000001,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,44.438699999999997,60.250700000000002,0.737600000000000,9,9,1,0.000069444451688,166.000000000000000
-1,Detroit,11,42.073290000000000,-83.430719999999994,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,42.757599999999996,60.250700000000002,0.709700000000000,10,10,1,0.000069444451688,165.000000000000000
-1,Detroit,12,42.087589999999999,-83.425929999999994,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,41.400199999999998,60.250700000000002,0.687100000000000,11,11,1,0.000069444451688,164.000000000000000
-1,Detroit,13,42.093640000000001,-83.405510000000007,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,39.695399999999999,60.250700000000002,0.658800000000000,12,12,1,0.000069444451688,164.000000000000000
