OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Charlottetown_gcs_PET_Dec_OID,F12_Charlottetown_gcs_PET_Dec_FID_,F12_Charlottetown_gcs_PET_Dec_COUNT,F12_Charlottetown_gcs_PET_Dec_AREA,F12_Charlottetown_gcs_PET_Dec_MEAN
-1,Charlottetown,1,46.232669999999999,-63.120989999999999,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,0.523900000000000,14.450300000000000,0.036300000000000,,,,,
-1,Charlottetown,2,46.234400000000001,-63.125439999999998,20,9,0.450000000000000,46.235419999999998,-63.126519999999999,North America,0.140600000000000,14.450300000000000,0.009700000000000,0,1,1,0.000069444451688,11.000000000000000
-1,Charlottetown,3,46.236860000000000,-63.129030000000000,20,11,0.550000000000000,46.235419999999998,-63.126519999999999,North America,0.250800000000000,14.450300000000000,0.017400000000000,,,,,
-1,Charlottetown,4,46.239620000000002,-63.130740000000003,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,0.568700000000000,14.450300000000000,0.039400000000000,,,,,
-1,Charlottetown,5,46.242010000000001,-63.132710000000003,20,2,0.100000000000000,46.235419999999998,-63.126519999999999,North America,0.873800000000000,14.450300000000000,0.060500000000000,1,4,1,0.000069444451688,11.000000000000000
-1,Charlottetown,6,46.244970000000002,-63.134120000000003,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,1.212100000000000,14.450300000000000,0.083900000000000,2,5,1,0.000069444451688,11.000000000000000
-1,Charlottetown,7,46.247700000000002,-63.135829999999999,20,3,0.150000000000000,46.235419999999998,-63.126519999999999,North America,1.541800000000000,14.450300000000000,0.106700000000000,,,,,
-1,Charlottetown,8,46.250190000000003,-63.137749999999997,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,1.855600000000000,14.450300000000000,0.128400000000000,3,7,1,0.000069444451688,10.000000000000000
-1,Charlottetown,9,46.253200000000000,-63.139170000000000,20,5,0.250000000000000,46.235419999999998,-63.126519999999999,North America,2.203400000000000,14.450300000000000,0.152500000000000,,,,,
-1,Charlottetown,10,46.255740000000003,-63.140749999999997,20,3,0.150000000000000,46.235419999999998,-63.126519999999999,North America,2.510500000000000,14.450300000000000,0.173700000000000,,,,,
-1,Charlottetown,11,46.258330000000001,-63.142780000000002,20,10,0.500000000000000,46.235419999999998,-63.126519999999999,North America,2.837800000000000,14.450300000000000,0.196400000000000,4,10,1,0.000069444451688,10.000000000000000
-1,Charlottetown,12,46.260719999999999,-63.144939999999998,19,7,0.368000000000000,46.235419999999998,-63.126519999999999,North America,3.149700000000000,14.450300000000000,0.218000000000000,5,11,1,0.000069444451688,10.000000000000000
-1,Charlottetown,13,46.263520000000000,-63.146560000000001,19,7,0.368000000000000,46.235419999999998,-63.126519999999999,North America,3.483900000000000,14.450300000000000,0.241100000000000,,,,,
-1,Charlottetown,14,46.266570000000002,-63.147320000000001,20,4,0.200000000000000,46.235419999999998,-63.126519999999999,North America,3.815100000000000,14.450300000000000,0.264000000000000,,,,,
-1,Charlottetown,15,46.269269999999999,-63.149329999999999,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,4.152500000000000,14.450300000000000,0.287400000000000,6,14,1,0.000069444451688,10.000000000000000
-1,Charlottetown,16,46.271529999999998,-63.151969999999999,20,5,0.250000000000000,46.235419999999998,-63.126519999999999,North America,4.466700000000000,14.450300000000000,0.309100000000000,7,15,1,0.000069444451688,10.000000000000000
-1,Charlottetown,17,46.275260000000003,-63.153199999999998,20,7,0.350000000000000,46.235419999999998,-63.126519999999999,North America,4.881900000000000,14.450300000000000,0.337800000000000,8,16,1,0.000069444451688,10.000000000000000
-1,Charlottetown,18,46.278610000000000,-63.155700000000003,20,5,0.250000000000000,46.235419999999998,-63.126519999999999,North America,5.300700000000000,14.450300000000000,0.366800000000000,,,,,
-1,Charlottetown,19,46.281070000000000,-63.157890000000002,20,9,0.450000000000000,46.235419999999998,-63.126519999999999,North America,5.619900000000000,14.450300000000000,0.388900000000000,,,,,
-1,Charlottetown,20,46.283709999999999,-63.161479999999997,20,14,0.700000000000000,46.235419999999998,-63.126519999999999,North America,6.004700000000000,14.450300000000000,0.415500000000000,9,19,1,0.000069444451688,10.000000000000000
-1,Charlottetown,21,46.285350000000001,-63.164040000000000,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,6.256600000000000,14.450300000000000,0.433000000000000,,,,,
-1,Charlottetown,22,46.287210000000002,-63.167020000000001,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,6.546600000000000,14.450300000000000,0.453000000000000,10,21,1,0.000069444451688,10.000000000000000
-1,Charlottetown,23,46.289720000000003,-63.172020000000003,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,6.977900000000000,14.450300000000000,0.482900000000000,,,,,
-1,Charlottetown,24,46.293080000000003,-63.172930000000001,19,12,0.632000000000000,46.235419999999998,-63.126519999999999,North America,7.337300000000000,14.450300000000000,0.507800000000000,11,23,1,0.000069444451688,10.000000000000000
-1,Charlottetown,25,46.296190000000003,-63.174289999999999,20,7,0.350000000000000,46.235419999999998,-63.126519999999999,North America,7.690600000000000,14.450300000000000,0.532200000000000,,,,,
-1,Charlottetown,26,46.299419999999998,-63.176079999999999,20,4,0.200000000000000,46.235419999999998,-63.126519999999999,North America,8.071999999999999,14.450300000000000,0.558600000000000,12,25,1,0.000069444451688,10.000000000000000
-1,Charlottetown,27,46.302320000000002,-63.177230000000002,19,5,0.263000000000000,46.235419999999998,-63.126519999999999,North America,8.398300000000001,14.450300000000000,0.581200000000000,13,26,1,0.000069444451688,10.000000000000000
-1,Charlottetown,28,46.305160000000001,-63.178719999999998,20,11,0.550000000000000,46.235419999999998,-63.126519999999999,North America,8.731199999999999,14.450300000000000,0.604200000000000,,,,,
-1,Charlottetown,29,46.307980000000001,-63.180030000000002,20,7,0.350000000000000,46.235419999999998,-63.126519999999999,North America,9.056100000000001,14.450300000000000,0.626700000000000,,,,,
-1,Charlottetown,30,46.311000000000000,-63.181330000000003,20,7,0.350000000000000,46.235419999999998,-63.126519999999999,North America,9.400900000000000,14.450300000000000,0.650600000000000,14,29,1,0.000069444451688,10.000000000000000
-1,Charlottetown,31,46.313699999999997,-63.182899999999997,20,7,0.350000000000000,46.235419999999998,-63.126519999999999,North America,9.723300000000000,14.450300000000000,0.672900000000000,,,,,
-1,Charlottetown,32,46.316670000000002,-63.183979999999998,20,3,0.150000000000000,46.235419999999998,-63.126519999999999,North America,10.056200000000000,14.450300000000000,0.695900000000000,15,31,1,0.000069444451688,10.000000000000000
-1,Charlottetown,33,46.319440000000000,-63.185450000000003,20,2,0.100000000000000,46.235419999999998,-63.126519999999999,North America,10.382500000000000,14.450300000000000,0.718500000000000,16,32,1,0.000069444451688,10.000000000000000
-1,Charlottetown,34,46.322260000000000,-63.186760000000000,20,9,0.450000000000000,46.235419999999998,-63.126519999999999,North America,10.708600000000001,14.450300000000000,0.741100000000000,,,,,
-1,Charlottetown,35,46.325060000000001,-63.187959999999997,20,10,0.500000000000000,46.235419999999998,-63.126519999999999,North America,11.029299999999999,14.450300000000000,0.763300000000000,17,34,1,0.000069444451688,10.000000000000000
-1,Charlottetown,36,46.328000000000003,-63.189349999999997,20,5,0.250000000000000,46.235419999999998,-63.126519999999999,North America,11.370500000000000,14.450300000000000,0.786900000000000,,,,,
-1,Charlottetown,37,46.331090000000003,-63.190759999999997,20,3,0.150000000000000,46.235419999999998,-63.126519999999999,North America,11.727600000000001,14.450300000000000,0.811600000000000,,,,,
-1,Charlottetown,38,46.333880000000001,-63.191989999999997,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,12.048900000000000,14.450300000000000,0.833800000000000,18,37,1,0.000069444451688,10.000000000000000
-1,Charlottetown,39,46.336750000000002,-63.193219999999997,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,12.378299999999999,14.450300000000000,0.856600000000000,,,,,
-1,Charlottetown,40,46.339759999999998,-63.194650000000003,20,9,0.450000000000000,46.235419999999998,-63.126519999999999,North America,12.728500000000000,14.450300000000000,0.880800000000000,,,,,
-1,Charlottetown,41,46.342750000000002,-63.195900000000002,20,7,0.350000000000000,46.235419999999998,-63.126519999999999,North America,13.071099999999999,14.450300000000000,0.904600000000000,19,40,1,0.000069444451688,10.000000000000000
-1,Charlottetown,42,46.345689999999998,-63.196890000000003,20,10,0.500000000000000,46.235419999999998,-63.126519999999999,North America,13.400700000000001,14.450300000000000,0.927400000000000,,,,,
-1,Charlottetown,43,46.348730000000003,-63.198070000000001,15,4,0.267000000000000,46.235419999999998,-63.126519999999999,North America,13.746600000000001,14.450300000000000,0.951300000000000,,,,,
-1,Charlottetown,44,46.351779999999998,-63.199359999999999,20,8,0.400000000000000,46.235419999999998,-63.126519999999999,North America,14.097099999999999,14.450300000000000,0.975600000000000,20,43,1,0.000069444451688,10.000000000000000
-1,Charlottetown,45,46.354920000000000,-63.200429999999997,20,5,0.250000000000000,46.235419999999998,-63.126519999999999,North America,14.450300000000000,14.450300000000000,1.000000000000000,21,44,1,0.000069444451688,10.000000000000000
