OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Denver_gcs_PET_Dec_OID,F12_Denver_gcs_PET_Dec_FID_,F12_Denver_gcs_PET_Dec_COUNT,F12_Denver_gcs_PET_Dec_AREA,F12_Denver_gcs_PET_Dec_MEAN
-1,Denver,1,39.738799999999998,-104.989900000000006,20,0,0.000000000000000,39.745485000000002,-104.990108000000006,North America,0.743600000000000,58.245800000000003,0.012800000000000,0,0,1,0.000069444451688,27.000000000000000
-1,Denver,2,39.730400000000003,-104.983900000000006,20,1,0.050000000000000,39.745485000000002,-104.990108000000006,North America,1.759400000000000,58.245800000000003,0.030200000000000,1,1,1,0.000069444451688,27.000000000000000
-1,Denver,3,39.722499999999997,-104.985399999999998,20,11,0.550000000000000,39.745485000000002,-104.990108000000006,North America,2.587300000000000,58.245800000000003,0.044400000000000,2,2,1,0.000069444451688,28.000000000000000
-1,Denver,4,39.716999999999999,-104.985100000000003,20,7,0.350000000000000,39.745485000000002,-104.990108000000006,North America,3.196200000000000,58.245800000000003,0.054900000000000,,,,,
-1,Denver,5,39.709400000000002,-104.985600000000005,20,3,0.150000000000000,39.745485000000002,-104.990108000000006,North America,4.030900000000000,58.245800000000003,0.069200000000000,3,4,1,0.000069444451688,28.000000000000000
-1,Denver,6,39.701900000000002,-104.984800000000007,18,3,0.167000000000000,39.745485000000002,-104.990108000000006,North America,4.867600000000000,58.245800000000003,0.083600000000000,4,5,1,0.000069444451688,28.000000000000000
-1,Denver,7,39.693100000000001,-104.986599999999996,20,10,0.500000000000000,39.745485000000002,-104.990108000000006,North America,5.832700000000000,58.245800000000003,0.100100000000000,5,6,1,0.000069444451688,28.000000000000000
-1,Denver,8,39.688499999999998,-104.983999999999995,19,1,0.053000000000000,39.745485000000002,-104.990108000000006,North America,6.357900000000000,58.245800000000003,0.109200000000000,6,7,1,0.000069444451688,28.000000000000000
-1,Denver,9,39.675300000000000,-104.978999999999999,20,3,0.150000000000000,39.745485000000002,-104.990108000000006,North America,7.861800000000000,58.245800000000003,0.135000000000000,7,8,1,0.000069444451688,28.000000000000000
-1,Denver,10,39.670200000000001,-104.984099999999998,20,3,0.150000000000000,39.745485000000002,-104.990108000000006,North America,8.387100000000000,58.245800000000003,0.144000000000000,8,9,1,0.000069444451688,28.000000000000000
-1,Denver,11,39.658999999999999,-104.979500000000002,20,8,0.400000000000000,39.745485000000002,-104.990108000000006,North America,9.659400000000000,58.245800000000003,0.165800000000000,9,10,1,0.000069444451688,28.000000000000000
-1,Denver,12,39.650700000000001,-104.988299999999995,20,2,0.100000000000000,39.745485000000002,-104.990108000000006,North America,10.540699999999999,58.245800000000003,0.181000000000000,10,11,1,0.000069444451688,28.000000000000000
-1,Denver,13,39.648800000000001,-104.978399999999993,20,3,0.150000000000000,39.745485000000002,-104.990108000000006,North America,10.797400000000000,58.245800000000003,0.185400000000000,11,12,1,0.000069444451688,28.000000000000000
-1,Denver,14,39.640700000000002,-104.999700000000004,20,4,0.200000000000000,39.745485000000002,-104.990108000000006,North America,11.680400000000001,58.245800000000003,0.200500000000000,12,13,1,0.000069444451688,28.000000000000000
-1,Denver,15,39.632800000000003,-104.992500000000007,19,7,0.368000000000000,39.745485000000002,-104.990108000000006,North America,12.531700000000001,58.245800000000003,0.215200000000000,13,14,1,0.000069444451688,28.000000000000000
-1,Denver,16,39.618499999999997,-104.981600000000000,20,1,0.050000000000000,39.745485000000002,-104.990108000000006,North America,14.138800000000000,58.245800000000003,0.242700000000000,14,15,1,0.000069444451688,28.000000000000000
-1,Denver,17,39.614300000000000,-104.986000000000004,18,2,0.111000000000000,39.745485000000002,-104.990108000000006,North America,14.591300000000000,58.245800000000003,0.250500000000000,15,16,1,0.000069444451688,28.000000000000000
-1,Denver,18,39.610500000000002,-104.991600000000005,19,2,0.105000000000000,39.745485000000002,-104.990108000000006,North America,15.010199999999999,58.245800000000003,0.257700000000000,,,,,
-1,Denver,19,39.597000000000001,-104.990099999999998,20,2,0.100000000000000,39.745485000000002,-104.990108000000006,North America,16.510800000000000,58.245800000000003,0.283500000000000,16,18,1,0.000069444451688,28.000000000000000
-1,Denver,20,39.593600000000002,-104.992800000000003,18,6,0.333000000000000,39.745485000000002,-104.990108000000006,North America,16.890400000000000,58.245800000000003,0.290000000000000,17,19,1,0.000069444451688,28.000000000000000
