OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,chicago_023031_20140721_NDVI_pcs_OID,chicago_023031_20140721_NDVI_pcs_FID_,chicago_023031_20140721_NDVI_pcs_COUNT,chicago_023031_20140721_NDVI_pcs_AREA,chicago_023031_20140721_NDVI_pcs_MEAN
-1,Chicago,1,41.851070000000000,-87.742540000000005,15,0,0.000000000000000,41.878112999999999,-87.629799000000006,North America,9.808400000000001,71.106300000000005,0.137900000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.157713869001000
-1,Chicago,2,41.862160000000003,-87.744969999999995,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,9.699999999999999,71.106300000000005,0.136400000000000,100.000000000000000,1,1,1,33,29700.000000000000000,0.271943537575000
-1,Chicago,3,41.875059999999998,-87.744649999999993,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,9.515000000000001,71.106300000000005,0.133800000000000,100.000000000000000,2,2,2,37,33300.000000000000000,0.312106659284000
-1,Chicago,4,41.891350000000003,-87.745230000000006,15,0,0.000000000000000,41.878112999999999,-87.629799000000006,North America,9.668500000000000,71.106300000000005,0.136000000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.363984890495000
-1,Chicago,5,41.901400000000002,-87.746390000000005,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,9.992400000000000,71.106300000000005,0.140500000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.270505783976000
-1,Chicago,6,41.911420000000000,-87.745170000000002,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,10.242300000000000,71.106300000000005,0.144000000000000,100.000000000000000,5,5,5,34,30600.000000000000000,0.302834863610000
-1,Chicago,7,41.923330000000000,-87.746889999999993,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,10.917500000000000,71.106300000000005,0.153500000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.248149713661000
-1,Chicago,8,41.936770000000003,-87.745590000000007,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,11.591300000000000,71.106300000000005,0.163000000000000,100.000000000000000,7,7,7,32,28800.000000000000000,0.244770654477000
-1,Chicago,9,41.951610000000002,-87.746390000000005,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,12.643500000000000,71.106300000000005,0.177800000000000,100.000000000000000,8,8,8,32,28800.000000000000000,0.275257823756000
-1,Chicago,10,41.963419999999999,-87.756360000000001,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,14.128900000000000,71.106300000000005,0.198700000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.298108933493000
-1,Chicago,11,41.973390000000002,-87.764589999999998,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,15.381500000000001,71.106300000000005,0.216300000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.362303313696000
-1,Chicago,12,41.986350000000002,-87.776790000000005,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,17.108499999999999,71.106300000000005,0.240600000000000,100.000000000000000,11,11,11,36,32400.000000000000000,0.305406821478000
