OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,antwerp_198024_20180726_NDVI_pcs_OID,antwerp_198024_20180726_NDVI_pcs_FID_,antwerp_198024_20180726_NDVI_pcs_COUNT,antwerp_198024_20180726_NDVI_pcs_AREA,antwerp_198024_20180726_NDVI_pcs_MEAN
-1,Antwerp,1,51.225299999999997,4.399610000000000,19,3,0.158000000000000,51.219448000000000,4.402464000000000,Europe,0.680400000000000,14.071199999999999,0.048400000000000,100.000000000000000,0,0,0,33,29700.000000000000000,0.143446830525000
-1,Antwerp,2,51.220880000000001,4.396790000000000,16,0,0.000000000000000,51.219448000000000,4.402464000000000,Europe,0.426000000000000,14.071199999999999,0.030300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.127477319698000
-1,Antwerp,3,51.211860000000001,4.414960000000000,16,2,0.125000000000000,51.219448000000000,4.402464000000000,Europe,1.212200000000000,14.071199999999999,0.086100000000000,100.000000000000000,2,2,2,36,32400.000000000000000,0.652144352595000
-1,Antwerp,4,51.211660000000002,4.411640000000000,20,1,0.050000000000000,51.219448000000000,4.402464000000000,Europe,1.076300000000000,14.071199999999999,0.076500000000000,100.000000000000000,3,3,3,33,29700.000000000000000,0.465939797461000
-1,Antwerp,5,51.206820000000000,4.419230000000000,20,0,0.000000000000000,51.219448000000000,4.402464000000000,Europe,1.826300000000000,14.071199999999999,0.129800000000000,100.000000000000000,4,4,4,34,30600.000000000000000,0.326930296333000
-1,Antwerp,6,51.203130000000002,4.423140000000000,20,7,0.350000000000000,51.219448000000000,4.402464000000000,Europe,2.316600000000000,14.071199999999999,0.164600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.375058315481000
-1,Antwerp,7,51.200820000000000,4.413030000000000,19,0,0.000000000000000,51.219448000000000,4.402464000000000,Europe,2.198200000000000,14.071199999999999,0.156200000000000,100.000000000000000,6,6,6,32,28800.000000000000000,0.485979754012000
-1,Antwerp,8,51.198960000000000,4.411730000000000,20,4,0.200000000000000,51.219448000000000,4.402464000000000,Europe,2.367800000000000,14.071199999999999,0.168300000000000,100.000000000000000,7,7,7,32,28800.000000000000000,0.511364678154000
-1,Antwerp,9,51.198889999999999,4.401180000000000,16,2,0.125000000000000,51.219448000000000,4.402464000000000,Europe,2.287700000000000,14.071199999999999,0.162600000000000,100.000000000000000,8,8,8,36,32400.000000000000000,0.625370160987000
-1,Antwerp,10,51.195140000000002,4.405470000000000,20,0,0.000000000000000,51.219448000000000,4.402464000000000,Europe,2.711000000000000,14.071199999999999,0.192700000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.616329514980000
-1,Antwerp,11,51.190010000000001,4.445130000000000,20,1,0.050000000000000,51.219448000000000,4.402464000000000,Europe,4.421600000000000,14.071199999999999,0.314200000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.580721604663000
-1,Antwerp,12,51.187770000000000,4.442980000000000,19,2,0.105000000000000,51.219448000000000,4.402464000000000,Europe,4.513900000000000,14.071199999999999,0.320800000000000,100.000000000000000,11,11,11,36,32400.000000000000000,0.493253819231000
-1,Antwerp,13,51.184280000000001,4.439040000000000,18,0,0.000000000000000,51.219448000000000,4.402464000000000,Europe,4.667600000000000,14.071199999999999,0.331700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.575497361592000
-1,Antwerp,14,51.189360000000001,4.430240000000000,18,0,0.000000000000000,51.219448000000000,4.402464000000000,Europe,3.865000000000000,14.071199999999999,0.274700000000000,100.000000000000000,13,13,13,36,32400.000000000000000,0.588526179393000
-1,Antwerp,15,51.189790000000002,4.426170000000000,17,1,0.059000000000000,51.219448000000000,4.402464000000000,Europe,3.688300000000000,14.071199999999999,0.262100000000000,100.000000000000000,14,14,14,37,33300.000000000000000,0.522589443906000
-1,Antwerp,16,51.190700000000000,4.423130000000000,18,2,0.111000000000000,51.219448000000000,4.402464000000000,Europe,3.505900000000000,14.071199999999999,0.249200000000000,100.000000000000000,15,15,15,32,28800.000000000000000,0.358599149855000
-1,Antwerp,17,51.179380000000002,4.432140000000000,16,2,0.125000000000000,51.219448000000000,4.402464000000000,Europe,4.911800000000000,14.071199999999999,0.349100000000000,100.000000000000000,16,16,16,36,32400.000000000000000,0.348843858681000
-1,Antwerp,18,51.170130000000000,4.433380000000000,18,4,0.222000000000000,51.219448000000000,4.402464000000000,Europe,5.891900000000000,14.071199999999999,0.418700000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.496957577978000
-1,Antwerp,19,51.160930000000000,4.425760000000000,16,3,0.188000000000000,51.219448000000000,4.402464000000000,Europe,6.706400000000000,14.071199999999999,0.476600000000000,100.000000000000000,18,18,18,34,30600.000000000000000,0.517895042020000
