OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,detroit_020031_20140614_NDVI_pcs_OID,detroit_020031_20140614_NDVI_pcs_FID_,detroit_020031_20140614_NDVI_pcs_COUNT,detroit_020031_20140614_NDVI_pcs_AREA,detroit_020031_20140614_NDVI_pcs_MEAN
-1,Detroit,1,41.945850000000000,-83.559169999999995,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,60.250700000000002,60.250700000000002,1.000000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.471111802544000
-1,Detroit,2,41.961150000000004,-83.548460000000006,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,58.416600000000003,60.250700000000002,0.969600000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.531609201597000
-1,Detroit,3,41.977969999999999,-83.537120000000002,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,56.432499999999997,60.250700000000002,0.936600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.568977076667000
-1,Detroit,4,41.994320000000002,-83.528189999999995,15,11,0.733000000000000,42.332939000000003,-83.047836000000004,North America,54.636800000000001,60.250700000000002,0.906800000000000,100.000000000000000,3,3,3,32,28800.000000000000000,0.547093146481000
-1,Detroit,5,42.008719999999997,-83.508650000000003,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,52.363199999999999,60.250700000000002,0.869100000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.626954220022000
-1,Detroit,6,42.021220000000000,-83.496650000000002,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,50.687399999999997,60.250700000000002,0.841300000000000,100.000000000000000,5,5,5,32,28800.000000000000000,0.313456575386000
-1,Detroit,7,42.027749999999997,-83.479650000000007,15,2,0.133000000000000,42.332939000000003,-83.047836000000004,North America,49.169300000000000,60.250700000000002,0.816100000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.405249749763000
-1,Detroit,8,42.041379999999997,-83.474810000000005,15,1,0.067000000000000,42.332939000000003,-83.047836000000004,North America,47.838999999999999,60.250700000000002,0.794000000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.247238449752000
-1,Detroit,9,42.057910000000000,-83.479860000000002,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,46.924199999999999,60.250700000000002,0.778800000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.633267145497000
-1,Detroit,10,42.072940000000003,-83.457560000000001,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,44.438699999999997,60.250700000000002,0.737600000000000,100.000000000000000,9,9,9,37,33300.000000000000000,0.603719241716000
-1,Detroit,11,42.073290000000000,-83.430719999999994,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,42.757599999999996,60.250700000000002,0.709700000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.494199918734000
-1,Detroit,12,42.087589999999999,-83.425929999999994,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,41.400199999999998,60.250700000000002,0.687100000000000,100.000000000000000,11,11,11,33,29700.000000000000000,0.500615060781000
-1,Detroit,13,42.093640000000001,-83.405510000000007,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,39.695399999999999,60.250700000000002,0.658800000000000,100.000000000000000,12,12,12,32,28800.000000000000000,0.685845846310000
-1,Detroit,14,42.093840000000000,-83.372879999999995,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,37.728600000000000,60.250700000000002,0.626200000000000,100.000000000000000,13,13,13,32,28800.000000000000000,0.628138000146000
-1,Detroit,15,42.093980000000002,-83.343919999999997,15,0,0.000000000000000,42.332939000000003,-83.047836000000004,North America,36.064000000000000,60.250700000000002,0.598600000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.740980754580000
-1,Detroit,16,42.094099999999997,-83.319379999999995,15,5,0.333000000000000,42.332939000000003,-83.047836000000004,North America,34.719200000000001,60.250700000000002,0.576200000000000,100.000000000000000,15,15,15,36,32400.000000000000000,0.641007754538000
-1,Detroit,17,42.094690000000000,-83.294269999999997,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,33.372500000000002,60.250700000000002,0.553900000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.499513387893000
-1,Detroit,18,42.111559999999997,-83.283379999999994,15,5,0.333000000000000,42.332939000000003,-83.047836000000004,North America,31.339300000000001,60.250700000000002,0.520100000000000,100.000000000000000,17,17,17,36,32400.000000000000000,0.344123969475000
-1,Detroit,19,42.128549999999997,-83.272340000000000,15,8,0.533000000000000,42.332939000000003,-83.047836000000004,North America,29.294799999999999,60.250700000000002,0.486200000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.550102313501000
-1,Detroit,20,42.142449999999997,-83.262649999999994,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,27.593299999999999,60.250700000000002,0.458000000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.675976184436000
-1,Detroit,21,42.158000000000001,-83.248589999999993,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,25.523800000000001,60.250700000000002,0.423600000000000,100.000000000000000,20,20,20,36,32400.000000000000000,0.443727641884000
-1,Detroit,22,42.174320000000002,-83.237089999999995,15,5,0.333000000000000,42.332939000000003,-83.047836000000004,North America,23.530999999999999,60.250700000000002,0.390600000000000,100.000000000000000,21,21,21,33,29700.000000000000000,0.355614796732000
-1,Detroit,23,42.188650000000003,-83.222530000000006,15,8,0.533000000000000,42.332939000000003,-83.047836000000004,North America,21.542899999999999,60.250700000000002,0.357600000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.536755159923000
-1,Detroit,24,42.202779999999997,-83.206249999999997,15,5,0.333000000000000,42.332939000000003,-83.047836000000004,North America,19.477699999999999,60.250700000000002,0.323300000000000,100.000000000000000,23,23,23,32,28800.000000000000000,0.273059005383000
-1,Detroit,25,42.217700000000001,-83.192859999999996,15,8,0.533000000000000,42.332939000000003,-83.047836000000004,North America,17.509100000000000,60.250700000000002,0.290600000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.423129978137000
-1,Detroit,26,42.234879999999997,-83.194230000000005,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,16.245699999999999,60.250700000000002,0.269600000000000,100.000000000000000,25,25,25,32,28800.000000000000000,0.372330298647000
-1,Detroit,27,42.252090000000003,-83.194320000000005,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,15.032999999999999,60.250700000000002,0.249500000000000,100.000000000000000,26,26,26,34,30600.000000000000000,0.279084758723000
-1,Detroit,28,42.267960000000002,-83.182119999999998,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,13.197400000000000,60.250700000000002,0.219000000000000,100.000000000000000,27,27,27,37,33300.000000000000000,0.308461592508000
-1,Detroit,29,42.282789999999999,-83.169970000000006,15,2,0.133000000000000,42.332939000000003,-83.047836000000004,North America,11.487600000000000,60.250700000000002,0.190700000000000,100.000000000000000,28,28,28,36,32400.000000000000000,0.351356115606000
-1,Detroit,30,42.291429999999998,-83.144940000000005,15,11,0.733000000000000,42.332939000000003,-83.047836000000004,North America,9.222700000000000,60.250700000000002,0.153100000000000,100.000000000000000,29,29,29,32,28800.000000000000000,0.461620954098000
-1,Detroit,31,42.300210000000000,-83.120130000000003,11,4,0.364000000000000,42.332939000000003,-83.047836000000004,North America,6.969700000000000,60.250700000000002,0.115700000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.195780207642000
-1,Detroit,32,42.308340000000001,-83.095939999999999,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,4.808700000000000,60.250700000000002,0.079800000000000,100.000000000000000,31,31,31,32,28800.000000000000000,0.430436043069000
-1,Detroit,33,42.313890000000001,-83.082220000000007,15,5,0.333000000000000,42.332939000000003,-83.047836000000004,North America,3.532300000000000,60.250700000000002,0.058600000000000,100.000000000000000,32,32,32,35,31500.000000000000000,0.518447809560000
-1,Detroit,34,42.322719999999997,-83.066419999999994,15,2,0.133000000000000,42.332939000000003,-83.047836000000004,North America,1.904000000000000,60.250700000000002,0.031600000000000,100.000000000000000,33,33,33,37,33300.000000000000000,0.366084985435000
-1,Detroit,35,42.327889999999996,-83.045659999999998,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,0.589200000000000,60.250700000000002,0.009800000000000,100.000000000000000,34,34,34,32,28800.000000000000000,0.239235830959000
-1,Detroit,36,42.331220000000002,-83.032030000000006,15,5,0.333000000000000,42.332939000000003,-83.047836000000004,North America,1.313300000000000,60.250700000000002,0.021800000000000,100.000000000000000,35,35,35,37,33300.000000000000000,0.197166992653000
-1,Detroit,37,42.332419999999999,-83.043189999999996,15,3,0.200000000000000,42.332939000000003,-83.047836000000004,North America,0.386200000000000,60.250700000000002,0.006400000000000,100.000000000000000,36,36,36,35,31500.000000000000000,0.112527821426000
-1,Detroit,38,42.337380000000003,-83.049859999999995,14,2,0.143000000000000,42.332939000000003,-83.047836000000004,North America,0.521100000000000,60.250700000000002,0.008600000000000,100.000000000000000,37,37,37,35,31500.000000000000000,0.226985651893000
-1,Detroit,39,42.332610000000003,-83.054860000000005,13,3,0.231000000000000,42.332939000000003,-83.047836000000004,North America,0.578500000000000,60.250700000000002,0.009600000000000,100.000000000000000,38,38,38,33,29700.000000000000000,0.241578351431000
-1,Detroit,40,42.336959999999998,-83.061700000000002,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,1.224200000000000,60.250700000000002,0.020300000000000,100.000000000000000,39,39,39,36,32400.000000000000000,0.241318301763000
