OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,temuco_233087_20150112_NDVI_pcs_OID,temuco_233087_20150112_NDVI_pcs_FID_,temuco_233087_20150112_NDVI_pcs_COUNT,temuco_233087_20150112_NDVI_pcs_AREA,temuco_233087_20150112_NDVI_pcs_MEAN
-1,Temuco,1,-38.733080000000001,-72.588890000000006,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.768700000000000,20.111899999999999,0.038200000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.267495131918000
-1,Temuco,2,-38.735129999999998,-72.591939999999994,20,8,0.400000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.554800000000000,20.111899999999999,0.027600000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.207946273906000
-1,Temuco,3,-38.736669999999997,-72.595280000000002,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.572900000000000,20.111899999999999,0.028500000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.178866173540000
-1,Temuco,4,-38.739310000000003,-72.600279999999998,16,8,0.500000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.880600000000000,20.111899999999999,0.043800000000000,100.000000000000000,3,3,3,36,32400.000000000000000,0.344132847877000
-1,Temuco,5,-38.736440000000002,-72.598060000000004,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.787200000000000,20.111899999999999,0.039100000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.351948826441000
-1,Temuco,6,-38.743499999999997,-72.610190000000003,19,12,0.632000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.782400000000000,20.111899999999999,0.088600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.401931071335000
-1,Temuco,7,-38.743079999999999,-72.607939999999999,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.581800000000000,20.111899999999999,0.078600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.226390845834000
-1,Temuco,8,-38.744109999999999,-72.612309999999994,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.976900000000000,20.111899999999999,0.098300000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.291845329957000
-1,Temuco,9,-38.744970000000002,-72.616439999999997,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,2.347600000000000,20.111899999999999,0.116700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.287729872550000
-1,Temuco,10,-38.745690000000003,-72.620639999999995,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,2.720400000000000,20.111899999999999,0.135300000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.345950985095000
