OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,morelia_027046_20170522_NDVI_pcs_OID,morelia_027046_20170522_NDVI_pcs_FID_,morelia_027046_20170522_NDVI_pcs_COUNT,morelia_027046_20170522_NDVI_pcs_AREA,morelia_027046_20170522_NDVI_pcs_MEAN
,Morelia,1,19.703091000000001,-101.195370999999994,15,9,0.600000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.060100000000000,10.872900000000000,0.005500000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.133400448731000
,Morelia,2,19.705552999999998,-101.192260000000005,10,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.427200000000000,10.872900000000000,0.039300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.171233684676000
,Morelia,3,19.703296000000002,-101.182947999999996,11,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.261800000000000,10.872900000000000,0.116000000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.199411131442000
,Morelia,4,19.700493000000002,-101.178363000000004,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.757100000000000,10.872900000000000,0.161600000000000,100.000000000000000,3,3,3,34,30600.000000000000000,0.288605998982000
,Morelia,5,19.698474999999998,-101.180719999999994,15,12,0.800000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.565100000000000,10.872900000000000,0.143900000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.464110593285000
,Morelia,6,19.698283000000000,-101.189318999999998,10,0,0.000000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,0.769500000000000,10.872900000000000,0.070800000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.143331261618000
,Morelia,7,19.687055999999998,-101.194463999999996,10,6,0.600000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.739500000000000,10.872900000000000,0.160000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.460602442707000
,Morelia,8,19.686353000000000,-101.192768999999998,10,2,0.200000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.831600000000000,10.872900000000000,0.168500000000000,100.000000000000000,7,7,7,32,28800.000000000000000,0.428718843032000
,Morelia,9,19.688267000000000,-101.195054999999996,10,9,0.900000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.604000000000000,10.872900000000000,0.147500000000000,100.000000000000000,8,8,8,27,24300.000000000000000,0.396084092281000
,Morelia,10,19.681958999999999,-101.195654000000005,10,2,0.200000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,2.306500000000000,10.872900000000000,0.212100000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.362630683609000
,Morelia,11,19.687446000000001,-101.201642000000007,10,4,0.400000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.833000000000000,10.872900000000000,0.168600000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.366729825942000
,Morelia,12,19.688884999999999,-101.201943999999997,11,8,0.727000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.699400000000000,10.872900000000000,0.156300000000000,100.000000000000000,11,11,11,30,27000.000000000000000,0.346031627059000
,Morelia,13,19.688842000000001,-101.203388000000004,14,6,0.429000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.773600000000000,10.872900000000000,0.163100000000000,100.000000000000000,12,12,12,31,27900.000000000000000,0.380778527548000
,Morelia,14,19.688592000000000,-101.206308000000007,11,4,0.364000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,1.965600000000000,10.872900000000000,0.180800000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.294923824498000
,Morelia,15,19.657827999999999,-101.224232999999998,10,1,0.100000000000000,19.702691999999999,-101.194984000000005,Mexico,North America,5.853600000000000,10.872900000000000,0.538400000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.509159061738000
