OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,baton_rouge_023039_20150825_NDVI_pcs_OID,baton_rouge_023039_20150825_NDVI_pcs_FID_,baton_rouge_023039_20150825_NDVI_pcs_COUNT,baton_rouge_023039_20150825_NDVI_pcs_AREA,baton_rouge_023039_20150825_NDVI_pcs_MEAN
-1,Baton_Rouge,1,30.430099999999999,-91.180599999999998,20,14,0.700000000000000,30.447963000000001,-91.188980000000001,North America,2.142600000000000,28.749900000000000,0.074500000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.640736992019000
-1,Baton_Rouge,2,30.426880000000001,-91.177409999999995,20,4,0.200000000000000,30.447963000000001,-91.188980000000001,North America,2.593500000000000,28.749900000000000,0.090200000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.495213442189000
-1,Baton_Rouge,3,30.423510000000000,-91.174920000000000,20,14,0.700000000000000,30.447963000000001,-91.188980000000001,North America,3.034800000000000,28.749900000000000,0.105600000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.522527885158000
-1,Baton_Rouge,4,30.421489999999999,-91.167749999999998,20,12,0.600000000000000,30.447963000000001,-91.188980000000001,North America,3.578800000000000,28.749900000000000,0.124500000000000,100.000000000000000,3,3,3,32,28800.000000000000000,0.398416594675000
-1,Baton_Rouge,5,30.415849999999999,-91.169619999999995,20,3,0.150000000000000,30.447963000000001,-91.188980000000001,North America,4.024400000000000,28.749900000000000,0.140000000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.575316628234000
-1,Baton_Rouge,6,30.410390000000000,-91.166860000000000,18,14,0.778000000000000,30.447963000000001,-91.188980000000001,North America,4.685400000000000,28.749900000000000,0.163000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.309036783874000
-1,Baton_Rouge,7,30.408819999999999,-91.163830000000004,20,3,0.150000000000000,30.447963000000001,-91.188980000000001,North America,4.975800000000000,28.749900000000000,0.173100000000000,100.000000000000000,6,6,6,37,33300.000000000000000,0.375260817743000
-1,Baton_Rouge,8,30.404350000000001,-91.160550000000001,20,13,0.650000000000000,30.447963000000001,-91.188980000000001,North America,5.563200000000000,28.749900000000000,0.193500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.762221487931000
-1,Baton_Rouge,9,30.400849999999998,-91.157179999999997,20,20,1.000000000000000,30.447963000000001,-91.188980000000001,North America,6.061400000000000,28.749900000000000,0.210800000000000,100.000000000000000,8,8,8,36,32400.000000000000000,0.680267009470000
-1,Baton_Rouge,10,30.396460000000001,-91.153400000000005,19,13,0.684000000000000,30.447963000000001,-91.188980000000001,North America,6.666000000000000,28.749900000000000,0.231900000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.684112317032000
-1,Baton_Rouge,11,30.394490000000001,-91.151709999999994,20,18,0.900000000000000,30.447963000000001,-91.188980000000001,North America,6.937200000000000,28.749900000000000,0.241300000000000,100.000000000000000,10,10,10,32,28800.000000000000000,0.707807991654000
-1,Baton_Rouge,12,30.393329999999999,-91.140730000000005,20,14,0.700000000000000,30.447963000000001,-91.188980000000001,North America,7.636100000000000,28.749900000000000,0.265600000000000,100.000000000000000,11,11,11,37,33300.000000000000000,0.744126218396000
-1,Baton_Rouge,13,30.390160000000002,-91.141490000000005,20,12,0.600000000000000,30.447963000000001,-91.188980000000001,North America,7.877100000000000,28.749900000000000,0.274000000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.599389350414000
-1,Baton_Rouge,14,30.383590000000002,-91.140879999999996,20,18,0.900000000000000,30.447963000000001,-91.188980000000001,North America,8.515300000000000,28.749900000000000,0.296200000000000,100.000000000000000,13,13,13,37,33300.000000000000000,0.723440750225000
-1,Baton_Rouge,15,30.382410000000000,-91.133640000000000,20,17,0.850000000000000,30.447963000000001,-91.188980000000001,North America,9.016200000000000,28.749900000000000,0.313600000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.655763245480000
-1,Baton_Rouge,16,30.376930000000002,-91.132710000000003,18,18,1.000000000000000,30.447963000000001,-91.188980000000001,North America,9.565700000000000,28.749900000000000,0.332700000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.687831133604000
-1,Baton_Rouge,17,30.374659999999999,-91.130150000000000,20,13,0.650000000000000,30.447963000000001,-91.188980000000001,North America,9.912900000000000,28.749900000000000,0.344800000000000,100.000000000000000,16,16,16,36,32400.000000000000000,0.726625654433000
-1,Baton_Rouge,18,30.368099999999998,-91.127399999999994,19,14,0.737000000000000,30.447963000000001,-91.188980000000001,North America,10.664700000000000,28.749900000000000,0.370900000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.597508495195000
-1,Baton_Rouge,19,30.366599999999998,-91.125010000000003,20,13,0.650000000000000,30.447963000000001,-91.188980000000001,North America,10.930999999999999,28.749900000000000,0.380200000000000,100.000000000000000,18,18,18,37,33300.000000000000000,0.518489481630000
-1,Baton_Rouge,20,30.361930000000001,-91.122249999999994,20,15,0.750000000000000,30.447963000000001,-91.188980000000001,North America,11.509600000000001,28.749900000000000,0.400300000000000,100.000000000000000,19,19,19,37,33300.000000000000000,0.550885974958000
-1,Baton_Rouge,21,30.359510000000000,-91.118610000000004,20,18,0.900000000000000,30.447963000000001,-91.188980000000001,North America,11.928200000000000,28.749900000000000,0.414900000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.566729098558000
