OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,uppsala_193018_20130709_NDVI_pcs_OID,uppsala_193018_20130709_NDVI_pcs_FID_,uppsala_193018_20130709_NDVI_pcs_COUNT,uppsala_193018_20130709_NDVI_pcs_AREA,uppsala_193018_20130709_NDVI_pcs_MEAN
-1,Uppsala,1,59.854219999999998,17.660250000000001,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,0.975100000000000,7.322100000000000,0.133200000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.256281166830000
-1,Uppsala,2,59.856229999999996,17.656330000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.687100000000000,7.322100000000000,0.093800000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.350224099415000
-1,Uppsala,3,59.854360000000000,17.647290000000002,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.445000000000000,7.322100000000000,0.060800000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.362628989986000
-1,Uppsala,4,59.852820000000001,17.646370000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.598600000000000,7.322100000000000,0.081800000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.357030571146000
-1,Uppsala,5,59.851979999999998,17.643709999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.685800000000000,7.322100000000000,0.093700000000000,100.000000000000000,4,4,4,33,29700.000000000000000,0.707396817027000
-1,Uppsala,6,59.853110000000001,17.640509999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,0.603700000000000,7.322100000000000,0.082400000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.655396014452000
-1,Uppsala,7,59.853639999999999,17.636939999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.658300000000000,7.322100000000000,0.089900000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.678739724840000
-1,Uppsala,8,59.853140000000003,17.633759999999999,15,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,0.822100000000000,7.322100000000000,0.112300000000000,100.000000000000000,7,7,7,33,29700.000000000000000,0.539222896776000
-1,Uppsala,9,59.852390000000000,17.630269999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,1.024600000000000,7.322100000000000,0.139900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.520842757821000
-1,Uppsala,10,59.851360000000000,17.626960000000000,20,5,0.250000000000000,59.858131000000000,17.644621000000001,Europe,1.240800000000000,7.322100000000000,0.169500000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.603435045315000
-1,Uppsala,11,59.850250000000003,17.623970000000000,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,1.448400000000000,7.322100000000000,0.197800000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.491761753956000
-1,Uppsala,12,59.848920000000000,17.622019999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,1.625400000000000,7.322100000000000,0.222000000000000,100.000000000000000,11,11,11,34,30600.000000000000000,0.545547977090000
-1,Uppsala,13,59.847980000000000,17.619990000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,1.779300000000000,7.322100000000000,0.243000000000000,100.000000000000000,12,12,12,30,27000.000000000000000,0.677429637313000
-1,Uppsala,14,59.846699999999998,17.617609999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,1.972600000000000,7.322100000000000,0.269400000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.710725812401000
-1,Uppsala,15,59.847340000000003,17.610690000000002,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.242800000000000,7.322100000000000,0.306300000000000,100.000000000000000,14,14,14,37,33300.000000000000000,0.587392803785000
-1,Uppsala,16,59.849179999999997,17.610849999999999,18,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.132400000000000,7.322100000000000,0.291200000000000,100.000000000000000,15,15,15,37,33300.000000000000000,0.624701811655000
-1,Uppsala,17,59.850479999999997,17.606110000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.312700000000000,7.322100000000000,0.315900000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.618090532507000
-1,Uppsala,18,59.849390000000000,17.604630000000000,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,2.435600000000000,7.322100000000000,0.332600000000000,100.000000000000000,17,17,17,29,26100.000000000000000,0.664674721401000
-1,Uppsala,19,59.848489999999998,17.602260000000001,20,3,0.150000000000000,59.858131000000000,17.644621000000001,Europe,2.597200000000000,7.322100000000000,0.354700000000000,100.000000000000000,18,18,18,34,30600.000000000000000,0.577161327004000
-1,Uppsala,20,59.847729999999999,17.598720000000000,4,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,2.812100000000000,7.322100000000000,0.384100000000000,100.000000000000000,19,19,19,34,30600.000000000000000,0.644928397501000
-1,Uppsala,21,59.846080000000001,17.595640000000000,18,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,3.046000000000000,7.322100000000000,0.416000000000000,100.000000000000000,20,20,20,36,32400.000000000000000,0.644442238741000
-1,Uppsala,22,59.845649999999999,17.592289999999998,20,1,0.050000000000000,59.858131000000000,17.644621000000001,Europe,3.235300000000000,7.322100000000000,0.441900000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.629064654452000
-1,Uppsala,23,59.845149999999997,17.588960000000000,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,3.427300000000000,7.322100000000000,0.468100000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.725519943237000
-1,Uppsala,24,59.844430000000003,17.585200000000000,19,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,3.651500000000000,7.322100000000000,0.498700000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.733400934083000
-1,Uppsala,27,59.842010000000002,17.575330000000001,20,3,0.150000000000000,59.858131000000000,17.644621000000001,Europe,4.264900000000000,7.322100000000000,0.582500000000000,100.000000000000000,24,24,24,35,31500.000000000000000,0.751643419266000
-1,Uppsala,28,59.841410000000003,17.571919999999999,20,2,0.100000000000000,59.858131000000000,17.644621000000001,Europe,4.465800000000000,7.322100000000000,0.609900000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.807313569954000
-1,Uppsala,29,59.840719999999997,17.568529999999999,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,4.669900000000000,7.322100000000000,0.637800000000000,100.000000000000000,26,26,26,32,28800.000000000000000,0.788470329717000
-1,Uppsala,31,59.839500000000001,17.561430000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.087300000000000,7.322100000000000,0.694800000000000,100.000000000000000,27,27,27,34,30600.000000000000000,0.776577786488000
-1,Uppsala,32,59.839320000000001,17.557630000000000,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.289700000000000,7.322100000000000,0.722400000000000,100.000000000000000,28,28,28,35,31500.000000000000000,0.828326933725000
-1,Uppsala,33,59.839269999999999,17.553660000000001,20,0,0.000000000000000,59.858131000000000,17.644621000000001,Europe,5.496200000000000,7.322100000000000,0.750600000000000,100.000000000000000,29,29,29,35,31500.000000000000000,0.815941122600000
