OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,tacoma_046027_20160812_NDVI_pcs_OID,tacoma_046027_20160812_NDVI_pcs_FID_,tacoma_046027_20160812_NDVI_pcs_COUNT,tacoma_046027_20160812_NDVI_pcs_AREA,tacoma_046027_20160812_NDVI_pcs_MEAN
-1,Tacoma,1,47.262869999999999,-122.448599999999999,20,2,0.100000000000000,47.249580000000002,-122.439875000000001,North America,1.617800000000000,12.131700000000000,0.133400000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.331049725839000
-1,Tacoma,2,47.260680000000001,-122.449799999999996,20,6,0.300000000000000,47.249580000000002,-122.439875000000001,North America,1.443800000000000,12.131700000000000,0.119000000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.721922452109000
-1,Tacoma,3,47.257800000000003,-122.447199999999995,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,1.068200000000000,12.131700000000000,0.088100000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.442319476392000
-1,Tacoma,4,47.255499999999998,-122.449269999999999,14,8,0.571000000000000,47.249580000000002,-122.439875000000001,North America,0.967500000000000,12.131700000000000,0.079700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.359136617609000
-1,Tacoma,5,47.256700000000002,-122.445800000000006,19,0,0.000000000000000,47.249580000000002,-122.439875000000001,North America,0.909300000000000,12.131700000000000,0.075000000000000,100.000000000000000,4,4,4,30,27000.000000000000000,0.204291662450000
-1,Tacoma,6,47.253830000000001,-122.452809999999999,20,8,0.400000000000000,47.249580000000002,-122.439875000000001,North America,1.084700000000000,12.131700000000000,0.089400000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.379608116938000
-1,Tacoma,7,47.251600000000003,-122.444100000000006,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,0.390100000000000,12.131700000000000,0.032200000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.160379069618000
-1,Tacoma,8,47.249310000000001,-122.447230000000005,11,1,0.091000000000000,47.249580000000002,-122.439875000000001,North America,0.556000000000000,12.131700000000000,0.045800000000000,100.000000000000000,7,7,7,37,33300.000000000000000,0.290541845198000
-1,Tacoma,9,47.247100000000003,-122.438100000000006,20,0,0.000000000000000,47.249580000000002,-122.439875000000001,North America,0.306600000000000,12.131700000000000,0.025300000000000,100.000000000000000,8,8,8,37,33300.000000000000000,0.180028673563000
-1,Tacoma,10,47.246519999999997,-122.441509999999994,18,3,0.167000000000000,47.249580000000002,-122.439875000000001,North America,0.361900000000000,12.131700000000000,0.029800000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.257501132670000
-1,Tacoma,11,47.245399999999997,-122.437600000000003,11,5,0.455000000000000,47.249580000000002,-122.439875000000001,North America,0.495500000000000,12.131700000000000,0.040800000000000,100.000000000000000,10,10,10,32,28800.000000000000000,0.202899204072000
-1,Tacoma,12,47.243240000000000,-122.440929999999994,17,15,0.882000000000000,47.249580000000002,-122.439875000000001,North America,0.709500000000000,12.131700000000000,0.058500000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.351768630956000
-1,Tacoma,13,47.243000000000002,-122.433400000000006,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,0.879900000000000,12.131700000000000,0.072500000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.165213370909000
-1,Tacoma,16,47.236910000000002,-122.428830000000005,17,6,0.353000000000000,47.249580000000002,-122.439875000000001,North America,1.637100000000000,12.131700000000000,0.134900000000000,100.000000000000000,13,13,13,34,30600.000000000000000,0.283267817350000
-1,Tacoma,17,47.232500000000002,-122.421099999999996,15,2,0.133000000000000,47.249580000000002,-122.439875000000001,North America,2.369800000000000,12.131700000000000,0.195300000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.365654881299000
