OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,anchorage_069017_20160712_NDVI_pcs_OID,anchorage_069017_20160712_NDVI_pcs_FID_,anchorage_069017_20160712_NDVI_pcs_COUNT,anchorage_069017_20160712_NDVI_pcs_AREA,anchorage_069017_20160712_NDVI_pcs_MEAN
-1,Anchorage,1,61.194049999999997,-149.885500000000008,21,1,0.048000000000000,61.216313000000000,-149.894851999999986,USA,North America,2.525700000000000,17.723700000000001,0.142500000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.267449491603000
-1,Anchorage,2,61.190930000000002,-149.880419999999987,15,4,0.267000000000000,61.216313000000000,-149.894851999999986,USA,North America,2.926400000000000,17.723700000000001,0.165100000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.204115959132000
-1,Anchorage,3,61.187069999999999,-149.877399999999994,17,3,0.176000000000000,61.216313000000000,-149.894851999999986,USA,North America,3.383400000000000,17.723700000000001,0.190900000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.418796884478000
-1,Anchorage,4,61.185310000000001,-149.881480000000010,20,0,0.000000000000000,61.216313000000000,-149.894851999999986,USA,North America,3.521000000000000,17.723700000000001,0.198700000000000,100.000000000000000,3,3,3,32,28800.000000000000000,0.510542204604000
-1,Anchorage,5,61.184210000000000,-149.871890000000008,15,4,0.267000000000000,61.216313000000000,-149.894851999999986,USA,North America,3.775700000000000,17.723700000000001,0.213000000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.419921428690000
-1,Anchorage,6,61.182560000000002,-149.868930000000006,18,2,0.111000000000000,61.216313000000000,-149.894851999999986,USA,North America,4.001800000000000,17.723700000000001,0.225800000000000,100.000000000000000,5,5,5,32,28800.000000000000000,0.199968313740000
-1,Anchorage,7,61.179070000000003,-149.863079999999997,18,1,0.056000000000000,61.216313000000000,-149.894851999999986,USA,North America,4.477400000000000,17.723700000000001,0.252600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.467725791676000
-1,Anchorage,8,61.175789999999999,-149.863460000000003,19,1,0.053000000000000,61.216313000000000,-149.894851999999986,USA,North America,4.809600000000000,17.723700000000001,0.271400000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.532313226524000
-1,Anchorage,9,61.173760000000001,-149.860639999999989,20,1,0.050000000000000,61.216313000000000,-149.894851999999986,USA,North America,5.074300000000000,17.723700000000001,0.286300000000000,100.000000000000000,8,8,8,36,32400.000000000000000,0.287553973651000
-1,Anchorage,10,61.171830000000000,-149.853790000000004,17,1,0.059000000000000,61.216313000000000,-149.894851999999986,USA,North America,5.413500000000000,17.723700000000001,0.305400000000000,100.000000000000000,9,9,9,34,30600.000000000000000,0.410278968075000
-1,Anchorage,11,61.167450000000002,-149.852540000000005,16,1,0.062000000000000,61.216313000000000,-149.894851999999986,USA,North America,5.887400000000000,17.723700000000001,0.332200000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.358675518798000
-1,Anchorage,12,61.165509999999998,-149.847340000000003,19,1,0.053000000000000,61.216313000000000,-149.894851999999986,USA,North America,6.196200000000000,17.723700000000001,0.349600000000000,100.000000000000000,11,11,11,34,30600.000000000000000,0.199703543502000
-1,Anchorage,13,61.164450000000002,-149.846120000000013,17,2,0.118000000000000,61.216313000000000,-149.894851999999986,USA,North America,6.330600000000000,17.723700000000001,0.357200000000000,100.000000000000000,12,12,12,28,25200.000000000000000,0.207341968015000
-1,Anchorage,14,61.162720000000000,-149.841900000000010,15,0,0.000000000000000,61.216313000000000,-149.894851999999986,USA,North America,6.600300000000000,17.723700000000001,0.372400000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.292571646986000
-1,Anchorage,15,61.159059999999997,-149.836119999999994,20,1,0.050000000000000,61.216313000000000,-149.894851999999986,USA,North America,7.101800000000000,17.723700000000001,0.400700000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.333052264154000
