continent,country,city,latitude_city,longitude_city,sampled_by,human_population_size,area,age,density,slope_rlm,pval_rlm,significant_rlm,freqHCN,num_populations,total_num_plants,transect_length,population,total_plants,annualAI_Mean,annualPET_Mean,DEM_Mean,GMIS_Mean,NDSI_Mean,summerLST_Mean,summerNDVI_Mean,winterLST_Mean,winterNDVI_Mean
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.542,20,NA,4.94,1,NA,1.056,841,349,87.143,0.772,34.861,0.221,-7.308,-0.009
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.174,20,NA,4.94,2,NA,1.055,842,348,44.273,0.797,32.441,0.491,-7.96,0.005
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.391,20,NA,4.94,3,NA,1.055,842,355,41.625,0.732,31.021,0.585,-7.597,0.062
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.458,20,NA,4.94,4,NA,1.056,842,354,64.486,0.681,33.494,0.367,-7.194,0.02
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.391,20,NA,4.94,5,NA,1.056,842,356,38.094,0.664,31.883,0.573,-7.826,0.048
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.217,20,NA,4.94,6,NA,1.055,842,355,50.514,0.673,31.857,0.466,-7.536,0.033
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.174,20,NA,4.94,7,NA,1.055,842,356,45.361,0.682,33.262,0.487,-7.362,0.028
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.435,20,NA,4.94,8,NA,1.055,842,355,67.929,0.669,34.124,0.326,-7.31,0.022
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.286,20,NA,4.94,9,NA,1.055,842,359,55.059,0.693,33.507,0.35,-7.456,0.01
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.304,20,NA,4.94,10,NA,1.055,842,356,65.656,0.569,33.87,0.23,-6.95,0.027
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.261,20,NA,4.94,11,NA,1.056,841,357,31.312,0.727,32.386,0.46,-8.817,-0.005
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.435,20,NA,4.94,12,NA,1.057,839,356,2.971,0.694,30.218,0.555,-8.845,0.052
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.583,20,NA,4.94,13,NA,1.057,839,357,3.25,0.722,31.829,0.537,-8.427,0.022
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.636,20,NA,4.94,14,NA,1.057,839,359,6.143,0.701,31.072,0.569,-8.268,0.028
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.565,20,NA,4.94,15,NA,1.055,841,354,4.622,0.705,26.685,0.739,NA,0.016
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.478,20,NA,4.94,16,NA,1.056,839,358,6.114,0.693,27.542,0.662,-9.07,0.015
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.222,20,NA,4.94,17,NA,1.054,839,362,5.595,0.713,27.714,0.647,-9.164,-0.003
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.2,20,NA,4.94,18,NA,1.054,839,359,4.343,0.448,26.864,0.674,-8.237,0.219
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.348,20,NA,4.94,19,NA,1.054,839,359,0,0.707,29.064,0.649,-8.863,0.065
North America,Canada,Acton,43.629693,-80.041492,Marc T.J. Johnson; Cindy Prashad,9462,3.97,NA,2383.375,0.022,0.846,No,0.417,20,NA,4.94,20,NA,1.05,840,360,3.486,0.685,31.787,0.442,-9.156,0.032
