city,betaRLM_freqHCN,sigRLM,Mean_annualAI,betaRLM_winterNDVI,fannualAI_Mean,AI_cat
Acton,0.022,No,0.24534003148352654,-0.5374843672698826,0,mean
Albuquerque,-0.185,Yes,-2.6478588303208856,-0.6858029461374737,-1,low
Almada,0.026,No,-0.9588034768040238,-0.17286786088705444,0,mean
Amsterdam,0.108,No,0.9515539268846038,-0.7476023539989699,0,mean
Anchorage,-0.011,No,0.9125006239131157,0.7603031978215397,0,mean
Angus,0.032,No,-0.008506437831146175,-1.464475485192327,0,mean
Antwerp,0.333,Yes,0.31042886976934014,1.2979580462165572,0,mean
Armidale,0.319,Yes,-1.1735966431472087,0.018710303483584066,-1,low
Athens,0.423,Yes,-0.1614652078028078,0.618164559740098,0,mean
Atlanta,0.379,Yes,0.09238126151186492,0.3400672243633648,0,mean
Atlantic_City,-0.207,Yes,0.2583577991406893,0.6923238491738937,0,mean
Baltimore,0.032,No,0.05007351662608608,-0.2841067950377478,0,mean
Barrie,0.044,No,0.0696001681118298,0.6552442044569958,0,mean
Baton_Rouge,0.35,Yes,0.31042886976934014,-0.7599622355712692,0,mean
Beijing,-0.376,No,-1.3753720418332307,-1.1678383274571447,-1,low
Berlin,0.191,Yes,-0.7667914038608741,1.0569403555567214,0,mean
Bern,-0.062,No,0.7562874120271631,-1.0009799262311048,0,mean
Bogota,0.208,No,-0.9848390121183492,2.6513650783833262,0,mean
Boston,0.134,Yes,0.7367607605414189,-0.6425433606344262,0,mean
Bradford,-0.065,No,-0.08661304377412252,-0.6363634198482767,0,mean
Brantford,0.091,No,0.183505635112004,-0.7537822947851196,0,mean
Brighton,0.326,Yes,0.05007351662608608,-0.4262454331191893,0,mean
Brussels,0.117,No,0.27788445062643335,0.8406424280414846,0,mean
Buenos_Aires,0.021,No,-0.5910515404891773,0.6058046781677987,0,mean
Burlington,-0.251,Yes,0.1444523321405158,-0.48186490019453593,0,mean
Calgary,0.193,Yes,-1.355845390347487,-1.8229120507890055,-1,low
Cambridge,0.427,Yes,-0.5487437956033985,0.3833268098664121,0,mean
Canberra,-0.014,No,-1.5120586022334392,-1.4706554259784768,-1,low
Cape_Town,0.022,No,-0.7602825200322927,0.302987579646467,0,mean
Charlotte,-0.002,No,-0.23957181374578415,-0.5251244856975833,0,mean
Chicago,0.167,Yes,-0.060577508459797064,-0.8712011697219625,0,mean
Christchurch,0.429,Yes,-0.9653123606326052,1.6749344341716845,0,mean
Cincinnati,0.03,No,-0.028033089316890258,-0.08016874909481,0,mean
Cleveland,0.064,No,0.22255893808349214,-0.5498442488421817,0,mean
Cobourg,0.052,No,-0.03128753123118094,-0.9453604591557581,0,mean
Curitiba,-0.041,No,0.3494821727408283,1.335037690933455,0,mean
Denver,-0.044,No,-2.000224889377041,-0.29646667661004705,-1,low
Detroit,0.063,No,-0.35022283883166727,-1.3717763734000825,0,mean
Elmira,-0.058,No,0.44386098825525844,-1.1925580906017432,0,mean
Everett,0.133,No,0.046819074711795396,-0.9021008736527106,0,mean
Fairbanks,0.016,No,-1.0531822923184535,-0.04308910437791228,-1,low
Fergus,0.288,Yes,0.5382398037696878,-0.7785020579297182,0,mean
Fort_Collins,-0.083,No,-2.1369114497772497,-0.7352424724266706,-1,low
Frankfurt,0.314,Yes,-0.516199376460492,0.7170436123184922,0,mean
Fredericton,-0.001,No,1.153329325570626,-0.12342833459785744,1,high
Freehold,-0.132,Yes,0.4829142912267459,0.20410852706807284,0,mean
Georgetown,0.088,No,0.0630912842832488,-0.6487233014205759,0,mean
Ghent,0.173,No,0.3494821727408283,1.24851851992736,0,mean
Glasgow,-0.245,No,4.192978073518118,1.2052589344243128,1,high
Guelph,0.286,Yes,0.2909022182835961,-1.0442395117341523,0,mean
Halifax,0.042,No,3.0734500550021253,0.37714686908026246,1,high
Halle,0.237,Yes,-1.0304011989184187,2.91710253218776,-1,low
Helsinki,-0.024,No,0.8669384371130462,-0.19140768324550334,0,mean
Hempstead,0.193,Yes,0.7074707833128032,1.3288577501473053,0,mean
Houston,0.118,Yes,-0.5519982375176891,0.21028846785422248,0,mean
Indianapolis,0.036,No,-0.050814182716925026,-1.0504194525203019,0,mean
Jacksonville,0.203,Yes,-0.22004516226004006,0.19792858628192322,0,mean
Kingston,0.083,No,0.5642753390840133,-0.9206406960111595,0,mean
Kunming,-0.111,No,-0.34371395500308594,0.8468223688276343,0,mean
Kyoto,-0.154,No,1.9767031298861673,0.5007456848032551,1,high
La_Verne,0.087,No,-2.0783314953200174,-0.3273663805407952,-1,low
Lake_Charles,0.119,No,0.19977784468345702,0.5687250334509011,0,mean
Landshut,-0.021,No,0.17048786745484126,2.2187692233528518,0,mean
Lansing,0.015,No,-0.4804005154032945,-0.8712011697219625,0,mean
Lanzhou,-0.127,No,-2.107621472548633,-0.5374843672698826,-1,low
Latacunga,0.232,No,-1.4957863926619859,0.9148017174752803,-1,low
Leiden,0.155,No,0.9417906011417315,-1.4521156036200278,0,mean
Leuven,0.081,No,0.2518489153121079,0.6490642636708462,0,mean
Lisbon,-0.103,No,-0.6301048434606654,1.4771763290148963,0,mean
Little_Rock,0.42,Yes,-0.05732306654550638,0.5131055663755544,0,mean
Loja,0.156,Yes,-0.5812882147463052,2.1755096378498044,0,mean
London,0.001,No,0.32995552125508426,-0.20994750560395226,0,mean
Los_Angeles,0.111,No,-2.1954914042344815,0.27208787571571885,-1,low
Louisville,-0.023,No,-0.005251995916855495,-0.5869238935590796,0,mean
Madison,0.069,No,-0.444601654346097,-0.8403014657912145,0,mean
Manchester,0.19,No,1.2216726057707301,0.8468223688276343,1,high
Medellin,-0,No,0.6033286420555014,0.9333415398337291,0,mean
Melbourne,0.26,No,-1.4209342286333002,-0.3891657884022915,-1,low
Memphis,0.436,Yes,0.16072454171196884,1.1681792897074148,0,mean
Mexico_City,-0.103,No,-1.13128889826143,-0.16050797931475516,-1,low
Minneapolis,0.018,No,-0.5031816088033293,-0.7043427684959226,0,mean
Moncton,0.008,No,1.3453413985137759,-0.3273663805407952,1,high
Montreal,-0.079,No,0.5512575714268505,-0.7043427684959226,0,mean
Morelia,0.323,No,-1.5218219279763112,0.4760259216586566,-1,low
Muenster,0.467,Yes,0.4731509654838742,0.704683730746193,0,mean
Munich,0.092,No,0.6879441318270592,0.8900819543306817,0,mean
New_Tecumseth,-0.043,No,-0.04105085697405298,-0.5436643080560322,0,mean
New_York,0.165,Yes,0.7758140635129072,0.5378253295201529,0,mean
Newcastle,0.303,No,-0.281879558631563,-0.24702715032085004,0,mean
Newhaven,0.163,Yes,0.8441573437130118,-0.9762601630865062,0,mean
Norfolk,0.353,Yes,0.21279561234061975,-0.34590620289924406,0,mean
Norrtalje,-0.11,Yes,-0.09637636951699455,0.4080465730110106,0,mean
North_Bay,-0.023,No,0.7269974347985473,0.302987579646467,0,mean
Orangeville,0.055,No,0.5545120133411409,-0.9391805183696085,0,mean
Ottawa,0.023,No,0.31693775359792153,-0.58074395277293,0,mean
Palmerston_North,0.405,Yes,0.05007351662608608,1.4771763290148963,0,mean
Paris,-0.087,No,-0.5845426566605959,1.149639467348966,0,mean
Parramata,0.876,Yes,-0.9425312672325707,-0.58074395277293,0,mean
Philadelphia,-0.012,No,0.36249994039799105,-1.6869533534937136,0,mean
Pittsburgh,0.095,No,-0.1647196497170985,1.1619993489212652,0,mean
Port_Hope,0.129,No,0.03054686514034199,-0.8032218210743166,0,mean
Portland,0.007,No,0.7074707833128032,1.514255973731794,0,mean
Portlandme,-0.028,No,1.0329149747418704,0.22264834942652176,1,high
Providence,0.117,Yes,0.7432696443700003,0.1299492376342774,0,mean
Quebec_City,0.075,No,1.566643448685542,-0.9639002815142069,1,high
Quito,-0.005,No,-0.8839513127753386,-1.1183988011679478,0,mean
Raleigh,0.089,No,-0.26886179097440027,1.42155686193955,0,mean
Reading,0.702,Yes,0.11516235491189933,1.3164978685750062,0,mean
Rennes,-0.009,No,-0.3176784196887605,1.91595212483152,0,mean
Reutlingen,0.255,No,-0.11264857908844796,-0.8403014657912145,0,mean
Rochester,-0.002,No,-0.3469683969173766,-0.9886200446588055,0,mean
Rockford,0.024,No,-0.17448297545997052,-0.9082808144388602,0,mean
