City,Population,Plant,plant_id,Plate,Habitat,Qubit_conc,260_280,initial_vol,TE_vol,i5_index,i7_index,Column,Row,Sheared_remaining,Pre-PCR_remaining,Qubit_postPCR,Notes,nM_concentration,library_volume_uL,TE_vol_uL
Toronto,42,20,42_20,2,Urban,13.5,1.363,37,13,iTru5_01_A,iTru7_101_01,1,A,No,No,4.16,NA,15.8,15.7,0.3
Toronto,5,16,5_16,3,Rural,15.4,1.183,32.5,17.5,iTru5_01_B,iTru7_101_01,1,B,No,No,7.7,NA,29.2,8.5,7.5
Toronto,40,8,40_8,2,Urban,14.1,1.662,35.5,14.5,iTru5_01_C,iTru7_101_01,1,C,No,No,9.58,First faile prep: Added 2X ligation master mix on first run throught library prep,36.3,6.8,9.2
Toronto,41,7,41_7,2,Urban,13.4,1.665,37.3,12.7,iTru5_01_D,iTru7_101_01,1,D,No,No,9.22,NA,34.9,7.1,8.9
Toronto,3,5,3_5,3,Rural,17.7,1.882,28.2,21.8,iTru5_01_E,iTru7_101_01,1,E,No,No,8.24,NA,31.2,7.9,8.1
Toronto,41,2,41_2,2,Urban,48.6,1.749,10.3,39.7,iTru5_01_F,iTru7_101_01,1,F,No,No,7.86,NA,29.8,8.3,7.7
Toronto,7,19,7_19,5,Rural,20.8,1.808,24,26,iTru5_01_G,iTru7_101_01,1,G,No,No,9,NA,34.1,7.3,8.7
Toronto,83,17,83_17,8,Rural,21.4,1.842,23.4,26.6,iTru5_01_H,iTru7_101_01,1,H,No,No,5.18,NA,19.6,12.7,3.3
Toronto,42,17,42_17,2,Urban,65.2,1.653,7.7,42.3,iTru5_01_A,iTru7_101_02,2,A,No,No,11.5,NA,43.6,5.7,10.3
Toronto,24,6,24_6,6,Suburban,36.8,1.751,13.6,36.4,iTru5_01_B,iTru7_101_02,2,B,No,No,5.14,NA,19.5,12.7,3.3
Toronto,97,14,97_14,4,Rural,22.2,1.755,22.5,27.5,iTru5_01_C,iTru7_101_02,2,C,No,No,12.5,NA,47.3,5.2,10.8
Toronto,21,18,21_18,5,Suburban,19.5,1.599,25.6,24.4,iTru5_01_D,iTru7_101_02,2,D,No,No,9.64,NA,36.5,6.8,9.2
Toronto,43,15,43_15,2,Urban,19.1,1.605,26.2,23.8,iTru5_01_E,iTru7_101_02,2,E,No,No,10.2,NA,38.6,6.4,9.6
Toronto,83,5,83_5,8,Rural,41.8,1.768,12,38,iTru5_01_F,iTru7_101_02,2,F,No,No,6.62,NA,25.1,9.9,6.1
Toronto,54,7,54_7,7,Suburban,21.4,1.808,23.4,26.6,iTru5_01_G,iTru7_101_02,2,G,No,No,8.62,NA,32.7,7.6,8.4
Toronto,41,18,41_18,2,Urban,28.6,1.6,17.5,32.5,iTru5_01_H,iTru7_101_02,2,H,No,No,11.6,First failed prep: Used PEG-6000 since I ran out of PEG-4000 in ligation master mix (due to mistake above),43.9,5.6,10.4
Toronto,7,7,7_7,5,Rural,25.8,1.774,19.4,30.6,iTru5_01_A,iTru7_101_03,3,A,Yes,No,6.74,NA,25.5,9.7,6.3
Toronto,42,11,42_11,2,Urban,30.6,1.635,16.3,33.7,iTru5_01_B,iTru7_101_03,3,B,Yes,No,8.32,NA,31.5,7.9,8.1
Toronto,83,11,83_11,8,Rural,53.2,1.698,9.4,40.6,iTru5_01_C,iTru7_101_03,3,C,Yes,No,6.58,NA,24.9,10,6
Toronto,23,6,23_6,5,Suburban,25.2,1.771,19.8,30.2,iTru5_01_D,iTru7_101_03,3,D,Yes,No,6.62,NA,25.1,9.9,6.1
Toronto,54,18,54_18,7,Suburban,17.4,1.747,28.7,21.3,iTru5_01_E,iTru7_101_03,3,E,Yes,No,10.3,NA,39,6.4,9.6
Toronto,40,7,40_7,2,Urban,43.4,1.739,11.5,38.5,iTru5_01_F,iTru7_101_03,3,F,Yes,No,8.8,NA,33.3,7.4,8.6
Toronto,7,13,7_13,5,Rural,34.2,1.952,14.6,35.4,iTru5_01_G,iTru7_101_03,3,G,Yes,No,7.58,NA,28.7,8.6,7.4
Toronto,119,19,119_19,10,Suburban,33,1.847,15.2,34.8,iTru5_01_H,iTru7_101_03,3,H,Yes,No,6.64,NA,25.2,9.8,6.2
