OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Anchorage_gcs_AI_annual_OID,Anchorage_gcs_AI_annual_FID_,Anchorage_gcs_AI_annual_COUNT,Anchorage_gcs_AI_annual_AREA,Anchorage_gcs_AI_annual_MEAN
,Anchorage,1,61.194049999999997,149.885500000000008,21,1,0.048000000000000,61.216313000000000,149.894851999999986,USA,North America,2.525700000000000,17.723700000000001,0.142500000000000,0,0,1,0.000069444451688,1.033499956130000
,Anchorage,2,61.190930000000002,149.880419999999987,15,4,0.267000000000000,61.216313000000000,149.894851999999986,USA,North America,2.926400000000000,17.723700000000001,0.165100000000000,1,1,1,0.000069444451688,1.050499916080000
,Anchorage,3,61.187069999999999,149.877399999999994,17,3,0.176000000000000,61.216313000000000,149.894851999999986,USA,North America,3.383400000000000,17.723700000000001,0.190900000000000,,,,,
,Anchorage,4,61.185310000000001,149.881480000000010,20,0,0.000000000000000,61.216313000000000,149.894851999999986,USA,North America,3.521000000000000,17.723700000000001,0.198700000000000,,,,,
,Anchorage,5,61.184210000000000,149.871890000000008,15,4,0.267000000000000,61.216313000000000,149.894851999999986,USA,North America,3.775700000000000,17.723700000000001,0.213000000000000,2,4,1,0.000069444451688,1.074000000950000
,Anchorage,6,61.182560000000002,149.868930000000006,18,2,0.111000000000000,61.216313000000000,149.894851999999986,USA,North America,4.001800000000000,17.723700000000001,0.225800000000000,3,5,1,0.000069444451688,1.080199956890000
,Anchorage,7,61.179070000000003,149.863079999999997,18,1,0.056000000000000,61.216313000000000,149.894851999999986,USA,North America,4.477400000000000,17.723700000000001,0.252600000000000,4,6,1,0.000069444451688,1.094799995420000
,Anchorage,8,61.175789999999999,149.863460000000003,19,1,0.053000000000000,61.216313000000000,149.894851999999986,USA,North America,4.809600000000000,17.723700000000001,0.271400000000000,,,,,
,Anchorage,9,61.173760000000001,149.860639999999989,20,1,0.050000000000000,61.216313000000000,149.894851999999986,USA,North America,5.074300000000000,17.723700000000001,0.286300000000000,5,8,1,0.000069444451688,1.091899991040000
,Anchorage,10,61.171830000000000,149.853790000000004,17,1,0.059000000000000,61.216313000000000,149.894851999999986,USA,North America,5.413500000000000,17.723700000000001,0.305400000000000,6,9,1,0.000069444451688,1.150799989700000
,Anchorage,11,61.167450000000002,149.852540000000005,16,1,0.062000000000000,61.216313000000000,149.894851999999986,USA,North America,5.887400000000000,17.723700000000001,0.332200000000000,,,,,
,Anchorage,12,61.165509999999998,149.847340000000003,19,1,0.053000000000000,61.216313000000000,149.894851999999986,USA,North America,6.196200000000000,17.723700000000001,0.349600000000000,7,11,1,0.000069444451688,1.195099949840000
,Anchorage,13,61.164450000000002,149.846120000000013,17,2,0.118000000000000,61.216313000000000,149.894851999999986,USA,North America,6.330600000000000,17.723700000000001,0.357200000000000,,,,,
,Anchorage,14,61.162720000000000,149.841900000000010,15,0,0.000000000000000,61.216313000000000,149.894851999999986,USA,North America,6.600300000000000,17.723700000000001,0.372400000000000,,,,,
,Anchorage,15,61.159059999999997,149.836119999999994,20,1,0.050000000000000,61.216313000000000,149.894851999999986,USA,North America,7.101800000000000,17.723700000000001,0.400700000000000,8,14,1,0.000069444451688,1.228600025180000
,Anchorage,16,61.155769999999997,149.836430000000007,16,1,0.062000000000000,61.216313000000000,149.894851999999986,USA,North America,7.424500000000000,17.723700000000001,0.418900000000000,9,15,1,0.000069444451688,1.202399969100000
