OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Cologne_gcs_AI_annual_OID,Cologne_gcs_AI_annual_FID_,Cologne_gcs_AI_annual_COUNT,Cologne_gcs_AI_annual_AREA,Cologne_gcs_AI_annual_MEAN
-1,Cologne,1,50.918750000000003,6.668280000000000,18,10,0.556000000000000,50.940528999999998,6.959910000000000,Germany,Europe,20.581399999999999,21.352300000000000,0.963900000000000,0,0,1,0.000069444451688,1.030099987980000
-1,Cologne,2,50.923380000000002,6.678950000000000,4,1,0.250000000000000,50.940528999999998,6.959910000000000,Germany,Europe,19.781700000000001,21.352300000000000,0.926400000000000,1,1,1,0.000069444451688,1.028800010680000
-1,Cologne,3,50.923589999999997,6.692200000000000,16,9,0.562000000000000,50.940528999999998,6.959910000000000,Germany,Europe,18.855300000000000,21.352300000000000,0.883100000000000,2,2,1,0.000069444451688,1.035400033000000
-1,Cologne,4,50.923769999999998,6.700260000000000,5,0,0.000000000000000,50.940528999999998,6.959910000000000,Germany,Europe,18.291300000000000,21.352300000000000,0.856600000000000,3,3,1,0.000069444451688,1.035400033000000
-1,Cologne,5,50.923729999999999,6.710130000000000,15,5,0.333000000000000,50.940528999999998,6.959910000000000,Germany,Europe,17.603800000000000,21.352300000000000,0.824400000000000,4,4,1,0.000069444451688,1.059599995610000
-1,Cologne,6,50.930979999999998,6.749990000000000,16,8,0.500000000000000,50.940528999999998,6.959910000000000,Germany,Europe,14.748200000000001,21.352300000000000,0.690700000000000,5,5,1,0.000069444451688,1.101699948310000
-1,Cologne,7,50.934919999999998,6.759130000000000,16,7,0.438000000000000,50.940528999999998,6.959910000000000,Germany,Europe,14.082700000000001,21.352300000000000,0.659500000000000,6,6,1,0.000069444451688,1.078299999240000
-1,Cologne,8,50.937019999999997,6.775880000000000,9,2,0.222000000000000,50.940528999999998,6.959910000000000,Germany,Europe,12.900800000000000,21.352300000000000,0.604200000000000,7,7,1,0.000069444451688,1.048699975010000
-1,Cologne,9,50.937800000000003,6.793610000000000,18,8,0.444000000000000,50.940528999999998,6.959910000000000,Germany,Europe,11.656400000000000,21.352300000000000,0.545900000000000,8,8,1,0.000069444451688,1.029999971390000
-1,Cologne,10,50.938450000000003,6.812670000000000,15,10,0.667000000000000,50.940528999999998,6.959910000000000,Germany,Europe,10.319500000000000,21.352300000000000,0.483300000000000,9,9,1,0.000069444451688,1.015599966050000
-1,Cologne,11,50.937680000000000,6.833070000000000,19,7,0.368000000000000,50.940528999999998,6.959910000000000,Germany,Europe,8.893200000000000,21.352300000000000,0.416500000000000,10,10,1,0.000069444451688,1.014199972150000
-1,Cologne,12,50.935780000000001,6.835100000000000,10,4,0.400000000000000,50.940528999999998,6.959910000000000,Germany,Europe,8.761400000000000,21.352300000000000,0.410300000000000,11,11,1,0.000069444451688,1.015499949460000
-1,Cologne,13,50.935720000000003,6.841630000000000,19,11,0.579000000000000,50.940528999999998,6.959910000000000,Germany,Europe,8.305199999999999,21.352300000000000,0.389000000000000,,,,,
-1,Cologne,14,50.930190000000003,6.845310000000000,14,8,0.571000000000000,50.940528999999998,6.959910000000000,Germany,Europe,8.112399999999999,21.352300000000000,0.379900000000000,12,13,1,0.000069444451688,1.012899994850000
-1,Cologne,15,50.932510000000001,6.862640000000000,18,5,0.278000000000000,50.940528999999998,6.959910000000000,Germany,Europe,6.874100000000000,21.352300000000000,0.321900000000000,13,14,1,0.000069444451688,1.016799926760000
-1,Cologne,16,50.931710000000002,6.871260000000000,14,0,0.000000000000000,50.940528999999998,6.959910000000000,Germany,Europe,6.288900000000000,21.352300000000000,0.294500000000000,14,15,1,0.000069444451688,1.019500017170000
-1,Cologne,17,50.933880000000002,6.887910000000000,12,5,0.417000000000000,50.940528999999998,6.959910000000000,Germany,Europe,5.099100000000000,21.352300000000000,0.238800000000000,15,16,1,0.000069444451688,1.001199960710000
-1,Cologne,18,50.933610000000002,6.894580000000000,16,5,0.312000000000000,50.940528999999998,6.959910000000000,Germany,Europe,4.642000000000000,21.352300000000000,0.217400000000000,16,17,1,0.000069444451688,1.001199960710000
-1,Cologne,19,50.934260000000002,6.901170000000000,15,13,0.867000000000000,50.940528999999998,6.959910000000000,Germany,Europe,4.174600000000000,21.352300000000000,0.195500000000000,17,18,1,0.000069444451688,0.997399985790000
-1,Cologne,20,50.935139999999997,6.905720000000000,14,4,0.286000000000000,50.940528999999998,6.959910000000000,Germany,Europe,3.844100000000000,21.352300000000000,0.180000000000000,,,,,
-1,Cologne,21,50.935040000000001,6.951383000000000,13,1,0.077000000000000,50.940528999999998,6.959910000000000,Germany,Europe,0.854100000000000,21.352300000000000,0.040000000000000,18,20,1,0.000069444451688,1.006399989130000
-1,Cologne,22,50.935408000000002,6.960830000000000,16,5,0.312000000000000,50.940528999999998,6.959910000000000,Germany,Europe,0.573100000000000,21.352300000000000,0.026800000000000,19,21,1,0.000069444451688,0.994799971581000
-1,Cologne,23,50.936162000000003,6.940823000000000,13,5,0.385000000000000,50.940528999999998,6.959910000000000,Germany,Europe,1.422900000000000,21.352300000000000,0.066600000000000,20,22,1,0.000069444451688,1.003799915310000
-1,Cologne,24,50.937184999999999,6.930183000000000,16,6,0.375000000000000,50.940528999999998,6.959910000000000,Germany,Europe,2.115900000000000,21.352300000000000,0.099100000000000,21,23,1,0.000069444451688,0.998699963093000
-1,Cologne,25,50.936611999999997,6.963005000000000,17,12,0.706000000000000,50.940528999999998,6.959910000000000,Germany,Europe,0.486600000000000,21.352300000000000,0.022800000000000,,,,,
-1,Cologne,26,50.924104999999997,6.727756000000000,16,11,0.688000000000000,50.940528999999998,6.959910000000000,Germany,Europe,16.371400000000001,21.352300000000000,0.766700000000000,22,25,1,0.000069444451688,1.074399948120000
-1,Cologne,27,50.913723300000001,6.667862600000000,19,10,0.526000000000000,50.940528999999998,6.959910000000000,Germany,Europe,20.684600000000000,21.352300000000000,0.968700000000000,23,26,1,0.000069444451688,1.034199953080000
-1,Cologne,28,50.911328699999999,6.658806200000000,16,3,0.188000000000000,50.940528999999998,6.959910000000000,Germany,Europe,21.352300000000000,21.352300000000000,1.000000000000000,24,27,1,0.000069444451688,1.035499930380000
