OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Lansing_gcs_AI_annual_OID,Lansing_gcs_AI_annual_FID_,Lansing_gcs_AI_annual_COUNT,Lansing_gcs_AI_annual_AREA,Lansing_gcs_AI_annual_MEAN
-1,Lansing,1,42.596953399999997,-84.590084700000006,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,15.475800000000000,15.475800000000000,1,0,0,1,0.000069444451688,0.835900008678000
-1,Lansing,2,42.596969199999997,-84.581855800000000,15,3,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,15.364900000000000,15.475800000000000,1,1,1,1,0.000069444451688,0.833599984646000
-1,Lansing,3,42.603610600000003,-84.581631200000004,16,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,14.631399999999999,15.475800000000000,1,2,2,1,0.000069444451688,0.836399972439000
-1,Lansing,4,42.607272500000001,-84.582179199999999,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,14.235600000000000,15.475800000000000,1,,,,,
-1,Lansing,5,42.611240799999997,-84.582208899999998,15,1,0.067000000000000,42.733770999999997,-84.555380999999997,USA,North America,13.800100000000000,15.475800000000000,1,3,4,1,0.000069444451688,0.835399985313000
-1,Lansing,6,42.620344199999998,-84.582126400000007,16,1,0.062000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.800599999999999,15.475800000000000,1,4,5,1,0.000069444451688,0.833599984646000
-1,Lansing,7,42.625084100000002,-84.582222900000005,16,6,0.375000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.282999999999999,15.475800000000000,1,5,6,1,0.000069444451688,0.835399985313000
-1,Lansing,8,42.625725799999998,-84.573830599999994,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.108400000000000,15.475800000000000,1,6,7,1,0.000069444451688,0.835199952126000
-1,Lansing,9,42.630683200000000,-84.582070299999998,17,3,0.176000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.668600000000000,15.475800000000000,1,,,,,
-1,Lansing,10,42.633145900000002,-84.576062199999996,19,4,0.211000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.316000000000001,15.475800000000000,1,,,,,
-1,Lansing,11,42.635324400000002,-84.572800599999994,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.039000000000000,15.475800000000000,1,7,10,1,0.000069444451688,0.834999978542000
-1,Lansing,12,42.640659800000002,-84.574173900000005,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,10.466799999999999,15.475800000000000,1,,,,,
-1,Lansing,13,42.643837599999998,-84.572520600000004,20,4,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,10.097799999999999,15.475800000000000,1,8,12,1,0.000069444451688,0.834999978542000
-1,Lansing,14,42.647404600000002,-84.573078499999994,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.711800000000000,15.475800000000000,1,,,,,
-1,Lansing,15,42.650277099999997,-84.573121400000005,15,1,0.067000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.396599999999999,15.475800000000000,1,9,14,1,0.000069444451688,0.834999978542000
-1,Lansing,16,42.651302899999997,-84.567156199999999,15,4,0.267000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.220400000000000,15.475800000000000,1,,,,,
-1,Lansing,17,42.659999999999997,-84.564860199999998,16,5,0.312000000000000,42.733770999999997,-84.555380999999997,USA,North America,8.239500000000000,15.475800000000000,1,10,16,1,0.000069444451688,0.831900000572000
-1,Lansing,18,42.662680600000002,-84.564817300000001,15,3,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,7.942400000000000,15.475800000000000,1,,,,,
-1,Lansing,19,42.670066200000001,-84.562711300000004,18,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,7.108900000000000,15.475800000000000,0,11,18,1,0.000069444451688,0.831900000572000
-1,Lansing,20,42.672555500000001,-84.563126400000002,17,8,0.471000000000000,42.733770999999997,-84.555380999999997,USA,North America,6.836200000000000,15.475800000000000,0,,,,,
-1,Lansing,21,42.678490600000003,-84.564084600000001,16,1,0.062000000000000,42.733770999999997,-84.555380999999997,USA,North America,6.187900000000000,15.475800000000000,0,12,20,1,0.000069444451688,0.831900000572000
