OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Portland_ME_gcs_AI_annual_OID,Portland_ME_gcs_AI_annual_FID_,Portland_ME_gcs_AI_annual_COUNT,Portland_ME_gcs_AI_annual_AREA,Portland_ME_gcs_AI_annual_MEAN
-1,Portlandme,1,43.65354,-70.26162,20,3,0.15,43.656679,-70.253452,North America,0.7441,13.6547,0.0545,0,0,1,6.94445E-05,1.296700001
-1,Portlandme,2,43.65452,-70.26581,20,5,0.25,43.656679,-70.253452,North America,1.0228,13.6547,0.0749,,,,,
-1,Portlandme,3,43.65846,-70.26772,20,3,0.15,43.656679,-70.253452,North America,1.1648,13.6547,0.0853,1,2,1,6.94445E-05,1.27670002
-1,Portlandme,4,43.66398,-70.26599,20,4,0.2,43.656679,-70.253452,North America,1.2947,13.6547,0.0948,2,3,1,6.94445E-05,1.27670002
-1,Portlandme,5,43.66637,-70.27391,20,3,0.15,43.656679,-70.253452,North America,1.9671,13.6547,0.1441,,,,,
-1,Portlandme,6,43.67095,-70.27833,20,2,0.1,43.656679,-70.253452,North America,2.554,13.6547,0.187,3,5,1,6.94445E-05,1.27639997
-1,Portlandme,7,43.6768,-70.2876,20,4,0.2,43.656679,-70.253452,North America,3.5426,13.6547,0.2594,4,6,1,6.94445E-05,1.288900018
-1,Portlandme,8,43.68327,-70.29422,20,3,0.15,43.656679,-70.253452,North America,4.4152,13.6547,0.3233,5,7,1,6.94445E-05,1.300099969
-1,Portlandme,9,43.69208,-70.29145,20,2,0.1,43.656679,-70.253452,North America,4.9834,13.6547,0.365,6,8,1,6.94445E-05,1.283699989
-1,Portlandme,10,43.70292,-70.28154,20,2,0.1,43.656679,-70.253452,North America,5.616,13.6547,0.4113,7,9,1,6.94445E-05,1.297799945
-1,Portlandme,11,43.7174,-70.26448,20,5,0.25,43.656679,-70.253452,North America,6.8098,13.6547,0.4987,8,10,1,6.94445E-05,1.30339992
-1,Portlandme,12,43.7253,-70.25852,20,2,0.1,43.656679,-70.253452,North America,7.6412,13.6547,0.5596,9,11,1,6.94445E-05,1.316900015
