OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Reutlingen_gcs_AI_annual_OID,Reutlingen_gcs_AI_annual_FID_,Reutlingen_gcs_AI_annual_COUNT,Reutlingen_gcs_AI_annual_AREA,Reutlingen_gcs_AI_annual_MEAN
-1,Reutlingen,1,48.491030000000002,9.208560000000000,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,0.233900000000000,9.539000000000000,0.024500000000000,0,0,1,0.000069444451688,0.967999994755000
-1,Reutlingen,2,48.490189999999998,9.218790000000000,20,8,0.400000000000000,48.491951000000000,9.211414000000000,Europe,0.577800000000000,9.539000000000000,0.060600000000000,1,1,1,0.000069444451688,0.966699957848000
-1,Reutlingen,3,48.492789999999999,9.218290000000000,19,5,0.263000000000000,48.491951000000000,9.211414000000000,Europe,0.515200000000000,9.539000000000000,0.054000000000000,2,2,1,0.000069444451688,0.970399975777000
-1,Reutlingen,4,48.495359999999998,9.209899999999999,20,9,0.450000000000000,48.491951000000000,9.211414000000000,Europe,0.395100000000000,9.539000000000000,0.041400000000000,3,3,1,0.000069444451688,0.959099948406000
-1,Reutlingen,5,48.498300000000000,9.209619999999999,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,0.718200000000000,9.539000000000000,0.075300000000000,,,,,
-1,Reutlingen,6,48.500850000000000,9.203320000000000,20,5,0.250000000000000,48.491951000000000,9.211414000000000,Europe,1.155400000000000,9.539000000000000,0.121100000000000,4,5,1,0.000069444451688,0.966699957848000
-1,Reutlingen,7,48.502859999999998,9.204829999999999,20,2,0.100000000000000,48.491951000000000,9.211414000000000,Europe,1.306400000000000,9.539000000000000,0.137000000000000,,,,,
-1,Reutlingen,8,48.504899999999999,9.204610000000001,20,2,0.100000000000000,48.491951000000000,9.211414000000000,Europe,1.524600000000000,9.539000000000000,0.159800000000000,,,,,
-1,Reutlingen,9,48.506850000000000,9.207789999999999,20,2,0.100000000000000,48.491951000000000,9.211414000000000,Europe,1.678100000000000,9.539000000000000,0.175900000000000,,,,,
-1,Reutlingen,10,48.507869999999997,9.209330000000000,20,5,0.250000000000000,48.491951000000000,9.211414000000000,Europe,1.776800000000000,9.539000000000000,0.186300000000000,5,9,1,0.000069444451688,0.964100003242000
-1,Reutlingen,11,48.509659999999997,9.211600000000001,20,6,0.300000000000000,48.491951000000000,9.211414000000000,Europe,1.969200000000000,9.539000000000000,0.206400000000000,6,10,1,0.000069444451688,0.969099998474000
-1,Reutlingen,12,48.513739999999999,9.215320000000000,19,11,0.579000000000000,48.491951000000000,9.211414000000000,Europe,2.439900000000000,9.539000000000000,0.255800000000000,,,,,
-1,Reutlingen,13,48.512419999999999,9.219519999999999,17,7,0.412000000000000,48.491951000000000,9.211414000000000,Europe,2.353100000000000,9.539000000000000,0.246700000000000,7,12,1,0.000069444451688,0.969099998474000
-1,Reutlingen,14,48.513700000000000,9.225379999999999,19,3,0.158000000000000,48.491951000000000,9.211414000000000,Europe,2.628200000000000,9.539000000000000,0.275500000000000,8,13,1,0.000069444451688,0.967799961567000
-1,Reutlingen,15,48.517840000000000,9.225619999999999,20,7,0.350000000000000,48.491951000000000,9.211414000000000,Europe,3.063100000000000,9.539000000000000,0.321100000000000,9,14,1,0.000069444451688,0.945199966431000
-1,Reutlingen,16,48.519640000000003,9.225610000000000,20,14,0.700000000000000,48.491951000000000,9.211414000000000,Europe,3.251700000000000,9.539000000000000,0.340900000000000,,,,,
-1,Reutlingen,17,48.521580000000000,9.223850000000001,20,4,0.200000000000000,48.491951000000000,9.211414000000000,Europe,3.419600000000000,9.539000000000000,0.358500000000000,10,16,1,0.000069444451688,0.963999986649000
-1,Reutlingen,18,48.525440000000003,9.228040000000000,20,6,0.300000000000000,48.491951000000000,9.211414000000000,Europe,3.920100000000000,9.539000000000000,0.411000000000000,11,17,1,0.000069444451688,0.927599966526000
-1,Reutlingen,19,48.527220000000000,9.229810000000001,20,13,0.650000000000000,48.491951000000000,9.211414000000000,Europe,4.149300000000000,9.539000000000000,0.435000000000000,,,,,
-1,Reutlingen,20,48.530000000000001,9.230320000000001,20,9,0.450000000000000,48.491951000000000,9.211414000000000,Europe,4.454200000000000,9.539000000000000,0.466900000000000,,,,,
-1,Reutlingen,21,48.531739999999999,9.229850000000001,20,5,0.250000000000000,48.491951000000000,9.211414000000000,Europe,4.628100000000000,9.539000000000000,0.485200000000000,,,,,
