City,Population,Plant,Transect,Latitude,Longitude,Distance,Tissue,Plate,Notes,Qubit_conc,,,,,,
Toronto,39,1,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,2,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,3,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,4,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,5,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,6,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,7,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,,,,,,,
Toronto,39,8,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,DNA lost,,,,,,,
Toronto,39,9,A,43.66346793,-79.41200875,2.64091112,Leaf,2,,4.3,,,,,,
Toronto,39,10,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,,11.7,,,,,,
Toronto,39,11,A,43.66346793,-79.41200875,2.64091112,Leaf,2,,18,,,,,,
Toronto,39,12,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,,3.8,,,,,,
Toronto,39,13,A,43.66346793,-79.41200875,2.64091112,Leaf,2,,11.9,,,,,,
Toronto,39,14,A,43.66346793,-79.41200875,2.64091112,Leaf/Stolon,2,,17.4,,,,,,
Toronto,39,15,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,,23.2,,,,,,
Toronto,39,16,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,,3.78,,,,,,
Toronto,39,17,A,43.66346793,-79.41200875,2.64091112,Leaf,2,,9.88,,,,,,
Toronto,39,18,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,,20.6,,,,,,
Toronto,39,19,A,43.66346793,-79.41200875,2.64091112,Leaf,2,,4.82,,,,,,
Toronto,39,20,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,,21.6,,,,,,
Toronto,40,1,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,30.4,,,,,,
Toronto,40,2,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,6.42,,,,,,
Toronto,40,3,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,,32.8,,,,,,
Toronto,40,4,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,9.32,,,,,,
Toronto,40,5,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,,12.4,,,,,,
Toronto,40,6,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,59.8,,,,,,
Toronto,40,7,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,,43.4,,,,,,
Toronto,40,8,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,14.1,,,,,,
Toronto,40,9,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,10.7,,,,,,
Toronto,40,10,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,,61,,,,,,
Toronto,40,11,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,,8.2,,,,,,
Toronto,40,12,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,12.9,,,,,,
Toronto,40,13,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,,9.74,,,,,,
Toronto,40,14,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,7.28,,,,,,
Toronto,40,15,A,43.6571995,-79.40756003,2.240528963,Petiole/Infl,2,,2.2,,,,,,
Toronto,40,16,A,43.6571995,-79.40756003,2.240528963,Petiole,2,,5.64,,,,,,
Toronto,40,17,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,,15.2,,,,,,
Toronto,40,18,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,11,,,,,,
Toronto,40,19,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,59.4,,,,,,
Toronto,40,20,A,43.6571995,-79.40756003,2.240528963,Leaf,2,,21.8,,,,,,
Toronto,41,1,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,13.1,,,,,,
Toronto,41,2,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,48.6,,,,,,
Toronto,41,3,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,7.06,,,,,,
Toronto,41,4,A,43.64994276,-79.404773,2.114903256,Petiole,2,,7.92,,,,,,
Toronto,41,5,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,6.12,,,,,,
Toronto,41,6,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,2.48,,,,,,
Toronto,41,7,A,43.64994276,-79.404773,2.114903256,Petiole,2,,13.4,,,,,,
Toronto,41,8,A,43.64994276,-79.404773,2.114903256,Leaf,2,,30,,,,,,
Toronto,41,9,A,43.64994276,-79.404773,2.114903256,Leaf,2,,9.54,,,,,,
Toronto,41,10,A,43.64994276,-79.404773,2.114903256,Leaf/Petiole,2,,11.2,,,,,,
Toronto,41,11,A,43.64994276,-79.404773,2.114903256,Leaf/Petiole,2,,5.74,,,,,,
Toronto,41,12,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,51.4,,,,,,
Toronto,41,13,A,43.64994276,-79.404773,2.114903256,Leaf/Stolon,2,,38.2,,,,,,
Toronto,41,14,A,43.64994276,-79.404773,2.114903256,Leaf/Stolon,2,,33.6,,,,,,
Toronto,41,15,A,43.64994276,-79.404773,2.114903256,Leaf/Stolon/Infl,2,,11.5,,,,,,
Toronto,41,16,A,43.64994276,-79.404773,2.114903256,Leaf/Petiole,2,,37.2,,,,,,
Toronto,41,17,A,43.64994276,-79.404773,2.114903256,Petiole/Infl,2,,2.1,,,,,,
Toronto,41,18,A,43.64994276,-79.404773,2.114903256,Leaf,2,,28.6,,,,,,
Toronto,41,19,A,43.64994276,-79.404773,2.114903256,Petiole/Stolon,2,,8.68,,,,,,
Toronto,41,20,A,43.64994276,-79.404773,2.114903256,Petiole,2,,8.14,,,,,,
Toronto,42,1,A,43.64299751,-79.40337219,2.38745258,Petiole/Stolon,2,,15.4,,,,,,
Toronto,42,2,A,43.64299751,-79.40337219,2.38745258,Leaf,2,,42.4,,,,,,
Toronto,42,3,A,43.64299751,-79.40337219,2.38745258,Leaf,2,,47.6,,,,,,
Toronto,42,4,A,43.64299751,-79.40337219,2.38745258,Leaf/Petiole,2,,51.6,,,,,,
Toronto,42,5,A,43.64299751,-79.40337219,2.38745258,Petiole/Infl,2,,13.5,,,,,,
Toronto,42,6,A,43.64299751,-79.40337219,2.38745258,Petiole,2,,21,,,,,,
Toronto,42,7,A,43.64299751,-79.40337219,2.38745258,Leaf/Petiole,2,,34.2,,,,,,
Toronto,42,8,A,43.64299751,-79.40337219,2.38745258,Petiole/Stolon,2,,32,,,,,,
Toronto,42,9,A,43.64299751,-79.40337219,2.38745258,Leaf,2,,37.8,,,,,,
Toronto,42,10,A,43.64299751,-79.40337219,2.38745258,Leaf/Petiole/Stolon,2,,39.8,,,,,,
Toronto,42,11,A,43.64299751,-79.40337219,2.38745258,Petiole/Stolon,2,,30.6,,,,,,
Toronto,42,12,A,43.64299751,-79.40337219,2.38745258,Petiole/Stolon,2,,39.4,,,,,,
Toronto,42,13,A,43.64299751,-79.40337219,2.38745258,Stolon,2,,27.6,,,,,,
Toronto,42,14,A,43.64299751,-79.40337219,2.38745258,Leaf,2,,29.4,,,,,,
Toronto,42,15,A,43.64299751,-79.40337219,2.38745258,Leaf/Petiole,2,,30,,,,,,
Toronto,42,16,A,43.64299751,-79.40337219,2.38745258,Leaf/Petiole,2,,25.4,,,,,,
Toronto,42,17,A,43.64299751,-79.40337219,2.38745258,Leaf/Petiole,2,,65.2,,,,,,
Toronto,42,18,A,43.64299751,-79.40337219,2.38745258,Petiole/Infl,2,,8.48,,,,,,
Toronto,42,19,A,43.64299751,-79.40337219,2.38745258,Stolon,2,,16.5,,,,,,
