OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,houston_025040_20180103_LST_pcs_OID,houston_025040_20180103_LST_pcs_FID_,houston_025040_20180103_LST_pcs_COUNT,houston_025040_20180103_LST_pcs_AREA,houston_025040_20180103_LST_pcs_MEAN
-1,Houston,1,29.758890000000001,-95.367779999999996,16,16,1.000000000000000,29.758938000000001,-95.367697000000007,North America,0.009600000000000,71.158100000000005,0.000100000000000,100.000000000000000,0,0,0,37,33300.000000000000000,5.421085457630000
-1,Houston,2,29.751670000000001,-95.365560000000002,21,14,0.667000000000000,29.758938000000001,-95.367697000000007,North America,0.834100000000000,71.158100000000005,0.011700000000000,100.000000000000000,1,1,1,35,31500.000000000000000,9.940577722200000
-1,Houston,3,29.738890000000001,-95.371110000000002,21,5,0.238000000000000,29.758938000000001,-95.367697000000007,North America,2.253500000000000,71.158100000000005,0.031700000000000,100.000000000000000,2,2,2,36,32400.000000000000000,8.679901116340000
-1,Houston,4,29.742500000000000,-95.383060000000000,13,12,0.923000000000000,29.758938000000001,-95.367697000000007,North America,2.353800000000000,71.158100000000005,0.033100000000000,100.000000000000000,3,3,3,32,28800.000000000000000,8.628751308449999
-1,Houston,5,29.732500000000002,-95.402780000000007,20,13,0.650000000000000,29.758938000000001,-95.367697000000007,North America,4.484900000000000,71.158100000000005,0.063000000000000,100.000000000000000,4,4,4,35,31500.000000000000000,9.196038786580001
-1,Houston,6,29.728330000000000,-95.408330000000007,14,7,0.500000000000000,29.758938000000001,-95.367697000000007,North America,5.193500000000000,71.158100000000005,0.073000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,8.247148611749999
-1,Houston,7,29.722500000000000,-95.424999999999997,17,16,0.941000000000000,29.758938000000001,-95.367697000000007,North America,6.857500000000000,71.158100000000005,0.096400000000000,100.000000000000000,6,6,6,35,31500.000000000000000,8.985924383630000
-1,Houston,8,29.715000000000000,-95.433890000000005,14,12,0.857000000000000,29.758938000000001,-95.367697000000007,North America,8.044600000000001,71.158100000000005,0.113100000000000,100.000000000000000,7,7,7,35,31500.000000000000000,8.941462484520001
-1,Houston,9,29.706370000000000,-95.451080000000005,19,19,1.000000000000000,29.758938000000001,-95.367697000000007,North America,9.949299999999999,71.158100000000005,0.139800000000000,100.000000000000000,8,8,8,32,28800.000000000000000,8.797759079090000
-1,Houston,10,29.703610000000001,-95.469440000000006,13,11,0.846000000000000,29.758938000000001,-95.367697000000007,North America,11.591400000000000,71.158100000000005,0.162900000000000,100.000000000000000,9,9,9,36,32400.000000000000000,8.744157452920000
