OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,stratford_019030_20160104_LST_pcs_OID,stratford_019030_20160104_LST_pcs_FID_,stratford_019030_20160104_LST_pcs_COUNT,stratford_019030_20160104_LST_pcs_AREA,stratford_019030_20160104_LST_pcs_MEAN
-1,Stratford,1,43.373773999999997,-80.978791999999999,NA,NA,0.545454545000000,43.369951999999998,-80.982084000000000,North America,0.501415218887000,5.031994646070000,0.099600000000000,100.000000000000000,0,0,0,36,32400.000000000000000,-8.187446514110000
-1,Stratford,2,43.372500000000002,-80.981388999999993,NA,NA,0.150000000000000,43.369951999999998,-80.982084000000000,North America,0.288840252265000,5.031994646070000,0.057400000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-8.673900444690000
-1,Stratford,3,43.370801999999998,-80.980294000000001,NA,NA,0.260869565000000,43.369951999999998,-80.982084000000000,North America,0.172822558737000,5.031994646070000,0.034300000000000,100.000000000000000,2,2,2,36,32400.000000000000000,-9.162076225580000
-1,Stratford,4,43.368986000000000,-80.979816000000000,NA,NA,0.217391304000000,43.369951999999998,-80.982084000000000,North America,0.212477549801000,5.031994646070000,0.042200000000000,100.000000000000000,3,3,3,36,32400.000000000000000,-8.795032996560000
-1,Stratford,5,43.367364999999999,-80.980064999999996,NA,NA,0.565217391000000,43.369951999999998,-80.982084000000000,North America,0.330732483396000,5.031994646070000,0.065700000000000,100.000000000000000,4,4,4,32,28800.000000000000000,-8.717474880519999
-1,Stratford,6,43.364941000000002,-80.978932999999998,NA,NA,0.304347826000000,43.369951999999998,-80.982084000000000,North America,0.612655530238000,5.031994646070000,0.121800000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-9.823304691620001
-1,Stratford,7,43.362800000000000,-80.977800000000002,NA,NA,0.190476190000000,43.369951999999998,-80.982084000000000,North America,0.867394707771000,5.031994646070000,0.172400000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-9.275790993950000
-1,Stratford,8,43.361392000000002,-80.976676999999995,NA,NA,0.391304348000000,43.369951999999998,-80.982084000000000,North America,1.047388342470000,5.031994646070000,0.208100000000000,100.000000000000000,7,7,7,31,27900.000000000000000,-9.163140743780000
-1,Stratford,9,43.359228999999999,-80.975616000000002,NA,NA,0.363636364000000,43.369951999999998,-80.982084000000000,North America,1.301948253240000,5.031994646070000,0.258700000000000,100.000000000000000,8,8,8,32,28800.000000000000000,-9.138926670400000
-1,Stratford,10,43.356943000000001,-80.974581000000001,NA,NA,0.476190476000000,43.369951999999998,-80.982084000000000,North America,1.568552848900000,5.031994646070000,0.311700000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-10.586469098400000
-1,Stratford,11,43.354841999999998,-80.973499000000004,NA,NA,0.400000000000000,43.369951999999998,-80.982084000000000,North America,1.817853721010000,5.031994646070000,0.361300000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-9.242636657620000
-1,Stratford,12,43.353566999999998,-80.972498999999999,NA,NA,0.521739130000000,43.369951999999998,-80.982084000000000,North America,1.979862370870000,5.031994646070000,0.393500000000000,100.000000000000000,11,11,11,33,29700.000000000000000,-9.346030100840000
-1,Stratford,13,43.351281999999998,-80.971620000000001,NA,NA,0.550000000000000,43.369951999999998,-80.982084000000000,North America,2.241750902080000,5.031994646070000,0.445500000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-10.526376939900000
-1,Stratford,14,43.349209999999999,-80.970534999999998,NA,NA,0.285714286000000,43.369951999999998,-80.982084000000000,North America,2.488225752070000,5.031994646070000,0.494500000000000,100.000000000000000,13,13,13,34,30600.000000000000000,-10.945651789099999
-1,Stratford,15,43.346870000000003,-80.968963000000002,NA,NA,0.304347826000000,43.369951999999998,-80.982084000000000,North America,2.777178581710000,5.031994646070000,0.551900000000000,100.000000000000000,14,14,14,36,32400.000000000000000,-10.640737126399999
