OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,detroit_020031_20150225_LST_pcs_OID,detroit_020031_20150225_LST_pcs_FID_,detroit_020031_20150225_LST_pcs_COUNT,detroit_020031_20150225_LST_pcs_AREA,detroit_020031_20150225_LST_pcs_MEAN
-1,Detroit,1,41.945850000000000,-83.559169999999995,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,60.250700000000002,60.250700000000002,1.000000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-5.964707328360000
-1,Detroit,2,41.961150000000004,-83.548460000000006,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,58.416600000000003,60.250700000000002,0.969600000000000,100.000000000000000,1,1,1,36,32400.000000000000000,-6.309893996450000
-1,Detroit,3,41.977969999999999,-83.537120000000002,15,7,0.467000000000000,42.332939000000003,-83.047836000000004,North America,56.432499999999997,60.250700000000002,0.936600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-7.835303412700000
-1,Detroit,4,41.994320000000002,-83.528189999999995,15,11,0.733000000000000,42.332939000000003,-83.047836000000004,North America,54.636800000000001,60.250700000000002,0.906800000000000,100.000000000000000,3,3,3,32,28800.000000000000000,-7.724362898720000
-1,Detroit,5,42.008719999999997,-83.508650000000003,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,52.363199999999999,60.250700000000002,0.869100000000000,100.000000000000000,4,4,4,35,31500.000000000000000,-7.600919491350000
-1,Detroit,6,42.021220000000000,-83.496650000000002,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,50.687399999999997,60.250700000000002,0.841300000000000,100.000000000000000,5,5,5,32,28800.000000000000000,-6.922552905370000
-1,Detroit,7,42.027749999999997,-83.479650000000007,15,2,0.133000000000000,42.332939000000003,-83.047836000000004,North America,49.169300000000000,60.250700000000002,0.816100000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-8.242198770980000
-1,Detroit,8,42.041379999999997,-83.474810000000005,15,1,0.067000000000000,42.332939000000003,-83.047836000000004,North America,47.838999999999999,60.250700000000002,0.794000000000000,100.000000000000000,7,7,7,36,32400.000000000000000,-9.190294187450000
-1,Detroit,9,42.057910000000000,-83.479860000000002,15,4,0.267000000000000,42.332939000000003,-83.047836000000004,North America,46.924199999999999,60.250700000000002,0.778800000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-7.680435232820000
-1,Detroit,10,42.072940000000003,-83.457560000000001,15,6,0.400000000000000,42.332939000000003,-83.047836000000004,North America,44.438699999999997,60.250700000000002,0.737600000000000,100.000000000000000,9,9,9,37,33300.000000000000000,-8.188795240570000
