OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,memphis_023036_20180105_LST_pcs_OID,memphis_023036_20180105_LST_pcs_FID_,memphis_023036_20180105_LST_pcs_COUNT,memphis_023036_20180105_LST_pcs_AREA,memphis_023036_20180105_LST_pcs_MEAN
,Memphis,1,35.157477000000000,-90.048051999999998,20,4,0.200000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.994800000000000,18.396000000000001,0.054100000000000,100.000000000000000,0,0,0,35,31500.000000000000000,6.359566352040000
,Memphis,2,35.154190999999997,-90.047194000000005,20,7,0.350000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.702100000000000,18.396000000000001,0.038200000000000,100.000000000000000,1,1,1,34,30600.000000000000000,6.001265055840000
,Memphis,3,35.151556700000000,-90.047774000000004,20,3,0.150000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.449800000000000,18.396000000000001,0.024500000000000,100.000000000000000,2,2,2,35,31500.000000000000000,5.854593145180000
,Memphis,4,35.149888599999997,-90.049760899999995,20,5,0.250000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.195300000000000,18.396000000000001,0.010600000000000,100.000000000000000,3,3,3,32,28800.000000000000000,5.143681741010000
,Memphis,5,35.148299999999999,-90.045000000000002,20,0,0.000000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.608000000000000,18.396000000000001,0.033100000000000,100.000000000000000,4,4,4,37,33300.000000000000000,7.216624715480000
,Memphis,6,35.146099999999997,-90.052509999999998,16,10,0.625000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.334600000000000,18.396000000000001,0.018200000000000,100.000000000000000,5,5,5,36,32400.000000000000000,4.321047140860000
,Memphis,7,35.139699999999998,-90.057800000000000,20,9,0.450000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.178700000000000,18.396000000000001,0.064100000000000,100.000000000000000,6,6,6,37,33300.000000000000000,4.508570344040000
,Memphis,8,35.135100000000001,-90.058599999999998,18,6,0.333000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.672800000000000,18.396000000000001,0.090900000000000,100.000000000000000,7,7,7,35,31500.000000000000000,6.653033735170000
,Memphis,9,35.134900000000002,-90.056682100000003,16,4,0.250000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.636100000000000,18.396000000000001,0.088900000000000,100.000000000000000,8,8,8,34,30600.000000000000000,7.143815142010000
,Memphis,10,35.133253099999997,-90.056682100000003,17,3,0.176000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.812600000000000,18.396000000000001,0.098500000000000,100.000000000000000,9,9,9,36,32400.000000000000000,6.250315457580000
,Memphis,11,35.129600000000003,-90.059200000000004,16,5,0.312000000000000,35.149022000000002,-90.051629000000005,USA,North America,2.266700000000000,18.396000000000001,0.123200000000000,100.000000000000000,10,10,10,35,31500.000000000000000,5.866664648130000
,Memphis,12,35.126600000000003,-90.061800000000005,20,11,0.550000000000000,35.149022000000002,-90.051629000000005,USA,North America,2.659200000000000,18.396000000000001,0.144600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,6.419723652250000
,Memphis,13,35.123311299999997,-90.047734700000007,20,8,0.400000000000000,35.149022000000002,-90.051629000000005,USA,North America,2.880700000000000,18.396000000000001,0.156600000000000,100.000000000000000,12,12,12,34,30600.000000000000000,6.462462470050000
,Memphis,14,35.142423899999997,-90.045443599999999,20,7,0.350000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.924400000000000,18.396000000000001,0.050300000000000,100.000000000000000,13,13,13,35,31500.000000000000000,6.444149934280000
