OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,madison_024030_20150205_LST_pcs_OID,madison_024030_20150205_LST_pcs_FID_,madison_024030_20150205_LST_pcs_COUNT,madison_024030_20150205_LST_pcs_AREA,madison_024030_20150205_LST_pcs_MEAN
-1,Madison,1,43.067979999999999,-89.416640000000001,20,2,0.100000000000000,43.074761000000002,-89.383761000000007,North America,2.775100000000000,15.826700000000001,0.175300000000000,100.000000000000000,0,0,0,37,33300.000000000000000,-10.411845792599999
-1,Madison,2,43.068860000000001,-89.408929999999998,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,2.147100000000000,15.826700000000001,0.135700000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-10.464529612900000
-1,Madison,3,43.071150000000003,-89.404470000000003,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,1.729400000000000,15.826700000000001,0.109300000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-9.986397953279999
-1,Madison,4,43.072049999999997,-89.398430000000005,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,1.229000000000000,15.826700000000001,0.077700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-10.671239118400001
-1,Madison,5,43.075049999999997,-89.392920000000004,20,4,0.200000000000000,43.074761000000002,-89.383761000000007,North America,0.744600000000000,15.826700000000001,0.047000000000000,100.000000000000000,4,4,4,35,31500.000000000000000,-10.707651070200001
-1,Madison,6,43.077260000000003,-89.389560000000003,20,3,0.150000000000000,43.074761000000002,-89.383761000000007,North America,0.546900000000000,15.826700000000001,0.034600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-9.764808093370000
-1,Madison,7,43.078479999999999,-89.383240000000001,20,3,0.150000000000000,43.074761000000002,-89.383761000000007,North America,0.415700000000000,15.826700000000001,0.026300000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-9.982090513139999
-1,Madison,9,43.081560000000003,-89.378619999999998,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,0.863700000000000,15.826700000000001,0.054600000000000,100.000000000000000,8,7,8,32,28800.000000000000000,-10.473851046800000
-1,Madison,10,43.082200000000000,-89.376639999999995,20,3,0.150000000000000,43.074761000000002,-89.383761000000007,North America,1.009300000000000,15.826700000000001,0.063800000000000,100.000000000000000,9,8,9,34,30600.000000000000000,-11.114550807900001
-1,Madison,11,43.083840000000002,-89.370880000000000,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,1.453800000000000,15.826700000000001,0.091900000000000,100.000000000000000,10,9,10,34,30600.000000000000000,-11.101779662100000
-1,Madison,12,43.084940000000003,-89.369299999999996,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,1.631100000000000,15.826700000000001,0.103100000000000,100.000000000000000,11,10,11,35,31500.000000000000000,-9.839389340840000
-1,Madison,13,43.088389999999997,-89.363889999999998,20,1,0.050000000000000,43.074761000000002,-89.383761000000007,North America,2.213800000000000,15.826700000000001,0.139900000000000,100.000000000000000,12,11,12,35,31500.000000000000000,-10.464438063899999
-1,Madison,14,43.088650000000001,-89.361120000000000,20,2,0.100000000000000,43.074761000000002,-89.383761000000007,North America,2.401300000000000,15.826700000000001,0.151700000000000,100.000000000000000,13,12,13,36,32400.000000000000000,-11.270779600399999
-1,Madison,15,43.089930000000003,-89.356489999999994,20,3,0.150000000000000,43.074761000000002,-89.383761000000007,North America,2.783900000000000,15.826700000000001,0.175900000000000,100.000000000000000,14,13,14,32,28800.000000000000000,-10.238405329800001
