OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,temuco_233087_20140618_LST_pcs_OID,temuco_233087_20140618_LST_pcs_FID_,temuco_233087_20140618_LST_pcs_COUNT,temuco_233087_20140618_LST_pcs_AREA,temuco_233087_20140618_LST_pcs_MEAN
-1,Temuco,1,-38.733080000000001,-72.588890000000006,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.768700000000000,20.111899999999999,0.038200000000000,100.000000000000000,0,0,0,35,31500.000000000000000,4.279373325660000
-1,Temuco,2,-38.735129999999998,-72.591939999999994,20,8,0.400000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.554800000000000,20.111899999999999,0.027600000000000,100.000000000000000,1,1,1,32,28800.000000000000000,4.237304767450000
-1,Temuco,3,-38.736669999999997,-72.595280000000002,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.572900000000000,20.111899999999999,0.028500000000000,100.000000000000000,2,2,2,35,31500.000000000000000,3.056415315410000
-1,Temuco,4,-38.739310000000003,-72.600279999999998,16,8,0.500000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.880600000000000,20.111899999999999,0.043800000000000,100.000000000000000,3,3,3,36,32400.000000000000000,4.420190284300000
-1,Temuco,5,-38.736440000000002,-72.598060000000004,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,0.787200000000000,20.111899999999999,0.039100000000000,100.000000000000000,4,4,4,35,31500.000000000000000,4.829946599790000
-1,Temuco,6,-38.743499999999997,-72.610190000000003,19,12,0.632000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.782400000000000,20.111899999999999,0.088600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,2.430934702800000
-1,Temuco,7,-38.743079999999999,-72.607939999999999,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.581800000000000,20.111899999999999,0.078600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,1.667327215880000
-1,Temuco,8,-38.744109999999999,-72.612309999999994,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.976900000000000,20.111899999999999,0.098300000000000,100.000000000000000,7,7,7,35,31500.000000000000000,4.197340923160000
-1,Temuco,9,-38.744970000000002,-72.616439999999997,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,2.347600000000000,20.111899999999999,0.116700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,5.092842136880000
-1,Temuco,10,-38.745690000000003,-72.620639999999995,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,2.720400000000000,20.111899999999999,0.135300000000000,100.000000000000000,9,9,9,32,28800.000000000000000,5.989335572490000
-1,Temuco,11,-38.746029999999998,-72.622810000000001,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,2.912200000000000,20.111899999999999,0.144800000000000,100.000000000000000,10,10,10,36,32400.000000000000000,6.251454252130000
-1,Temuco,12,-38.746780000000001,-72.626360000000005,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,3.231100000000000,20.111899999999999,0.160700000000000,100.000000000000000,11,11,11,35,31500.000000000000000,5.939958401590000
-1,Temuco,13,-38.747470000000000,-72.629469999999998,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,3.511300000000000,20.111899999999999,0.174600000000000,100.000000000000000,12,12,12,32,28800.000000000000000,5.979432442110000
-1,Temuco,14,-38.742860000000000,-72.605279999999993,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.351700000000000,20.111899999999999,0.067200000000000,100.000000000000000,13,13,13,35,31500.000000000000000,3.568553214440000
-1,Temuco,15,-38.740639999999999,-72.603750000000005,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,1.181600000000000,20.111899999999999,0.058800000000000,100.000000000000000,14,14,14,36,32400.000000000000000,4.308654028220000
-1,Temuco,16,-38.747970000000002,-72.632639999999995,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,3.791500000000000,20.111899999999999,0.188500000000000,100.000000000000000,15,15,15,36,32400.000000000000000,3.956988978600000
-1,Temuco,17,-38.748860000000001,-72.635559999999998,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,4.061100000000000,20.111899999999999,0.201900000000000,100.000000000000000,16,16,16,37,33300.000000000000000,4.713200741800000
-1,Temuco,18,-38.749820000000000,-72.639009999999999,20,15,0.750000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,4.377400000000000,20.111899999999999,0.217700000000000,100.000000000000000,17,17,17,35,31500.000000000000000,5.996290838420000
-1,Temuco,19,-38.750529999999998,-72.642560000000003,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,4.695200000000000,20.111899999999999,0.233500000000000,100.000000000000000,18,18,18,35,31500.000000000000000,6.449723167260000
-1,Temuco,20,-38.751669999999997,-72.646860000000004,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.088100000000000,20.111899999999999,0.253000000000000,100.000000000000000,19,19,19,35,31500.000000000000000,5.106788659370000
-1,Temuco,25,-38.754309999999997,-72.650000000000006,20,19,0.950000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.430800000000000,20.111899999999999,0.270000000000000,100.000000000000000,24,20,24,36,32400.000000000000000,2.997615112600000
-1,Temuco,26,-38.755470000000003,-72.652780000000007,20,19,0.950000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.699300000000000,20.111899999999999,0.283400000000000,100.000000000000000,25,21,25,35,31500.000000000000000,5.606058207880000
-1,Temuco,27,-38.756329999999998,-72.656109999999998,20,18,0.900000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,6.003500000000000,20.111899999999999,0.298500000000000,100.000000000000000,26,22,26,35,31500.000000000000000,5.745525553230000
-1,Temuco,28,-38.756920000000001,-72.659310000000005,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,6.287800000000000,20.111899999999999,0.312600000000000,100.000000000000000,27,23,27,35,31500.000000000000000,5.849965436880000
-1,Temuco,29,-38.741920000000000,-72.657499999999999,20,17,0.850000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,5.844900000000000,20.111899999999999,0.290600000000000,100.000000000000000,28,24,28,35,31500.000000000000000,5.208933813120000
-1,Temuco,30,-38.755809999999997,-72.667220000000000,20,16,0.800000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,6.912600000000000,20.111899999999999,0.343700000000000,100.000000000000000,29,25,29,32,28800.000000000000000,4.244331630840000
-1,Temuco,31,-38.761389999999999,-72.701669999999993,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,9.960500000000000,20.111899999999999,0.495300000000000,100.000000000000000,30,26,30,35,31500.000000000000000,6.458494084300000
-1,Temuco,32,-38.761189999999999,-72.692499999999995,20,13,0.650000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,9.184699999999999,20.111899999999999,0.456700000000000,100.000000000000000,31,27,31,34,30600.000000000000000,4.959666815740000
-1,Temuco,33,-38.760420000000003,-72.715000000000003,20,12,0.600000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,11.063599999999999,20.111899999999999,0.550100000000000,100.000000000000000,32,28,32,36,32400.000000000000000,5.616650623020000
-1,Temuco,34,-38.759580000000000,-72.685280000000006,20,14,0.700000000000000,-38.739922000000000,-72.590157000000005,Chile,South America,8.533700000000000,20.111899999999999,0.424300000000000,100.000000000000000,33,29,33,36,32400.000000000000000,5.659219957620000
