OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,chicago_023031_20180105_LST_pcs_OID,chicago_023031_20180105_LST_pcs_FID_,chicago_023031_20180105_LST_pcs_COUNT,chicago_023031_20180105_LST_pcs_AREA,chicago_023031_20180105_LST_pcs_MEAN
-1,Chicago,1,41.851070000000000,-87.742540000000005,15,0,0.000000000000000,41.878112999999999,-87.629799000000006,North America,9.808400000000001,71.106300000000005,0.137900000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-11.530541507500001
-1,Chicago,2,41.862160000000003,-87.744969999999995,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,9.699999999999999,71.106300000000005,0.136400000000000,100.000000000000000,1,1,1,33,29700.000000000000000,-10.775644108700000
-1,Chicago,3,41.875059999999998,-87.744649999999993,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,9.515000000000001,71.106300000000005,0.133800000000000,100.000000000000000,2,2,2,37,33300.000000000000000,-11.620843069599999
-1,Chicago,4,41.891350000000003,-87.745230000000006,15,0,0.000000000000000,41.878112999999999,-87.629799000000006,North America,9.668500000000000,71.106300000000005,0.136000000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-11.267111852499999
-1,Chicago,5,41.901400000000002,-87.746390000000005,15,4,0.267000000000000,41.878112999999999,-87.629799000000006,North America,9.992400000000000,71.106300000000005,0.140500000000000,100.000000000000000,4,4,4,36,32400.000000000000000,-11.138852518600000
-1,Chicago,6,41.911420000000000,-87.745170000000002,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,10.242300000000000,71.106300000000005,0.144000000000000,100.000000000000000,5,5,5,34,30600.000000000000000,-10.427499624299999
-1,Chicago,7,41.923330000000000,-87.746889999999993,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,10.917500000000000,71.106300000000005,0.153500000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-11.080601674900000
-1,Chicago,8,41.936770000000003,-87.745590000000007,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,11.591300000000000,71.106300000000005,0.163000000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-11.083216671000001
-1,Chicago,9,41.951610000000002,-87.746390000000005,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,12.643500000000000,71.106300000000005,0.177800000000000,100.000000000000000,8,8,8,32,28800.000000000000000,-10.970707937100000
-1,Chicago,10,41.963419999999999,-87.756360000000001,15,5,0.333000000000000,41.878112999999999,-87.629799000000006,North America,14.128900000000000,71.106300000000005,0.198700000000000,100.000000000000000,9,9,9,32,28800.000000000000000,-11.031415090499999
-1,Chicago,11,41.973390000000002,-87.764589999999998,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,15.381500000000001,71.106300000000005,0.216300000000000,100.000000000000000,10,10,10,36,32400.000000000000000,-10.592896797300000
-1,Chicago,12,41.986350000000002,-87.776790000000005,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,17.108499999999999,71.106300000000005,0.240600000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-10.833150999900001
-1,Chicago,13,41.997799999999998,-87.787059999999997,15,2,0.133000000000000,41.878112999999999,-87.629799000000006,North America,18.609700000000000,71.106300000000005,0.261700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-11.657086163700001
-1,Chicago,14,42.010480000000001,-87.799260000000004,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,20.324100000000001,71.106300000000005,0.285800000000000,100.000000000000000,13,13,13,32,28800.000000000000000,-11.691070355300001
-1,Chicago,15,42.023420000000002,-87.810310000000001,15,8,0.533000000000000,41.878112999999999,-87.629799000000006,North America,21.997800000000002,71.106300000000005,0.309400000000000,100.000000000000000,14,14,14,35,31500.000000000000000,-11.283883541800000
-1,Chicago,16,42.037390000000002,-87.823869999999999,15,6,0.400000000000000,41.878112999999999,-87.629799000000006,North America,23.899699999999999,71.106300000000005,0.336100000000000,100.000000000000000,15,15,15,35,31500.000000000000000,-11.645998233500000
-1,Chicago,17,42.046289999999999,-87.835909999999998,15,3,0.200000000000000,41.878112999999999,-87.629799000000006,North America,25.300799999999999,71.106300000000005,0.355800000000000,100.000000000000000,16,16,16,35,31500.000000000000000,-11.978196954900000
-1,Chicago,18,42.065579999999997,-87.847769999999997,15,1,0.067000000000000,41.878112999999999,-87.629799000000006,North America,27.554300000000001,71.106300000000005,0.387500000000000,100.000000000000000,17,17,17,36,32400.000000000000000,-11.548294068400001
