OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,lansing_021030_20140128_LST_pcs_OID,lansing_021030_20140128_LST_pcs_FID_,lansing_021030_20140128_LST_pcs_COUNT,lansing_021030_20140128_LST_pcs_AREA,lansing_021030_20140128_LST_pcs_MEAN
-1,Lansing,1,42.596953399999997,-84.590084700000006,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,15.475800000000000,15.475800000000000,1,100.000000000000000,0,0,0,35,31500.000000000000000,-17.698722122600000
-1,Lansing,2,42.596969199999997,-84.581855800000000,15,3,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,15.364900000000000,15.475800000000000,1,100.000000000000000,1,1,1,32,28800.000000000000000,-18.290423254600000
-1,Lansing,3,42.603610600000003,-84.581631200000004,16,0,0.000000000000000,42.733770999999997,-84.555380999999997,USA,North America,14.631399999999999,15.475800000000000,1,100.000000000000000,2,2,2,36,32400.000000000000000,-17.873656456399999
-1,Lansing,4,42.607272500000001,-84.582179199999999,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,14.235600000000000,15.475800000000000,1,100.000000000000000,3,3,3,32,28800.000000000000000,-18.067317467599999
-1,Lansing,5,42.611240799999997,-84.582208899999998,15,1,0.067000000000000,42.733770999999997,-84.555380999999997,USA,North America,13.800100000000000,15.475800000000000,1,100.000000000000000,4,4,4,35,31500.000000000000000,-18.263395332900000
-1,Lansing,6,42.620344199999998,-84.582126400000007,16,1,0.062000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.800599999999999,15.475800000000000,1,100.000000000000000,5,5,5,36,32400.000000000000000,-18.448872089900000
-1,Lansing,7,42.625084100000002,-84.582222900000005,16,6,0.375000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.282999999999999,15.475800000000000,1,100.000000000000000,6,6,6,32,28800.000000000000000,-17.954106327100000
-1,Lansing,8,42.625725799999998,-84.573830599999994,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,12.108400000000000,15.475800000000000,1,100.000000000000000,7,7,7,32,28800.000000000000000,-19.185659034600000
-1,Lansing,9,42.630683200000000,-84.582070299999998,17,3,0.176000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.668600000000000,15.475800000000000,1,100.000000000000000,8,8,8,35,31500.000000000000000,-18.053753961900000
-1,Lansing,10,42.633145900000002,-84.576062199999996,19,4,0.211000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.316000000000001,15.475800000000000,1,100.000000000000000,9,9,9,35,31500.000000000000000,-18.950349390200000
-1,Lansing,11,42.635324400000002,-84.572800599999994,16,4,0.250000000000000,42.733770999999997,-84.555380999999997,USA,North America,11.039000000000000,15.475800000000000,1,100.000000000000000,10,10,10,36,32400.000000000000000,-18.403455515899999
-1,Lansing,12,42.640659800000002,-84.574173900000005,20,3,0.150000000000000,42.733770999999997,-84.555380999999997,USA,North America,10.466799999999999,15.475800000000000,1,100.000000000000000,11,11,11,36,32400.000000000000000,-17.004860269500000
-1,Lansing,13,42.643837599999998,-84.572520600000004,20,4,0.200000000000000,42.733770999999997,-84.555380999999997,USA,North America,10.097799999999999,15.475800000000000,1,100.000000000000000,12,12,12,35,31500.000000000000000,-17.826798764999999
-1,Lansing,14,42.647404600000002,-84.573078499999994,16,3,0.188000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.711800000000000,15.475800000000000,1,100.000000000000000,13,13,13,34,30600.000000000000000,-17.227773914000000
-1,Lansing,15,42.650277099999997,-84.573121400000005,15,1,0.067000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.396599999999999,15.475800000000000,1,100.000000000000000,14,14,14,35,31500.000000000000000,-16.959664667700000
-1,Lansing,16,42.651302899999997,-84.567156199999999,15,4,0.267000000000000,42.733770999999997,-84.555380999999997,USA,North America,9.220400000000000,15.475800000000000,1,100.000000000000000,15,15,15,35,31500.000000000000000,-17.348745386699999
