OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,baltimore_015033_20160124_LST_pcs_OID,baltimore_015033_20160124_LST_pcs_FID_,baltimore_015033_20160124_LST_pcs_COUNT,baltimore_015033_20160124_LST_pcs_AREA,baltimore_015033_20160124_LST_pcs_MEAN
-1,Baltimore,1,39.279470000000003,-76.622550000000004,15,3,0.200000000000000,39.290439999999997,-76.612328000000005,North America,1.504000000000000,51.811199999999999,0.029000000000000,100.000000000000000,0,0,0,36,32400.000000000000000,-3.704979244980000
-1,Baltimore,2,39.286330000000000,-76.618279999999999,15,4,0.267000000000000,39.290439999999997,-76.612328000000005,North America,0.686500000000000,51.811199999999999,0.013300000000000,100.000000000000000,1,1,1,32,28800.000000000000000,-3.335114966420000
-1,Baltimore,3,39.289810000000003,-76.607079999999996,15,7,0.467000000000000,39.290439999999997,-76.612328000000005,North America,0.457000000000000,51.811199999999999,0.008800000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-3.006650607340000
-1,Baltimore,4,39.292160000000003,-76.603250000000003,15,3,0.200000000000000,39.290439999999997,-76.612328000000005,North America,0.804300000000000,51.811199999999999,0.015500000000000,100.000000000000000,3,3,3,37,33300.000000000000000,-3.782081725600000
-1,Baltimore,5,39.291519999999998,-76.618309999999994,15,2,0.133000000000000,39.290439999999997,-76.612328000000005,North America,0.528600000000000,51.811199999999999,0.010200000000000,100.000000000000000,4,4,4,32,28800.000000000000000,-4.278825893060000
-1,Baltimore,6,39.301299999999998,-76.618489999999994,15,0,0.000000000000000,39.290439999999997,-76.612328000000005,North America,1.318900000000000,51.811199999999999,0.025500000000000,100.000000000000000,5,5,5,36,32400.000000000000000,-3.797655482040000
-1,Baltimore,7,39.295250000000003,-76.628519999999995,15,2,0.133000000000000,39.290439999999997,-76.612328000000005,North America,1.492500000000000,51.811199999999999,0.028800000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-3.760553552510000
-1,Baltimore,8,39.305650000000000,-76.637119999999996,15,4,0.267000000000000,39.290439999999997,-76.612328000000005,North America,2.722400000000000,51.811199999999999,0.052500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,-3.773010932330000
-1,Baltimore,9,39.315950000000001,-76.641030000000001,15,1,0.067000000000000,39.290439999999997,-76.612328000000005,North America,3.761000000000000,51.811199999999999,0.072600000000000,100.000000000000000,8,8,8,37,33300.000000000000000,-3.716425625830000
-1,Baltimore,10,39.322479999999999,-76.649460000000005,15,1,0.067000000000000,39.290439999999997,-76.612328000000005,North America,4.785300000000000,51.811199999999999,0.092400000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-3.797986328340000
