OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,norrtalje_193018_20140218_LST_pcs_OID,norrtalje_193018_20140218_LST_pcs_FID_,norrtalje_193018_20140218_LST_pcs_COUNT,norrtalje_193018_20140218_LST_pcs_AREA,norrtalje_193018_20140218_LST_pcs_MEAN
-1,Norrtalje,1,59.751019999999997,18.690249999999999,19,3,0.158000000000000,59.759723999999999,18.701070999999999,Europe,1.141900000000000,6.587100000000000,0.173400000000000,100.000000000000000,0,0,0,35,31500.000000000000000,1.246440569620000
-1,Norrtalje,2,59.753560000000000,18.693079999999998,16,3,0.188000000000000,59.759723999999999,18.701070999999999,Europe,0.818600000000000,6.587100000000000,0.124300000000000,100.000000000000000,1,1,1,32,28800.000000000000000,1.683554096940000
-1,Norrtalje,3,59.755159999999997,18.694810000000000,15,1,0.067000000000000,59.759723999999999,18.701070999999999,Europe,0.616800000000000,6.587100000000000,0.093600000000000,100.000000000000000,2,2,2,32,28800.000000000000000,1.429072951440000
-1,Norrtalje,4,59.755910000000000,18.697199999999999,17,3,0.176000000000000,59.759723999999999,18.701070999999999,Europe,0.476300000000000,6.587100000000000,0.072300000000000,100.000000000000000,3,3,3,31,27900.000000000000000,1.421682342550000
-1,Norrtalje,5,59.758040000000001,18.698409999999999,19,2,0.105000000000000,59.759723999999999,18.701070999999999,Europe,0.239300000000000,6.587100000000000,0.036300000000000,100.000000000000000,4,4,4,35,31500.000000000000000,1.843622965910000
-1,Norrtalje,6,59.758890000000001,18.700510000000001,15,1,0.067000000000000,59.759723999999999,18.701070999999999,Europe,0.097900000000000,6.587100000000000,0.014900000000000,100.000000000000000,5,5,5,31,27900.000000000000000,1.995721830130000
-1,Norrtalje,7,59.759140000000002,18.705240000000000,16,3,0.188000000000000,59.759723999999999,18.701070999999999,Europe,0.242300000000000,6.587100000000000,0.036800000000000,100.000000000000000,6,6,6,34,30600.000000000000000,2.000564626270000
-1,Norrtalje,8,59.760730000000002,18.708939999999998,20,5,0.250000000000000,59.759723999999999,18.701070999999999,Europe,0.454600000000000,6.587100000000000,0.069000000000000,100.000000000000000,7,7,7,35,31500.000000000000000,2.232312910470000
-1,Norrtalje,9,59.761859999999999,18.712630000000001,15,3,0.200000000000000,59.759723999999999,18.701070999999999,Europe,0.689500000000000,6.587100000000000,0.104700000000000,100.000000000000000,8,8,8,32,28800.000000000000000,2.337143052870000
-1,Norrtalje,10,59.764560000000003,18.714590000000001,16,1,0.062000000000000,59.759723999999999,18.701070999999999,Europe,0.928600000000000,6.587100000000000,0.141000000000000,100.000000000000000,9,9,9,32,28800.000000000000000,1.428009325890000
-1,Norrtalje,11,59.767659999999999,18.717020000000002,18,2,0.111000000000000,59.759723999999999,18.701070999999999,Europe,1.255500000000000,6.587100000000000,0.190600000000000,100.000000000000000,10,10,10,33,29700.000000000000000,1.356108035380000
-1,Norrtalje,12,59.769250000000000,18.723600000000001,19,2,0.105000000000000,59.759723999999999,18.701070999999999,Europe,1.647200000000000,6.587100000000000,0.250100000000000,100.000000000000000,11,11,11,36,32400.000000000000000,1.956147491930000
-1,Norrtalje,13,59.770470000000003,18.729120000000002,19,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,1.973400000000000,6.587100000000000,0.299600000000000,100.000000000000000,12,12,12,36,32400.000000000000000,2.021371799310000
-1,Norrtalje,14,59.771120000000003,18.733979999999999,20,3,0.150000000000000,59.759723999999999,18.701070999999999,Europe,2.236300000000000,6.587100000000000,0.339500000000000,100.000000000000000,13,13,13,36,32400.000000000000000,1.519609544970000
-1,Norrtalje,15,59.771470000000001,18.738579999999999,15,3,0.200000000000000,59.759723999999999,18.701070999999999,Europe,2.473200000000000,6.587100000000000,0.375500000000000,100.000000000000000,14,14,14,35,31500.000000000000000,2.130535181550000
-1,Norrtalje,16,59.771929999999998,18.742750000000001,15,2,0.133000000000000,59.759723999999999,18.701070999999999,Europe,2.699600000000000,6.587100000000000,0.409800000000000,100.000000000000000,15,15,15,36,32400.000000000000000,1.620773713390000
-1,Norrtalje,17,59.772669999999998,18.746030000000001,15,2,0.133000000000000,59.759723999999999,18.701070999999999,Europe,2.899800000000000,6.587100000000000,0.440200000000000,100.000000000000000,16,16,16,35,31500.000000000000000,1.672668222080000
-1,Norrtalje,18,59.773919999999997,18.749430000000000,16,4,0.250000000000000,59.759723999999999,18.701070999999999,Europe,3.134100000000000,6.587100000000000,0.475800000000000,100.000000000000000,17,17,17,37,33300.000000000000000,1.392834923930000
-1,Norrtalje,19,59.775329999999997,18.753280000000000,20,2,0.100000000000000,59.759723999999999,18.701070999999999,Europe,3.399400000000000,6.587100000000000,0.516100000000000,100.000000000000000,18,18,18,35,31500.000000000000000,1.060998041860000
-1,Norrtalje,20,59.776380000000003,18.757169999999999,17,10,0.588000000000000,59.759723999999999,18.701070999999999,Europe,3.646200000000000,6.587100000000000,0.553500000000000,100.000000000000000,19,19,19,35,31500.000000000000000,1.889853124140000
-1,Norrtalje,21,59.777369999999998,18.760980000000000,18,3,0.167000000000000,59.759723999999999,18.701070999999999,Europe,3.885800000000000,6.587100000000000,0.589900000000000,100.000000000000000,20,20,20,35,31500.000000000000000,1.798012207350000
-1,Norrtalje,22,59.778329999999997,18.764830000000000,20,2,0.100000000000000,59.759723999999999,18.701070999999999,Europe,4.125800000000000,6.587100000000000,0.626300000000000,100.000000000000000,21,21,21,35,31500.000000000000000,1.531109887970000
-1,Norrtalje,23,59.779600000000002,18.768750000000001,17,0,0.000000000000000,59.759723999999999,18.701070999999999,Europe,4.386400000000000,6.587100000000000,0.665900000000000,100.000000000000000,22,22,22,35,31500.000000000000000,1.365802511730000
