OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,rockford_024031_20150205_LST_pcs_OID,rockford_024031_20150205_LST_pcs_FID_,rockford_024031_20150205_LST_pcs_COUNT,rockford_024031_20150205_LST_pcs_AREA,rockford_024031_20150205_LST_pcs_MEAN
-1,Rockford,1,42.273310000000002,-89.076949999999997,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,1.416200000000000,21.341400000000000,0.066400000000000,100.000000000000000,0,0,0,32,28800.000000000000000,-13.011254469600001
-1,Rockford,2,42.270380000000003,-89.078609999999998,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,1.268500000000000,21.341400000000000,0.059400000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-11.717452870700001
-1,Rockford,3,42.267960000000002,-89.082859999999997,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,0.990400000000000,21.341400000000000,0.046400000000000,100.000000000000000,2,2,2,36,32400.000000000000000,-10.360451354400000
-1,Rockford,4,42.265169999999998,-89.078760000000003,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,1.429900000000000,21.341400000000000,0.067000000000000,100.000000000000000,3,3,3,36,32400.000000000000000,-10.379013117400000
-1,Rockford,5,42.260480000000001,-89.083060000000003,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,1.509400000000000,21.341400000000000,0.070700000000000,100.000000000000000,4,4,4,32,28800.000000000000000,-11.616192386400000
-1,Rockford,6,42.255609999999997,-89.085179999999994,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,1.898300000000000,21.341400000000000,0.088900000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-13.806605953000000
-1,Rockford,7,42.250100000000003,-89.082800000000006,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,2.539900000000000,21.341400000000000,0.119000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-11.469696997800000
-1,Rockford,8,42.246420000000001,-89.082689999999999,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,2.928000000000000,21.341400000000000,0.137200000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-12.222915409800001
-1,Rockford,9,42.241390000000003,-89.082560000000001,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,3.465900000000000,21.341400000000000,0.162400000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-12.511141419699999
-1,Rockford,10,42.233849999999997,-89.079800000000006,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,4.334600000000000,21.341400000000000,0.203100000000000,100.000000000000000,9,9,9,35,31500.000000000000000,-13.648743224700000
-1,Rockford,11,42.231510000000000,-89.075419999999994,20,6,0.300000000000000,42.271394999999998,-89.093965999999995,North America,4.690400000000000,21.341400000000000,0.219800000000000,100.000000000000000,10,10,10,37,33300.000000000000000,-13.775890255500000
-1,Rockford,12,42.222340000000003,-89.083539999999999,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,5.521800000000000,21.341400000000000,0.258700000000000,100.000000000000000,11,11,11,35,31500.000000000000000,-15.584881889800000
-1,Rockford,13,42.221240000000002,-89.078959999999995,20,6,0.300000000000000,42.271394999999998,-89.093965999999995,North America,5.712100000000000,21.341400000000000,0.267700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-13.591580292800000
-1,Rockford,14,42.212409999999998,-89.079759999999993,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,6.662300000000000,21.341400000000000,0.312200000000000,100.000000000000000,13,13,13,32,28800.000000000000000,-13.339024625400000
-1,Rockford,15,42.209280000000000,-89.082650000000001,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,6.969400000000000,21.341400000000000,0.326600000000000,100.000000000000000,14,14,14,37,33300.000000000000000,-13.506392798800000
-1,Rockford,16,42.202930000000002,-89.073390000000003,20,3,0.150000000000000,42.271394999999998,-89.093965999999995,North America,7.799100000000000,21.341400000000000,0.365400000000000,100.000000000000000,15,15,15,37,33300.000000000000000,-12.897872044700000
-1,Rockford,17,42.197789999999998,-89.077150000000003,20,5,0.250000000000000,42.271394999999998,-89.093965999999995,North America,8.300800000000001,21.341400000000000,0.389000000000000,100.000000000000000,16,16,16,35,31500.000000000000000,-14.763959387700000
-1,Rockford,18,42.195210000000003,-89.078869999999995,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,8.562099999999999,21.341400000000000,0.401200000000000,100.000000000000000,17,17,17,36,32400.000000000000000,-15.173998048000000
-1,Rockford,19,42.193449999999999,-89.073490000000007,20,5,0.250000000000000,42.271394999999998,-89.093965999999995,North America,8.829499999999999,21.341400000000000,0.413700000000000,100.000000000000000,18,18,18,36,32400.000000000000000,-14.190223996300000
-1,Rockford,20,42.187269999999998,-89.083609999999993,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,9.393100000000000,21.341400000000000,0.440100000000000,100.000000000000000,19,19,19,32,28800.000000000000000,-12.174238622100001
-1,Rockford,21,42.182910000000000,-89.073200000000000,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,9.986499999999999,21.341400000000000,0.467900000000000,100.000000000000000,20,20,20,36,32400.000000000000000,-13.485119529900000
-1,Rockford,22,42.178910000000002,-89.073949999999996,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,10.415100000000001,21.341400000000000,0.488000000000000,100.000000000000000,21,21,21,35,31500.000000000000000,-14.972667973500000
-1,Rockford,24,42.167720000000003,-89.077100000000002,19,2,0.105000000000000,42.271394999999998,-89.093965999999995,North America,11.611499999999999,21.341400000000000,0.544100000000000,100.000000000000000,23,22,23,35,31500.000000000000000,-15.840125519800001
-1,Rockford,25,42.161929999999998,-89.076419999999999,20,7,0.350000000000000,42.271394999999998,-89.093965999999995,North America,12.257400000000001,21.341400000000000,0.574300000000000,100.000000000000000,24,23,24,35,31500.000000000000000,-14.568922101700000
-1,Rockford,26,42.155810000000002,-89.078119999999998,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,12.918500000000000,21.341400000000000,0.605300000000000,100.000000000000000,25,24,25,35,31500.000000000000000,-14.909384542000000
-1,Rockford,27,42.142359999999996,-89.096570000000000,20,3,0.150000000000000,42.271394999999998,-89.093965999999995,North America,14.349600000000001,21.341400000000000,0.672400000000000,100.000000000000000,26,25,26,34,30600.000000000000000,-16.487288411700000
-1,Rockford,28,42.137990000000002,-89.096379999999996,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,14.835300000000000,21.341400000000000,0.695100000000000,100.000000000000000,27,26,27,35,31500.000000000000000,-16.718066552700002
-1,Rockford,29,42.128709999999998,-89.096270000000004,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,15.867000000000001,21.341400000000000,0.743500000000000,100.000000000000000,28,27,28,36,32400.000000000000000,-16.142433621700000
