OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Frankfurt_gcs_AI_annual_OID,Frankfurt_gcs_AI_annual_FID_,Frankfurt_gcs_AI_annual_COUNT,Frankfurt_gcs_AI_annual_AREA,Frankfurt_gcs_AI_annual_MEAN
-1,Frankfurt,1,50.079590000000003,8.672150000000000,15,2,0.133000000000000,50.110644000000001,8.682092000000001,Europe,3.525100000000000,17.040099999999999,0.206900000000000,0,0,1,0.000069444451688,0.803399980068000
-1,Frankfurt,2,50.082619999999999,8.677190000000000,15,3,0.200000000000000,50.110644000000001,8.682092000000001,Europe,3.135700000000000,17.040099999999999,0.184000000000000,1,1,1,0.000069444451688,0.812099993229000
-1,Frankfurt,3,50.089570000000002,8.675520000000001,19,6,0.316000000000000,50.110644000000001,8.682092000000001,Europe,2.389700000000000,17.040099999999999,0.140200000000000,2,2,1,0.000069444451688,0.802399992943000
-1,Frankfurt,4,50.094200000000001,8.677870000000000,17,1,0.059000000000000,50.110644000000001,8.682092000000001,Europe,1.853100000000000,17.040099999999999,0.108700000000000,3,3,1,0.000069444451688,0.794299960136000
-1,Frankfurt,5,50.096739999999997,8.675369999999999,20,7,0.350000000000000,50.110644000000001,8.682092000000001,Europe,1.618700000000000,17.040099999999999,0.095000000000000,,,,,
-1,Frankfurt,6,50.102139999999999,8.681740000000000,16,16,1.000000000000000,50.110644000000001,8.682092000000001,Europe,0.945900000000000,17.040099999999999,0.055500000000000,4,5,1,0.000069444451688,0.794299960136000
-1,Frankfurt,7,50.106290000000001,8.682510000000001,20,2,0.100000000000000,50.110644000000001,8.682092000000001,Europe,0.485100000000000,17.040099999999999,0.028500000000000,,,,,
-1,Frankfurt,8,50.109360000000002,8.684930000000000,20,4,0.200000000000000,50.110644000000001,8.682092000000001,Europe,0.247700000000000,17.040099999999999,0.014500000000000,5,7,1,0.000069444451688,0.796999990940000
-1,Frankfurt,9,50.116300000000003,8.682190000000000,16,5,0.312000000000000,50.110644000000001,8.682092000000001,Europe,0.629000000000000,17.040099999999999,0.036900000000000,6,8,1,0.000069444451688,0.798999965191000
-1,Frankfurt,10,50.119500000000002,8.686260000000001,20,0,0.000000000000000,50.110644000000001,8.682092000000001,Europe,1.028600000000000,17.040099999999999,0.060400000000000,7,9,1,0.000069444451688,0.799999952316000
