OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,Memphis_gcs_AI_annual_OID,Memphis_gcs_AI_annual_FID_,Memphis_gcs_AI_annual_COUNT,Memphis_gcs_AI_annual_AREA,Memphis_gcs_AI_annual_MEAN
,Memphis,1,35.157477000000000,-90.048051999999998,20,4,0.200000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.994800000000000,18.396000000000001,0.054100000000000,0,0,1,0.000069444451688,1.023999929430000
,Memphis,2,35.154190999999997,-90.047194000000005,20,7,0.350000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.702100000000000,18.396000000000001,0.038200000000000,,,,,
,Memphis,3,35.151556700000000,-90.047774000000004,20,3,0.150000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.449800000000000,18.396000000000001,0.024500000000000,,,,,
,Memphis,4,35.149888599999997,-90.049760899999995,20,5,0.250000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.195300000000000,18.396000000000001,0.010600000000000,1,3,1,0.000069444451688,1.024799942970000
,Memphis,5,35.148299999999999,-90.045000000000002,20,0,0.000000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.608000000000000,18.396000000000001,0.033100000000000,,,,,
,Memphis,6,35.146099999999997,-90.052509999999998,16,10,0.625000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.334600000000000,18.396000000000001,0.018200000000000,2,5,1,0.000069444451688,1.028900027280000
,Memphis,7,35.139699999999998,-90.057800000000000,20,9,0.450000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.178700000000000,18.396000000000001,0.064100000000000,3,6,1,0.000069444451688,1.026399970050000
,Memphis,8,35.135100000000001,-90.058599999999998,18,6,0.333000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.672800000000000,18.396000000000001,0.090900000000000,4,7,1,0.000069444451688,1.024799942970000
,Memphis,9,35.134900000000002,-90.056682100000003,16,4,0.250000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.636100000000000,18.396000000000001,0.088900000000000,,,,,
,Memphis,10,35.133253099999997,-90.056682100000003,17,3,0.176000000000000,35.149022000000002,-90.051629000000005,USA,North America,1.812600000000000,18.396000000000001,0.098500000000000,5,9,1,0.000069444451688,1.027199983600000
,Memphis,11,35.129600000000003,-90.059200000000004,16,5,0.312000000000000,35.149022000000002,-90.051629000000005,USA,North America,2.266700000000000,18.396000000000001,0.123200000000000,6,10,1,0.000069444451688,1.028900027280000
,Memphis,12,35.126600000000003,-90.061800000000005,20,11,0.550000000000000,35.149022000000002,-90.051629000000005,USA,North America,2.659200000000000,18.396000000000001,0.144600000000000,,,,,
,Memphis,13,35.123311299999997,-90.047734700000007,20,8,0.400000000000000,35.149022000000002,-90.051629000000005,USA,North America,2.880700000000000,18.396000000000001,0.156600000000000,7,12,1,0.000069444451688,1.031299948690000
,Memphis,14,35.142423899999997,-90.045443599999999,20,7,0.350000000000000,35.149022000000002,-90.051629000000005,USA,North America,0.924400000000000,18.396000000000001,0.050300000000000,,,,,
,Memphis,15,35.117877100000001,-90.052335099999993,18,1,0.056000000000000,35.149022000000002,-90.051629000000005,USA,North America,3.463800000000000,18.396000000000001,0.188300000000000,8,14,1,0.000069444451688,1.030399918560000
,Memphis,16,35.117832999999997,-90.046762099999995,16,4,0.250000000000000,35.149022000000002,-90.051629000000005,USA,North America,3.496200000000000,18.396000000000001,0.190100000000000,,,,,
,Memphis,17,35.107318200000002,-90.042595100000000,16,2,0.125000000000000,35.149022000000002,-90.051629000000005,USA,North America,4.709500000000000,18.396000000000001,0.256000000000000,9,16,1,0.000069444451688,1.033699989320000
,Memphis,18,35.113977200000001,-90.043477600000003,16,4,0.250000000000000,35.149022000000002,-90.051629000000005,USA,North America,3.966700000000000,18.396000000000001,0.215600000000000,10,17,1,0.000069444451688,1.032899975780000
,Memphis,19,35.099909099999998,-90.041383199999999,18,0,0.000000000000000,35.149022000000002,-90.051629000000005,USA,North America,5.540000000000000,18.396000000000001,0.301200000000000,11,18,1,0.000069444451688,1.029600024220000
,Memphis,20,35.101269899999998,-90.044157700000000,18,3,0.167000000000000,35.149022000000002,-90.051629000000005,USA,North America,5.353100000000000,18.396000000000001,0.291000000000000,,,,,
,Memphis,21,35.095668699999997,-90.045853600000001,18,5,0.278000000000000,35.149022000000002,-90.051629000000005,USA,North America,5.955800000000000,18.396000000000001,0.323800000000000,12,20,1,0.000069444451688,1.028800010680000
