continent,name,city,row,column,pop,individual,site,new comments,Tissue weight,original extraction comment,Qubit_ng.ul,Nanodrop ng/ul,
EU,Almada,ALM-2,A,1,1,4,U,,,,7.96,,
EU,Almada,ALM-2,B,1,1,1,U,,,,4.04,,
EU,Almada,ALM-2,C,1,1,2,U,,,,8.34,,
EU,Almada,ALM-2,D,1,1,3,U,tube now empty ,,,4.38,,
EU,Almada,ALM-2,E,1,1,6,U,,,,3.2,,
EU,Almada,ALM-2,F,1,1,7,U,now empty ,,,6.94,,
EU,Almada,ALM-2,G,1,1,8,U,,,,0,,
EU,Almada,ALM-2,H,1,1,9,U,,,,0,,
EU,Almada,ALM-2,A,2,1,10,U,,,,10.4,,
EU,Almada,ALM-2,B,2,2,1,U,,,,0,,
EU,Almada,ALM-2,C,2,2,2,U,,,,7.32,,
EU,Almada,ALM-2,D,2,2,3,U,,,,4.1,,
EU,Almada,ALM-2,E,2,2,4,U,,,,4.22,,
EU,Almada,ALM-2,F,2,2,5,U,,,,20,,
EU,Almada,ALM-2,G,2,2,7,U,,,,16.4,,
EU,Almada,ALM-2,H,2,2,8,U,,,,6.44,,
EU,Almada,ALM-2,A,3,2,9,U,no tissue left,,,15.3,,
EU,Almada,ALM-2,B,3,2,10,U,,,,0,,
EU,Almada,ALM-2,C,3,2,6,U,,,,2.6,,
EU,Almada,ALM-2,D,3,3,1,U,,,,3.24,,
EU,Almada,ALM-2,E,3,3,2,U,,,,15.7,,
EU,Almada,ALM-2,F,3,3,3,U,no tissue left,,,9.16,,
EU,Almada,ALM-2,G,3,3,4,U,,,,7.84,,
EU,Almada,ALM-2,H,3,3,5,U,no tissue left,,,4.12,,
EU,Almada,ALM-2,A,4,3,6,U,,,,8.26,,
EU,Almada,ALM-2,B,4,3,7,U,no tissue left,,,9.9,,
EU,Almada,ALM-2,C,4,3,8,U,no tissue left,,,8.36,,
EU,Almada,ALM-2,D,4,3,9,U,no tissue left,,,25,,
EU,Almada,ALM-2,E,4,3,10,U,no tissue left,,,10.4,,
EU,Almada,ALM-2,F,4,4,1,U,,,,0,,
EU,Almada,ALM-2,G,4,4,2,U,,,,3.8,,
EU,Almada,ALM-2,H,4,4,3,U,,,,3.5,,
EU,Almada,ALM-2,A,5,4,4,U,,,,7.88,,
EU,Almada,ALM-2,B,5,4,5,U,no tissue left,,,12.4,,
EU,Almada,ALM-2,C,5,4,6,U,,,,53.2,,
EU,Almada,ALM-2,D,5,4,7,U,,,,2.5,,
EU,Almada,ALM-2,E,5,4,8,U,,,,3.8,,
EU,Almada,ALM-2,F,5,4,9,U,,,,2.2,,
EU,Almada,ALM-2,G,5,4,10,U,,,,11.7,,
EU,Almada,ALM-2,H,5,5,1,U,,,,2.3,,
EU,Almada,ALM-2,A,6,5,2,U,,,,5.9,,
EU,Almada,ALM-2,B,6,5,3,U,,,,13.7,,
EU,Almada,ALM-2,C,6,5,5,U,,,,16.7,,
EU,Almada,ALM-2,D,6,5,7,U,,,,6.66,,
EU,Almada,ALM-2,E,6,5,8,U,no tissue left,,,9.5,,
EU,Almada,ALM-2,F,6,5,9,U,,,,24.6,,
EU,Almada,ALM-2,G,6,5,10,U,,,,25.4,,
EU,Almada,ALM-2,H,6,1,1,r,,,,0,,
EU,Almada,ALM-2,A,7,1,2,r,,,,2,,
EU,Almada,ALM-2,B,7,1,3,r,,,,11.6,,
EU,Almada,ALM-2,C,7,1,4,r,,,,15.9,,
EU,Almada,ALM-2,D,7,1,5,r,,,,9.98,,
EU,Almada,ALM-2,E,7,1,6,r,,,,10.4,,
EU,Almada,ALM-2,F,7,1,7,r,,,,0,,
EU,Almada,ALM-2,G,7,1,8,r,,,,47,,
EU,Almada,ALM-2,H,7,1,9,r,,,,15.3,,
EU,Almada,ALM-2,A,8,1,10,r,,over 16,,11.7,,
EU,Almada,ALM-2,B,8,2,1,r,no tissue left,0.024,,15.8,,
EU,Almada,ALM-2,C,8,2,2,r,,0.0192,,22.6,,
EU,Almada,ALM-2,D,8,2,4,r,,0.0188,,23.8,,
EU,Almada,ALM-2,E,8,2,6,r,no tissue left,0.0245,,27.4,,
EU,Almada,ALM-2,F,8,2,7,r,,0.0267,,66,,
EU,Almada,ALM-2,G,9,2,10,r,,0.067,,0,,
EU,Almada,ALM-2,H,9,3,1,r,no tissue left,0.0233,,4.28,,
EU,Almada,ALM-2,A,9,3,3,r,no tissue left,0.0183,,21.4,,
EU,Almada,ALM-2,B,9,3,4,r,,0.0371,,24.6,,
EU,Almada,ALM-2,C,10,3,7,r,11.6,0.02,,7.48,,
EU,Almada,ALM-2,D,10,3,9,r,8.34,0.0234,,6.48,,
EU,Almada,ALM-2,E,10,3,6,r,7.59,0.0211,,17.6,,
EU,Almada,ALM-2,F,10,4,1,r,notissueleft,0.0155,,17.8,,
EU,Almada,ALM-2,G,10,4,3,r,7.1,0.0223,,3.22,,
EU,Almada,ALM-2,H,10,4,4,r,3.44,0.0184,,2.88,,
EU,Almada,ALM-2,A,11,4,8,r,notissueleft,0.0206,,0,,
EU,Almada,ALM-2,B,12,5,3,r,7.51,0.0219,,0,,
EU,Almada,ALM-2,C,12,5,4,r,,0.0192,,2.1,,
EU,Almada,ALM-2,D,12,5,5,r,notissueleft,0.0169,,0,,
EU,Almada,ALM-2,E,12,5,7,r,8.59,0.0266,,0,,
EU,Almada,ALM-2,F,12,5,8,r,3.43,0.0184,,3.56,,
EU,Thessaloniki,THE-2,A,6,1,2,u,,,,0,,
EU,Thessaloniki,THE-2,B,6,1,11,u,,,,940,,
EU,Thessaloniki,THE-2,C,6,1,14,u,,,,11.1,,
EU,Thessaloniki,THE-2,D,6,2,4,u,,,,0,,
EU,Thessaloniki,THE-2,E,6,2,7,u,,,,17.7,,
EU,Thessaloniki,THE-2,F,6,2,14,u,,,,0,,
EU,Thessaloniki,THE-2,G,6,2,16,u,,,,14.4,,
EU,Thessaloniki,THE-2,H,6,2,19,u,,,,5.72,,
EU,Thessaloniki,THE-2,A,7,3,4,u,,0.0388,,0,,
EU,Thessaloniki,THE-2,B,7,3,7,u,,0.0365,,0,,
EU,Thessaloniki,THE-2,C,7,3,9,u,,,,0,,
EU,Thessaloniki,THE-2,D,7,3,12,u,,0.0488,,0,,
EU,Thessaloniki,THE-2,E,7,3,13,u,,0.0521,,33.4,,
EU,Thessaloniki,THE-2,F,7,3,19,u,,0.0326,,2.98,,
EU,Thessaloniki,THE-2,G,7,4,2,u,,0.0456,,9.74,,
EU,Thessaloniki,THE-2,H,7,4,8,u,,0.0331,,9.46,,
EU,Thessaloniki,THE-2,A,8,4,13,u,,0.0476,,0,,
EU,Thessaloniki,THE-2,B,8,4,15,u,,0.0501,,0,,
EU,Thessaloniki,THE-2,C,8,4,18,u,,0.0239,,230,,
EU,Thessaloniki,THE-2,D,8,4,19,u,,0.0319,,9.14,,
EU,Thessaloniki,THE-2,E,8,5,5,u,,0.0493,,0,,
EU,Thessaloniki,THE-2,F,8,5,6,u,,0.0432,,3.4,,
EU,Thessaloniki,THE-2,G,8,5,7,u,,0.0412,,29,,
EU,Thessaloniki,THE-2,H,8,5,12,u,,0.0732,,4.72,,
EU,Thessaloniki,THE-2,A,9,5,13,u,,0.0304,,0,,
EU,Thessaloniki,THE-2,B,9,5,15,u,,0.065,,2.48,,
EU,Thessaloniki,THE-2,C,9,5,20,u,,0.0457,,0,,
EU,Thessaloniki,THE-2,D,9,42,4,r,,0.0232,,31,,
EU,Thessaloniki,THE-2,E,9,42,8,r,,0.0285,,4.48,,
EU,Thessaloniki,THE-2,F,9,42,10,r,,0.0305,,95.8,,
EU,Thessaloniki,THE-2,G,9,42,13,r,,0.0347,,0,,
EU,Thessaloniki,THE-2,H,9,42,16,r,,0.029,,57,,
EU,Thessaloniki,THE-2,A,10,42,18,r,,0.0277,,3.54,,
EU,Thessaloniki,THE-2,B,10,42,20,r,,0.0217,,0,,
EU,Thessaloniki,THE-2,C,10,43,3,r,,0.024,,13.7,,
EU,Thessaloniki,THE-2,D,10,43,4,r,,0.022,,22.6,,
EU,Thessaloniki,THE-2,E,10,43,5,r,,0.0284,,116,,
EU,Thessaloniki,THE-2,F,10,43,8,r,,0.0338,,6.74,,
EU,Thessaloniki,THE-2,G,10,43,12,r,,0.0248,,0,,
EU,Thessaloniki,THE-2,H,10,43,13,r,,0.0213,,6.96,,
EU,Thessaloniki,THE-2,A,11,43,15,r,,0.0287,,0,,
EU,Thessaloniki,THE-2,B,11,44,1,r,,0.0206,,75,,
EU,Thessaloniki,THE-2,C,11,44,2,r,,0.0281,,418,,
EU,Thessaloniki,THE-2,D,11,44,5,r,,0.0398,,206,,
EU,Thessaloniki,THE-2,E,11,44,8,r,,0.0582,,0,,
