continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover,Bioruptor_label,Batch/lane,i5,i7,Date prepped,Library success,Notes,Re-PCRed,Pooled,Qubit1_ng/ul (BR),Qubit1_ng/ul (HS),Qubit2_ng/ul(HS),Qubit3_ng/ul(HS),Reprepped,Qubit4_ng/ul(HS)
NAM,Albuquerque,29,5,r,Albuquerque_29_5,6.45,NA,29.2,c,7,h,6,29.2,8.56,16.44,Yes,ABQ-1,1,iTru5_01_A,iTru7_101_01,6-Aug-2020,No,gel visualization issues,No,No,,0,,,Yes,1.83
NAM,Albuquerque,29,9,r,Albuquerque_29_9,0,NA,52.8,g,7,d,7,52.8,4.73,20.27,Yes,ABQ-2,1,iTru5_01_B,iTru7_101_01,6-Aug-2020,No,,No,No,,0,,,Yes,2.08
NAM,Albuquerque,32,13,r,Albuquerque_32_13,30.8,NA,NA,b,9,NA,NA,30.8,8.12,16.88,Yes,ABQ-3,1,iTru5_01_C,iTru7_101_01,6-Aug-2020,Yes,no pre-PCR,No,No,2.7,2.22,,,,
NAM,Albuquerque,32,3,r,Albuquerque_32_3,4.21,NA,16.1,c,8,h,7,16.1,15.53,9.47,Yes,ABQ-4,1,iTru5_01_D,iTru7_101_01,6-Aug-2020,Yes,no pre-PCR,No,No,0,1.07,,,,
NAM,Albuquerque,33,2,r,Albuquerque_33_2,7.03,NA,60,e,9,g,8,60,4.17,20.83,Yes,ABQ-5,1,iTru5_01_E,iTru7_101_01,6-Aug-2020,Yes,no pre-PCR,No,No,0,2.3,,,,
NAM,Albuquerque,33,7,r,Albuquerque_33_7,14,NA,NA,h,9,NA,NA,14,17.86,7.14,Yes,ABQ-6,1,iTru5_01_F,iTru7_101_01,6-Aug-2020,Yes,no pre-PCR,No,No,0,1.05,,,,
NAM,Albuquerque,35,12,r,Albuquerque_35_12,4.23,NA,12.8,a,11,h,9,12.8,19.53,5.47,Yes,ABQ-7,1,iTru5_01_G,iTru7_101_01,6-Aug-2020,Yes,no pre-PCR,No,No,0,0.822,,,,
NAM,Albuquerque,35,3,r,Albuquerque_35_3,3.16,NA,22.2,g,10,f,9,22.2,11.26,13.74,Yes,ABQ-8,1,iTru5_01_H,iTru7_101_01,6-Aug-2020,Yes,no pre-PCR,No,No,0,0.736,,,Yes,0.874
NAM,Albuquerque,36,3,r,Albuquerque_36_3,4.14,NA,18.2,a,12,d,10,18.2,13.74,11.26,Yes,ABQ-9,1,iTru5_01_A,iTru7_101_02,14-Sept-2020,Yes?,,7-Oct-2020,Yes,0,0.928,,,,
NAM,Albuquerque,36,11,r,Albuquerque_36_11,9.26,NA,28.2,b,12,e,10,28.2,8.87,16.13,Yes,ABQ-10,1,iTru5_01_B,iTru7_101_02,14-Sept-2020,Yes?,,7-Oct-2020,Yes,2.16,1.09,,,,
