continent,name,city,row,column,pop,individual,site,original comments,Qubit_ng.ul Ext 1,Number that need to be rextracted:,,Qubit_ng.ul Ext 2 (SK),
EU,Warsaw,WAW,a,1,1,12,u,,2.77,,,,
EU,Warsaw,WAW,b,2,1,15,u,,1.94,,,,
EU,Warsaw,WAW,c,3,2,1,u,,2.84,,,,
EU,Warsaw,WAW,d,4,3,2,u,,0,,,,
EU,Warsaw,WAW,e,5,4,1,u,,25.5,,,,
EU,Warsaw,WAW,f,6,5,4,u,,2.94,,,,
EU,Warsaw,WAW,g,7,46,5,r,,4.36,,,,
EU,Warsaw,WAW,h,8,47,7,r,,4.16,,,,
EU,Warsaw,WAW,h,1,1,2,u,,4.15,,,,
EU,Warsaw,WAW,g,2,2,8,u,,1.55,,,,
EU,Warsaw,WAW,f,3,3,12,u,,15.6,,,,
EU,Warsaw,WAW,e,4,3,8,u,,7.43,,,,
EU,Warsaw,WAW,d,5,4,3,u,,7.46,,,,
EU,Warsaw,WAW,c,6,5,7,u,,3.75,,,,
EU,Warsaw,WAW,b,7,5,12,u,,1.64,,,,
EU,Warsaw,WAW,a,8,46,3,r,,3.08,,,,
EU,Warsaw,WAW,a,9,47,6,r,,5.19,,,,
EU,Warsaw,WAW,b,10,48,1,r,,6.78,,,,
EU,Warsaw,WAW,c,12,50,2,r,,6.16,,,,
EU,Munster,MUN,a,1,1,9,u,,10.8,68,,NA,
EU,Munster,MUN,b,1,1,8,u,,7.49,,,NA,
EU,Munster,MUN,c,1,1,7,u,,10.9,,,NA,
EU,Munster,MUN,d,1,1,6,u,,7.6,,,NA,
EU,Munster,MUN,e,1,1,5,u,,8.52,,,NA,
EU,Munster,MUN,f,1,1,4,u,,7.51,,,NA,
EU,Munster,MUN,g,1,1,3,u,,6.89,,,NA,
EU,Munster,MUN,h,1,1,2,u,,11.8,,,NA,
EU,Munster,MUN,a,2,1,1,u,,8.93,,,NA,
EU,Munster,MUN,b,2,1,10,u,,6.15,,,NA,
EU,Munster,MUN,c,2,2,8,u,,11.5,,,NA,
EU,Munster,MUN,d,2,2,7,u,,14.1,,,NA,
EU,Munster,MUN,e,2,2,5,u,,9.77,,,NA,
EU,Munster,MUN,f,2,2,4,u,,8.47,,,NA,
EU,Munster,MUN,g,2,2,3,u,,19.8,,,NA,
EU,Munster,MUN,h,2,2,6,u,,7.38,,,NA,
EU,Munster,MUN,a,3,2,1,u,left off 2.2,7.39,,,NA,
EU,Munster,MUN,b,3,2,9,u,,12.4,,,NA,
EU,Munster,MUN,c,3,2,10,u,,7.74,,,NA,
EU,Munster,MUN,d,3,3,7,u,,9.03,,,NA,
