Continent,Country,City,lat,long,area,pop_size,density,no_cities,city_age
North America,Canada,Acton,43.63,-80.041,3.97,9462,2383.375,8,0
North America,USA,Albuquerque,35.084,-106.65,608.4,546191,897.75,3,65
Europe,Portugal,Almada,38.68,-9.158,147.8,174030,1177.47,5,33
Europe,Netherlands,Amsterdam,52.373,4.891,315.54,1114745,3532.817,10,374
North America,USA,Anchorage,61.216,-149.895,163.8,291826,1781.6,3,42
North America,Canada,Angus,44.326,-79.888,4.74,12640,2666.667,4,0
Europe,Belgium,Antwerp,51.219,4.402,365.31,483505,1323.547,8,161
Oceania,Australia,Armidale,-30.513,151.669,19.87,23352,1175.239,1,0
North America,USA,Athens,33.96,-83.376,113.15,115441,1020.247,4,0
North America,USA,Atlanta,33.758,-84.388,3324.2,426821,128.398,7,111
North America,USA,Atlantic City,39.356,-74.436,364.64,39558,108.485,8,0
North America,USA,Baltimore,39.29,-76.612,1230.45,620862,504.581,5,173
North America,Canada,Barrie,44.389,-79.686,69.6,145614,2092.155,5,0
North America,USA,Baton Rouge,30.448,-91.189,604.59,229422,379.467,2,61
Asia,China,Beijing,39.904,116.407,6142.22,16704306,2719.588,5,763
Europe,Germany,Berlin,52.514,13.393,1139.9,3644826,3197.496,6,227
Europe,Switzerland,Bern,46.948,7.447,56.34,133883,2376.34,6,0
South America,Colombia,Bogota,4.627,-74.107,431.6,7387400,17116.311,3,116
North America,USA,Boston,42.357,-71.056,789.01,617786,782.989,6,167
North America,Canada,Bradford,44.114,-79.565,12.33,29862,2421.898,4,0
North America,Canada,Brantford,43.139,-80.264,49.09,98179,1999.98,8,0
Europe,UK,Brighton,50.822,-0.137,94.67,244329,2580.849,5,124
Europe,Belgium,Brussels,50.846,4.356,281.52,157673,560.077,8,191
South America,Argentina,Buenos Aires,-34.604,-58.382,2356.31,13588171,5766.716,2,156
North America,USA,Burlington,44.476,-73.214,101.13,42899,424.197,2,0
North America,Canada,Calgary,51.047,-114.072,625.23,1237656,1979.521,3,67
Europe,UK,Cambridge,52.205,0.122,43.43,145818,3357.541,5,0
Oceania,Australia,Canberra,-35.308,149.124,326.91,432141,1321.896,3,49
Africa,South Africa,Cape Town,-33.925,18.424,684.07,3430992,5015.557,3,119
North America,USA,Charlotte,35.227,-80.844,1448.68,753692,520.261,4,68
North America,Canada,Charlottetown,46.235,-63.127,38.22,44739,1170.565,1,0
North America,USA,Chicago,41.878,-87.63,5366.15,2695624,502.339,5,158
Oceania,New Zealand,Christchurch,-43.532,172.636,181.67,374100,2059.228,1,74
North America,USA,Cincinnati,39.103,-84.512,1793.38,296893,165.549,3,162
North America,USA,Cleveland,41.499,-81.694,2179.6,396629,181.973,4,142
North America,Canada,Cobourg,43.96,-78.165,15.99,19031,1190.181,3,0
Europe,Germany,Cologne,50.941,6.96,434.41,1085664,2499.169,7,162
South America,Brazil,Curitiba,-25.433,-49.272,707.95,1893997,2675.326,4,112
North America,USA,Denver,39.745,-104.99,1704.65,599815,351.87,4,118
North America,USA,Detroit,42.333,-83.048,2776.49,713885,257.118,5,136
North America,Canada,Edmonton,53.544,-113.491,605.8,1062643,1754.115,4,70
North America,Canada,Elmira,43.6,-80.558,6.12,10161,1660.294,7,0
North America,Canada,Everett,44.19,-79.937,1.37,1670,1218.978,5,0
North America,USA,Fairbanks,64.838,-147.716,81.93,31535,384.902,1,0
North America,Canada,Fergus,43.704,-80.38,8.81,20767,2357.208,7,0
North America,USA,Fort Collins,40.588,-105.076,201.39,144855,719.276,4,0
Europe,Germany,Frankfurt,50.111,8.682,624.61,753056,1205.642,8,155
North America,Canada,Fredericton,45.962,-66.644,57.97,59405,1024.754,1,0
North America,USA,Freehold,40.26,-74.274,107.92,12052,111.675,7,0
North America,Canada,Georgetown,43.651,-79.899,16.85,42123,2499.881,8,0
Europe,Belgium,Ghent,51.054,3.725,138.97,243366,1751.212,9,147
Europe,UK,Glasgow,55.866,-4.257,448.82,999300,2226.505,4,201
North America,Canada,Guelph,43.545,-80.248,63.75,132397,2076.816,9,0
North America,Canada,Halifax,44.649,-63.575,146.8,316701,2157.364,2,72
Europe,Germany,Halle,51.483,11.971,83.29,239257,2872.578,5,125
Europe,Finland,Helsinki,60.17,24.938,388.83,648042,1666.646,4,108
North America,USA,Hempstead,40.706,-73.626,370.02,53891,145.643,6,0
Asia,Japan,Hiroshima,34.385,132.455,476.36,1194034,2506.579,3,109
North America,USA,Houston,29.759,-95.368,3597.93,2093615,581.894,3,99
North America,USA,Indianapolis,39.768,-86.158,1294.87,820436,633.605,5,123
North America,USA,Jacksonville,30.326,-81.657,1219.62,821764,673.787,3,85
North America,USA,Kalamazoo,42.29,-85.585,180.7,74262,410.968,4,0
North America,Canada,Kingston,44.23,-76.481,64.92,117660,1812.384,2,0
Asia,China,Kunming,25.037,102.717,880.35,3385363,3845.474,6,105
Asia,Japan,Kyoto,35.004,135.76,3406.11,1475183,433.099,8,1170
North America,USA,La Verne,34.101,-117.768,82.28,31063,377.528,6,0
North America,USA,Lake Charles,30.227,-93.217,236.1,71993,304.926,1,0
Europe,Germany,Landshut,48.536,12.152,30.11,63544,2110.395,7,0
North America,USA,Lansing,42.734,-84.555,279.43,114253,408.879,3,0
Asia,China,Lanzhou,36.058,103.826,245.24,2438595,9943.708,4,83
South America,Ecuador,Latacunga,-0.934,-78.615,15.84,63842,4030.429,3,0
Europe,Netherlands,Leiden,52.161,4.49,72.12,270225,3746.88,8,214
Europe,Belgium,Leuven,50.88,4.701,42.91,95463,2224.726,8,0
Europe,Sweden,Linkoping,58.412,15.622,41.36,116368,2813.54,2,0
Europe,Portugal,Lisbon,38.711,-9.128,409.62,552700,1349.299,6,386
North America,USA,Little Rock,34.745,-92.275,435.75,193490,444.039,3,43
South America,Ecuador,Loja,-3.998,-79.202,25.58,170280,6656.763,1,20
North America,Canada,London,42.984,-81.248,196.42,383437,1952.128,2,62
North America,USA,Los Angeles,34.05,-118.255,5378.66,3792820,705.161,6,118
North America,USA,Louisville,38.257,-85.757,849.9,595386,700.537,3,142
North America,USA,Madison,43.075,-89.384,247.36,233163,942.606,4,55
Europe,UK,Manchester,53.481,-2.243,647.75,510746,788.492,11,202
South America,Colombia,Medellin,6.25,-75.566,176.89,2382399,13468.251,2,97
Oceania,Australia,Melbourne,-37.814,144.963,1903.15,4196201,2204.871,4,155
North America,USA,Memphis,35.149,-90.052,898.09,651885,725.857,3,104
North America,Mexico,Mexico City,19.433,-99.133,1579.06,8421000,5332.92,4,205
North America,USA,Minneapolis,44.977,-93.265,1442.55,382603,265.227,4,131
North America,Canada,Moncton,46.089,-64.776,85.71,108620,1267.297,1,0
North America,Canada,Montreal,45.502,-73.567,1048.97,1782844,1699.614,5,152
North America,Mexico,Morelia,19.703,-101.195,130.19,901782,6926.661,1,52
Europe,Germany,Muenster,51.962,7.625,65.07,314319,4830.475,10,86
Europe,Germany,Munich,48.135,11.582,401.94,1471508,3661.014,3,161
North America,USA,New Haven,41.308,-72.925,213.57,129884,608.157,8,0
North America,Canada,New Tecumseth,44.154,-79.869,10.36,18809,1815.541,5,0
North America,USA,New York,40.731,-73.987,3296.97,8174988,2479.546,7,201
Oceania,Australia,Newcastle,-32.928,151.782,194.25,322279,1659.094,3,73
North America,USA,Norfolk,36.846,-76.289,703.07,242827,345.381,2,79
Europe,Sweden,Norrtalje,59.76,18.701,8.49,56080,6605.418,2,0
North America,Canada,North Bay,46.309,-79.461,40.2,50396,1253.632,1,0
North America,Canada,Orangeville,43.919,-80.097,18.82,30734,1633.05,4,0
North America,Canada,Ottawa,45.422,-75.697,401.57,989567,2464.245,3,100
Oceania,New Zealand,Palmerston North,-40.356,175.611,36.89,75400,2043.914,1,0
Europe,France,Paris,48.857,2.352,1751.72,2187526,1248.787,3,780
North America,USA,Philadelphia,39.951,-75.166,2424.4,1526009,629.438,5,179
North America,USA,Pittsburgh,40.441,-80.003,1199.77,305376,254.529,2,141
North America,Canada,Port Hope,43.952,-78.294,10.31,12587,1220.854,2,0
North America,USA,Portland (ME),43.657,-70.253,102.19,66194,647.754,5,0
North America,USA,Portland (OR),45.516,-122.681,1017.18,583792,573.932,2,115
North America,USA,Providence,41.824,-71.413,596.25,177844,298.271,5,126
South America,Chile,Punta Arenas,-53.163,-70.908,24.45,124169,5078.487,1,0
North America,Canada,Quebec City,46.814,-71.206,360.06,705103,1958.293,1,93
South America,Ecuador,Quito,-0.187,-78.48,498.68,1607734,3223.979,1,89
North America,USA,Raleigh,35.775,-78.64,1281.85,404073,315.226,3,40
South America,Chile,Rancagua,-34.168,-70.738,55.17,231890,4203.19,1,23
Europe,UK,Reading,51.455,-0.969,91.31,218705,2395.192,10,14
Europe,France,Rennes,48.112,-1.68,119.31,216815,1817.241,1,62
Europe,Germany,Reutlingen,48.492,9.211,38.39,115966,3020.735,7,0
North America,USA,Rochester,43.156,-77.605,523.41,210565,402.295,1,124
North America,USA,Rockford,42.271,-89.094,460.91,153283,332.566,6,20
North America,USA,Sacramento,38.582,-121.494,932.05,466390,500.392,4,68
North America,USA,Salem,44.941,-123.039,330.43,154909,468.81,8,13
South America,Brazil,Santa Maria,-29.686,-53.811,57.74,248347,4301.126,1,51
South America,Chile,Santiago,-33.442,-70.646,653.94,5220161,7982.63,1,148
Asia,Japan,Sapporo,43.061,141.355,441.56,1952356,4421.497,5,100
North America,USA,Seattle,47.606,-122.332,2167.94,608666,280.758,3,116
Asia,China,Shanghai,31.23,121.474,9212.14,20217748,2194.685,3,173
North America,USA,Sioux Falls,43.546,-96.728,148.12,153972,1039.509,1,11
North America,Canada,St. Albert,53.643,-113.626,27.49,66082,2403.856,2,0
North America,USA,St. Louis,38.627,-90.198,1679.01,319275,190.157,3,161
North America,Canada,St. Thomas,42.779,-81.166,22.71,41813,1841.171,3,0
North America,USA,Starkville,33.463,-88.81,25.08,23888,952.472,2,0
Europe,Sweden,Stockholm,59.329,18.069,453.5,962154,2121.619,2,156
North America,Canada,Stouffville,43.969,-79.257,9.94,32634,3283.099,5,0
North America,Canada,Stratford,43.37,-80.982,18.58,31053,1671.313,3,0
Europe,Germany,Stuttgart,48.777,9.181,160.13,634830,3964.466,5,140
North America,Canada,Sudbury,46.492,-80.994,123.39,161531,1309.109,1,21
Oceania,Australia,Sydney,-33.815,151.001,1618.04,25798,15.944,3,0
North America,USA,Tacoma,47.25,-122.44,1764.38,198243,112.358,3,57
South America,Chile,Talca,-35.428,-71.655,35.43,237295,6697.573,1,45
North America,USA,Tampa,27.947,-82.459,165.9,336154,2026.245,5,68
Asia,Iran,Tehran,35.689,51.417,1163.44,8693706,7472.415,3,120
South America,Chile,Temuco,-38.74,-72.59,41.1,236377,5751.265,1,40
Europe,Greece,Thessaloniki,40.64,22.944,144.17,315196,2186.28,1,118
Asia,Japan,Tokyo,35.689,139.692,6185.82,9272740,1499.032,1,411
North America,Mexico,Toluca,19.292,-99.656,305.24,2260149,7404.498,2,53
North America,Canada,Toronto,43.653,-79.383,1646.97,2731571,1658.543,6,145
Europe,Norway,Trondheim,63.43,10.395,62.95,170936,2715.425,1,19
Europe,Sweden,Uppsala,59.858,17.645,41.96,162089,3862.941,3,39
North America,Mexico,Uruapan,19.421,-102.062,41.61,299965,7208.964,1,36
North America,Canada,Vancouver,49.283,-123.121,697.06,672963,965.431,3,96
North America,Canada,Victoria,48.428,-123.366,111.51,92041,825.406,2,0
Europe,Poland,Warsaw,52.23,21.012,422.21,1777972,4211.108,3,693
North America,USA,Washington,38.907,-77.037,2077.09,601766,289.716,9,146
North America,Canada,Waterloo,43.464,-80.52,221.21,104986,474.599,6,0
North America,Canada,Winnipeg,49.895,-97.138,332.49,711925,2141.192,1,106
Oceania,Australia,Wollongong,-34.424,150.894,163.53,261897,1601.523,5,22
North America,Canada,Woodstock,43.131,-80.747,27.72,40404,1457.576,4,0
Asia,China,Wuhan,30.601,114.296,1603.94,7541527,4701.876,3,241
North America,Mexico,Xalapa,19.527,-96.924,68.7,732835,10667.176,1,51
Europe,Switzerland,Zurich,47.377,8.542,318.56,415367,1303.889,5,120
