city,population,HCN_Result,plant_dens,dist,std_dist,population_latitude,population_longitude
Port_Hope,1,0.15,10.2,0.116831221,0.0,43.948185,-78.293952
Port_Hope,2,0.0,9.6,0.1227057,0.001260734,43.95027,-78.29348
Port_Hope,3,0.4,4.8,0.263560051,0.031489773,43.948607,-78.290234
Port_Hope,4,0.1,18.4,0.429886527,0.067185437,43.948861,-78.28808000000002
Port_Hope,5,0.1,6.4,0.555798651,0.094207695,43.949492,-78.286505
Port_Hope,6,0.2,19.0,0.718509435,0.129127388,43.951146,-78.284889
Port_Hope,7,0.4,21.2,0.835566197,0.154249178,43.952048,-78.283793
Port_Hope,8,0.4,21.6,1.01946096,0.193715208,43.95087,-78.28092
Port_Hope,9,0.2,5.2,1.185339432,0.229314725,43.951367,-78.278945
Port_Hope,10,0.3,10.4,1.3498052459999998,0.264611068,43.952105,-78.277073
Port_Hope,11,0.45,19.6,1.512886651,0.299610301,43.953441,-78.275491
Port_Hope,12,0.2,8.6,1.6836055769999998,0.336248638,43.953611,-78.273328
Port_Hope,13,0.15,6.8,1.7913765940000002,0.359377595,43.953963,-78.27207
Port_Hope,14,0.15,20.8,2.036379997,0.411958275,43.954683,-78.269176
Port_Hope,15,0.35,1.4,2.227662804,0.453009868,43.955106,-78.266856
Port_Hope,16,0.15,23.8,2.608115439,0.534659584,43.955836,-78.262197
Port_Hope,17,0.2,7.8,2.9369480310000005,0.6052310160000001,43.95773300000001,-78.25872700000002
Port_Hope,18,0.35,11.2,3.107582953,0.641851325,43.959845,-78.25755699999998
Port_Hope,19,0.25,8.6,3.242897732,0.670891505,43.959051,-78.255319
Port_Hope,20,0.25,16.0,3.484289366,0.7226970559999999,43.959387,-78.252286
Port_Hope,21,0.25,10.4,3.932038964,0.81878951,43.960136,-78.246735
Port_Hope,22,0.6,23.8,4.054844806,0.845145122,43.96050200000001,-78.245287
Port_Hope,23,0.15,22.6,4.252749737,0.887617902,43.961106,-78.24296
Port_Hope,24,0.368421053,20.0,4.453271278,0.930652239,43.961656,-78.240574
Port_Hope,25,0.35,14.0,4.776402085,1.0,43.962551,-78.236733
