city,population,HCN_Result,plant_dens,dist,std_dist,population_latitude,population_longitude
Stratford,1,0.545454545,4.8,0.49,0.06378600799999999,43.373774,-80.978792
Stratford,2,0.15,8.6,0.28,0.020576132,43.3725,-80.98138900000002
Stratford,3,0.260869565,5.0,0.18,0.0,43.37080200000001,-80.980294
Stratford,4,0.217391304,11.2,0.22,0.008230453,43.368986,-80.979816
Stratford,5,0.565217391,24.4,0.34,0.032921811,43.367365,-80.980065
Stratford,6,0.304347826,14.2,0.62,0.090534979,43.364941,-80.978933
Stratford,7,0.19047619,0.6,0.88,0.14403292199999998,43.3628,-80.9778
Stratford,8,0.391304348,10.8,1.06,0.181069959,43.361392,-80.976677
Stratford,9,0.363636364,20.8,1.31,0.232510288,43.359229,-80.975616
Stratford,10,0.476190476,22.8,1.58,0.288065844,43.356943,-80.974581
Stratford,11,0.4,20.0,1.82,0.33744856,43.354842,-80.973499
Stratford,12,0.52173913,0.4,1.98,0.37037037,43.353567,-80.972499
Stratford,13,0.55,0.2,2.25,0.425925926,43.351282,-80.97162
Stratford,14,0.28571428600000004,0.0,2.5,0.477366255,43.34921,-80.970535
Stratford,15,0.304347826,4.6,2.78,0.534979424,43.34687,-80.968963
Stratford,16,0.526315789,1.2,2.98,0.5761316870000001,43.345281,-80.968082
Stratford,17,0.35,0.0,3.9,0.7654320990000001,43.337624,-80.963643
Stratford,18,0.17391304300000002,17.4,4.21,0.829218107,43.334891,-80.96255500000002
Stratford,19,0.7142857140000001,0.0,4.47,0.8827160490000001,43.332942,-80.960942
Stratford,20,0.4,0.0,4.76,0.942386831,43.33041400000001,-80.959773
Stratford,21,0.473684211,0.0,5.04,1.0,43.328155,-80.958229
Stratford,22,0.363636364,0.0,4.1,0.806584362,43.33459000000001,-80.967814
Stratford,23,0.25,0.8,4.04,0.794238683,43.334572,-80.971118
Stratford,24,0.565217391,6.8,4.43,0.8744855970000001,43.334228,-80.958035
Stratford,25,0.391304348,1.8,4.63,0.91563786,43.33403,-80.953262
