OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Little_Rock_pcs__GMIS_OID,Little_Rock_pcs__GMIS_FID_,Little_Rock_pcs__GMIS_COUNT,Little_Rock_pcs__GMIS_AREA,Little_Rock_pcs__GMIS_MEAN
-1,Little_Rock,1,34.744799999999998,-92.289500000000004,25,3,0.120000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.355100000000000,15.250700000000000,0.088900000000000,100.000000000000000,0,0,0,34,30600.000000000000000,49.058823529400001
-1,Little_Rock,2,34.743200000000002,-92.289199999999994,20,8,0.400000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.337200000000000,15.250700000000000,0.087700000000000,100.000000000000000,1,1,1,34,30600.000000000000000,70.088235294100002
-1,Little_Rock,3,34.741300000000003,-92.289100000000005,20,6,0.300000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.369800000000000,15.250700000000000,0.089800000000000,100.000000000000000,2,2,2,35,31500.000000000000000,69.028571428600003
-1,Little_Rock,4,34.739199999999997,-92.289500000000004,20,4,0.200000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.484000000000000,15.250700000000000,0.097300000000000,100.000000000000000,3,3,3,34,30600.000000000000000,56.000000000000000
-1,Little_Rock,5,34.737699999999997,-92.286900000000003,19,2,0.105000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.358100000000000,15.250700000000000,0.089100000000000,100.000000000000000,4,4,4,32,28800.000000000000000,44.437500000000000
-1,Little_Rock,6,34.735999999999997,-92.284599999999998,20,0,0.000000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.321500000000000,15.250700000000000,0.086700000000000,100.000000000000000,5,5,5,34,30600.000000000000000,41.411764705899998
-1,Little_Rock,7,34.737400000000001,-92.282600000000002,20,4,0.200000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.083200000000000,15.250700000000000,0.071000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,57.228571428599999
-1,Little_Rock,8,34.735300000000002,-92.283000000000001,20,3,0.150000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.287700000000000,15.250700000000000,0.084400000000000,100.000000000000000,7,7,7,32,28800.000000000000000,25.031250000000000
-1,Little_Rock,9,34.734400000000001,-92.282300000000006,20,1,0.050000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.335200000000000,15.250700000000000,0.087600000000000,100.000000000000000,8,8,8,24,21600.000000000000000,26.708333333300001
-1,Little_Rock,10,34.734999999999999,-92.280199999999994,19,3,0.158000000000000,34.744641000000001,-92.274670000000000,USA,North America,1.185100000000000,15.250700000000000,0.077700000000000,100.000000000000000,9,9,9,35,31500.000000000000000,33.399999999999999
