OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Leuven_pcs__GMIS_OID,Leuven_pcs__GMIS_FID_,Leuven_pcs__GMIS_COUNT,Leuven_pcs__GMIS_AREA,Leuven_pcs__GMIS_MEAN
-1,Leuven,1,50.875627000000001,4.702382000000000,20,3,0.150000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.484800000000000,9.063200000000000,0.053500000000000,100.000000000000000,0,0,0,36,32400.000000000000000,45.305555555600002
-1,Leuven,2,50.876311000000001,4.689636000000000,19,11,0.579000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.859200000000000,9.063200000000000,0.094800000000000,100.000000000000000,1,1,1,34,30600.000000000000000,56.647058823499997
-1,Leuven,3,50.873927000000002,4.695146000000000,17,5,0.294000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.757600000000000,9.063200000000000,0.083600000000000,100.000000000000000,2,2,2,37,33300.000000000000000,45.027027027000003
-1,Leuven,4,50.873831000000003,4.696748000000000,20,4,0.200000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.718100000000000,9.063200000000000,0.079200000000000,100.000000000000000,3,3,3,22,19800.000000000000000,27.454545454500000
-1,Leuven,5,50.883065999999999,4.718524000000000,19,2,0.105000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,1.312000000000000,9.063200000000000,0.144800000000000,100.000000000000000,4,4,4,35,31500.000000000000000,83.371428571400003
-1,Leuven,6,50.882677999999999,4.721883000000000,19,7,0.368000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,1.530500000000000,9.063200000000000,0.168900000000000,100.000000000000000,5,5,5,36,32400.000000000000000,79.916666666699996
-1,Leuven,7,50.882922999999998,4.726254000000000,20,2,0.100000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,1.836500000000000,9.063200000000000,0.202600000000000,100.000000000000000,6,6,6,35,31500.000000000000000,54.628571428599997
-1,Leuven,8,50.884135999999998,4.729637000000000,20,9,0.450000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,2.096700000000000,9.063200000000000,0.231300000000000,100.000000000000000,7,7,7,35,31500.000000000000000,63.657142857099998
-1,Leuven,9,50.884146000000001,4.736625000000000,20,10,0.500000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,2.576700000000000,9.063200000000000,0.284300000000000,100.000000000000000,8,8,8,35,31500.000000000000000,51.914285714300000
-1,Leuven,10,50.887613999999999,4.747404000000000,12,3,0.250000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,3.399700000000000,9.063200000000000,0.375100000000000,100.000000000000000,9,9,9,32,28800.000000000000000,29.187500000000000
-1,Leuven,11,50.887816000000001,4.741206000000000,20,9,0.450000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,2.987900000000000,9.063200000000000,0.329700000000000,100.000000000000000,10,10,10,35,31500.000000000000000,31.742857142900000
-1,Leuven,12,50.886215999999997,4.743962000000000,20,2,0.100000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,3.127900000000000,9.063200000000000,0.345100000000000,100.000000000000000,11,11,11,36,32400.000000000000000,28.833333333300001
-1,Leuven,13,50.888373999999999,4.752422000000000,20,8,0.400000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,3.761600000000000,9.063200000000000,0.415000000000000,100.000000000000000,12,12,12,34,30600.000000000000000,40.058823529400001
-1,Leuven,14,50.888646999999999,4.758523000000000,20,9,0.450000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,4.184100000000000,9.063200000000000,0.461700000000000,100.000000000000000,13,13,13,35,31500.000000000000000,32.285714285700003
