OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Beijing_pcs__GMIS_OID,Beijing_pcs__GMIS_FID_,Beijing_pcs__GMIS_COUNT,Beijing_pcs__GMIS_AREA,Beijing_pcs__GMIS_MEAN
-1,Beijing,1,39.959699999999998,116.409800000000004,27,18,0.667000000000000,39.904201999999998,116.407393999999996,Asia,6.174500000000000,22.597600000000000,0.273200000000000,100.000000000000000,0,0,0,32,28800.000000000000000,82.625000000000000
-1,Beijing,2,39.968499999999999,116.373400000000004,24,24,1.000000000000000,39.904201999999998,116.407393999999996,Asia,7.714700000000000,22.597600000000000,0.341400000000000,100.000000000000000,1,1,1,36,32400.000000000000000,54.388888888899999
-1,Beijing,3,39.972700000000003,116.373800000000003,5,2,0.400000000000000,39.904201999999998,116.407393999999996,Asia,8.137300000000000,22.597600000000000,0.360100000000000,100.000000000000000,2,2,2,35,31500.000000000000000,33.000000000000000
-1,Beijing,4,40.012300000000003,116.392700000000005,21,7,0.333000000000000,39.904201999999998,116.407393999999996,Asia,12.085000000000001,22.597600000000000,0.534800000000000,100.000000000000000,3,3,3,35,31500.000000000000000,27.542857142900001
-1,Beijing,5,40.017099999999999,116.375100000000003,23,9,0.391000000000000,39.904201999999998,116.407393999999996,Asia,12.851900000000001,22.597600000000000,0.568700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,31.000000000000000
-1,Beijing,6,40.013700000000000,116.390699999999995,26,8,0.308000000000000,39.904201999999998,116.407393999999996,Asia,12.258500000000000,22.597600000000000,0.542500000000000,100.000000000000000,5,5,5,32,28800.000000000000000,14.718750000000000
-1,Beijing,7,40.012000000000000,116.380200000000002,23,19,0.826000000000000,39.904201999999998,116.407393999999996,Asia,12.208600000000001,22.597600000000000,0.540300000000000,100.000000000000000,6,6,6,32,28800.000000000000000,24.531250000000000
-1,Beijing,8,40.015599999999999,116.377099999999999,25,11,0.440000000000000,39.904201999999998,116.407393999999996,Asia,12.653100000000000,22.597600000000000,0.559900000000000,100.000000000000000,7,7,7,36,32400.000000000000000,27.166666666699999
-1,Beijing,9,40.010700000000000,116.384299999999996,22,11,0.500000000000000,39.904201999999998,116.407393999999996,Asia,12.004500000000000,22.597600000000000,0.531200000000000,100.000000000000000,8,8,8,36,32400.000000000000000,19.111111111100001
-1,Beijing,10,40.009300000000003,116.389399999999995,20,19,0.950000000000000,39.904201999999998,116.407393999999996,Asia,11.786600000000000,22.597600000000000,0.521600000000000,100.000000000000000,9,9,9,34,30600.000000000000000,11.323529411799999
-1,Beijing,11,39.961399999999998,116.356700000000004,24,14,0.583000000000000,39.904201999999998,116.407393999999996,Asia,7.689900000000000,22.597600000000000,0.340300000000000,100.000000000000000,10,10,10,36,32400.000000000000000,69.638888888899999
-1,Beijing,13,40.024999999999999,116.377399999999994,21,6,0.286000000000000,39.904201999999998,116.407393999999996,Asia,13.673200000000000,22.597600000000000,0.605100000000000,100.000000000000000,12,11,12,35,31500.000000000000000,22.685714285700001
-1,Beijing,14,40.023699999999998,116.380300000000005,18,9,0.500000000000000,39.904201999999998,116.407393999999996,Asia,13.486700000000001,22.597600000000000,0.596800000000000,100.000000000000000,13,12,13,35,31500.000000000000000,36.257142857100000
-1,Beijing,15,40.028100000000002,116.387299999999996,11,6,0.545000000000000,39.904201999999998,116.407393999999996,Asia,13.882899999999999,22.597600000000000,0.614400000000000,100.000000000000000,14,13,14,37,33300.000000000000000,31.189189189200000
-1,Beijing,16,40.023800000000001,116.385999999999996,22,20,0.909000000000000,39.904201999999998,116.407393999999996,Asia,13.423100000000000,22.597600000000000,0.594000000000000,100.000000000000000,15,14,15,35,31500.000000000000000,35.971428571399997
-1,Beijing,21,40.015799999999999,116.386799999999994,23,20,0.870000000000000,39.904201999999998,116.407393999999996,Asia,12.532700000000000,22.597600000000000,0.554600000000000,100.000000000000000,20,15,20,34,30600.000000000000000,10.264705882399999
-1,Beijing,22,40.015799999999999,116.383300000000006,22,21,0.955000000000000,39.904201999999998,116.407393999999996,Asia,12.577900000000000,22.597600000000000,0.556600000000000,100.000000000000000,21,16,21,32,28800.000000000000000,15.781250000000000
-1,Beijing,23,40.015900000000002,116.379199999999997,24,10,0.417000000000000,39.904201999999998,116.407393999999996,Asia,12.650600000000001,22.597600000000000,0.559800000000000,100.000000000000000,22,17,22,34,30600.000000000000000,26.529411764700001
-1,Beijing,24,39.937500000000000,116.331699999999998,17,17,1.000000000000000,39.904201999999998,116.407393999999996,Asia,7.441600000000000,22.597600000000000,0.329300000000000,100.000000000000000,23,18,23,35,31500.000000000000000,49.799999999999997
