OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Lanzhou_pcs__GMIS_OID,Lanzhou_pcs__GMIS_FID_,Lanzhou_pcs__GMIS_COUNT,Lanzhou_pcs__GMIS_AREA,Lanzhou_pcs__GMIS_MEAN
-1,Lanzhou,1,35.871259999999999,104.026510000000002,15,10,0.667000000000000,36.057811999999998,103.825896000000000,Asia,27.500599999999999,34.845199999999998,0.789200000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.000000000000000
-1,Lanzhou,2,35.830719999999999,104.081249999999997,15,11,0.733000000000000,36.057811999999998,103.825896000000000,Asia,34.147599999999997,34.845199999999998,0.980000000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.000000000000000
-1,Lanzhou,3,35.832140000000003,104.082890000000006,15,8,0.533000000000000,36.057811999999998,103.825896000000000,Asia,34.130800000000001,34.845199999999998,0.979500000000000,100.000000000000000,2,2,2,32,28800.000000000000000,0.000000000000000
-1,Lanzhou,4,35.913170000000001,104.169449999999998,15,8,0.533000000000000,36.057811999999998,103.825896000000000,Asia,34.845199999999998,34.845199999999998,1.000000000000000,100.000000000000000,3,3,3,35,31500.000000000000000,3.142857142860000
-1,Lanzhou,5,35.915219999999998,104.170500000000004,15,8,0.533000000000000,36.057811999999998,103.825896000000000,Asia,34.824300000000001,34.845199999999998,0.999400000000000,100.000000000000000,4,4,4,35,31500.000000000000000,2.228571428570000
-1,Lanzhou,6,35.916100000000000,104.171009999999995,15,4,0.267000000000000,36.057811999999998,103.825896000000000,Asia,34.820599999999999,34.845199999999998,0.999300000000000,100.000000000000000,5,5,5,20,18000.000000000000000,4.000000000000000
-1,Lanzhou,7,35.917610000000003,104.171379999999999,15,7,0.467000000000000,36.057811999999998,103.825896000000000,Asia,34.774400000000000,34.845199999999998,0.998000000000000,100.000000000000000,6,6,6,33,29700.000000000000000,5.787878787880000
-1,Lanzhou,8,35.918619999999997,104.171539999999993,15,13,0.867000000000000,36.057811999999998,103.825896000000000,Asia,34.736899999999999,34.845199999999998,0.996900000000000,100.000000000000000,7,7,7,24,21600.000000000000000,5.458333333330000
-1,Lanzhou,9,35.919629999999998,104.172039999999996,15,7,0.467000000000000,36.057811999999998,103.825896000000000,Asia,34.727200000000003,34.845199999999998,0.996600000000000,100.000000000000000,8,8,8,24,21600.000000000000000,2.916666666670000
-1,Lanzhou,10,35.920490000000001,104.171890000000005,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,34.672699999999999,34.845199999999998,0.995000000000000,100.000000000000000,9,9,9,20,18000.000000000000000,10.850000000000000
-1,Lanzhou,11,35.921129999999998,104.172300000000007,15,15,1.000000000000000,36.057811999999998,103.825896000000000,Asia,34.674500000000002,34.845199999999998,0.995100000000000,100.000000000000000,10,10,10,18,16200.000000000000000,6.888888888890000
-1,Lanzhou,12,35.923060000000000,104.172600000000003,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,34.604900000000001,34.845199999999998,0.993100000000000,100.000000000000000,11,11,11,32,28800.000000000000000,10.343750000000000
-1,Lanzhou,13,35.924529999999997,104.172929999999994,15,14,0.933000000000000,36.057811999999998,103.825896000000000,Asia,34.561000000000000,34.845199999999998,0.991800000000000,100.000000000000000,12,12,12,32,28800.000000000000000,9.093750000000000
-1,Lanzhou,14,35.926340000000003,104.172880000000006,15,10,0.667000000000000,36.057811999999998,103.825896000000000,Asia,34.470799999999997,34.845199999999998,0.989300000000000,100.000000000000000,13,13,13,32,28800.000000000000000,7.281250000000000
-1,Lanzhou,15,35.927660000000003,104.173190000000005,15,10,0.667000000000000,36.057811999999998,103.825896000000000,Asia,34.433900000000001,34.845199999999998,0.988200000000000,100.000000000000000,14,14,14,29,26100.000000000000000,5.172413793100000
-1,Lanzhou,16,35.929710000000000,104.173659999999998,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,34.376800000000003,34.845199999999998,0.986600000000000,100.000000000000000,15,15,15,37,33300.000000000000000,4.621621621620000
-1,Lanzhou,17,35.991570000000003,103.955609999999993,15,0,0.000000000000000,36.057811999999998,103.825896000000000,Asia,13.796099999999999,34.845199999999998,0.395900000000000,100.000000000000000,16,16,16,34,30600.000000000000000,59.176470588199997
-1,Lanzhou,18,35.992379999999997,103.955820000000003,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,13.764200000000001,34.845199999999998,0.395000000000000,100.000000000000000,17,17,17,20,18000.000000000000000,66.299999999999997
