OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Helsinki_pcs__GMIS_OID,Helsinki_pcs__GMIS_FID_,Helsinki_pcs__GMIS_COUNT,Helsinki_pcs__GMIS_AREA,Helsinki_pcs__GMIS_MEAN
-1,Helsinki,1,60.185899999999997,24.933479999999999,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,1.804400000000000,25.743800000000000,0.070100000000000,100.000000000000000,0,0,0,32,28800.000000000000000,13.531250000000000
-1,Helsinki,2,60.189880000000002,24.939879999999999,19,2,0.105000000000000,60.169857000000000,24.938379000000001,Europe,2.228000000000000,25.743800000000000,0.086500000000000,100.000000000000000,1,1,1,35,31500.000000000000000,63.514285714300001
-1,Helsinki,3,60.186500000000002,24.956160000000001,17,1,0.059000000000000,60.169857000000000,24.938379000000001,Europe,2.095600000000000,25.743800000000000,0.081400000000000,100.000000000000000,2,2,2,32,28800.000000000000000,42.468750000000000
-1,Helsinki,4,60.185879999999997,24.964620000000000,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,2.297800000000000,25.743800000000000,0.089300000000000,100.000000000000000,3,3,3,35,31500.000000000000000,52.514285714300001
-1,Helsinki,5,60.190019999999997,24.971940000000000,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,2.910400000000000,25.743800000000000,0.113100000000000,100.000000000000000,4,4,4,35,31500.000000000000000,99.657142857099998
-1,Helsinki,10,60.196320000000000,25.031720000000000,20,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,5.940700000000000,25.743800000000000,0.230800000000000,100.000000000000000,9,5,9,36,32400.000000000000000,47.472222222200003
-1,Helsinki,11,60.204830000000001,25.041599999999999,15,4,0.267000000000000,60.169857000000000,24.938379000000001,Europe,6.905400000000000,25.743800000000000,0.268200000000000,100.000000000000000,10,6,10,35,31500.000000000000000,24.628571428600001
-1,Helsinki,12,60.207549999999998,25.053770000000000,20,1,0.050000000000000,60.169857000000000,24.938379000000001,Europe,7.632600000000000,25.743800000000000,0.296500000000000,100.000000000000000,11,7,11,35,31500.000000000000000,68.057142857100004
-1,Helsinki,13,60.208810000000000,25.064650000000000,18,3,0.167000000000000,60.169857000000000,24.938379000000001,Europe,8.214800000000000,25.743800000000000,0.319100000000000,100.000000000000000,12,8,12,34,30600.000000000000000,35.823529411800003
-1,Helsinki,14,60.209679999999999,25.073540000000001,20,1,0.050000000000000,60.169857000000000,24.938379000000001,Europe,8.685100000000000,25.743800000000000,0.337400000000000,100.000000000000000,13,9,13,37,33300.000000000000000,59.486486486499999
-1,Helsinki,15,60.214140000000000,25.083890000000000,16,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,9.430600000000000,25.743800000000000,0.366300000000000,100.000000000000000,14,10,14,35,31500.000000000000000,68.285714285699996
-1,Helsinki,16,60.215719999999997,25.096979999999999,20,1,0.050000000000000,60.169857000000000,24.938379000000001,Europe,10.141800000000000,25.743800000000000,0.394000000000000,100.000000000000000,15,11,15,35,31500.000000000000000,62.285714285700003
-1,Helsinki,17,60.225810000000003,25.117789999999999,18,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,11.705500000000001,25.743800000000000,0.454700000000000,100.000000000000000,16,12,16,32,28800.000000000000000,9.812500000000000
-1,Helsinki,18,60.230660000000000,25.126940000000001,14,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,12.421200000000001,25.743800000000000,0.482500000000000,100.000000000000000,17,13,17,35,31500.000000000000000,33.657142857099998
