OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Newcastle_pcs__GMIS_OID,Newcastle_pcs__GMIS_FID_,Newcastle_pcs__GMIS_COUNT,Newcastle_pcs__GMIS_AREA,Newcastle_pcs__GMIS_MEAN
-1,Newcastle,5,-32.980759999999997,151.680270000000007,16,15,0.938000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,11.115800000000000,26.383400000000002,0.421300000000000,100.000000000000000,0,0,0,35,31500.000000000000000,15.457142857099999
-1,Newcastle,6,-32.972700000000003,151.682770000000005,17,9,0.529000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,10.466699999999999,26.383400000000002,0.396700000000000,100.000000000000000,1,1,1,32,28800.000000000000000,2.468750000000000
-1,Newcastle,7,-32.970599999999997,151.696010000000001,19,16,0.842000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,9.275100000000000,26.383400000000002,0.351600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,28.742857142900000
-1,Newcastle,8,-32.969499999999996,151.693659999999994,19,8,0.421000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,9.404600000000000,26.383400000000002,0.356500000000000,100.000000000000000,3,3,3,35,31500.000000000000000,14.771428571400000
-1,Newcastle,9,-32.961269999999999,151.694989999999990,15,8,0.533000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,8.881300000000000,26.383400000000002,0.336600000000000,100.000000000000000,4,4,4,35,31500.000000000000000,95.371428571400003
-1,Newcastle,10,-32.957340000000002,151.700119999999998,16,10,0.625000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,8.267400000000000,26.383400000000002,0.313400000000000,100.000000000000000,5,5,5,37,33300.000000000000000,34.621621621599999
-1,Newcastle,11,-32.953249999999997,151.738660000000010,18,4,0.222000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,4.880300000000000,26.383400000000002,0.185000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.000000000000000
-1,Newcastle,12,-32.957670000000000,151.690650000000005,16,5,0.312000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,9.100500000000000,26.383400000000002,0.344900000000000,100.000000000000000,7,7,7,32,28800.000000000000000,34.687500000000000
-1,Newcastle,13,-32.937530000000002,151.689390000000003,16,9,0.562000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,8.673100000000000,26.383400000000002,0.328700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,8.314285714290000
-1,Newcastle,14,-32.933100000000003,151.687199999999990,16,9,0.562000000000000,-32.928277999999999,151.781666999999999,Australia,Oceania,8.832800000000001,26.383400000000002,0.334800000000000,100.000000000000000,9,9,9,35,31500.000000000000000,6.485714285710000
