OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Norfolk_pcs__GMIS_OID,Norfolk_pcs__GMIS_FID_,Norfolk_pcs__GMIS_COUNT,Norfolk_pcs__GMIS_AREA,Norfolk_pcs__GMIS_MEAN
-1,Norfolk,1,36.525734000000000,-76.249270999999993,15,11,0.733000000000000,36.845714000000001,-76.288634000000002,USA,North America,35.752899999999997,35.752899999999997,1,100.000000000000000,0,0,0,34,30600.000000000000000,0.000000000000000
-1,Norfolk,2,36.533611000000001,-76.250144000000006,15,12,0.800000000000000,36.845714000000001,-76.288634000000002,USA,North America,34.873600000000003,35.752899999999997,1,100.000000000000000,1,1,1,33,29700.000000000000000,9.272727272730000
-1,Norfolk,3,36.547404000000000,-76.242497999999998,15,3,0.200000000000000,36.845714000000001,-76.288634000000002,USA,North America,33.424599999999998,35.752899999999997,1,100.000000000000000,2,2,2,35,31500.000000000000000,0.000000000000000
-1,Norfolk,4,36.551476999999998,-76.231768000000002,15,5,0.333000000000000,36.845714000000001,-76.288634000000002,USA,North America,33.108100000000000,35.752899999999997,1,100.000000000000000,3,3,3,35,31500.000000000000000,0.000000000000000
-1,Norfolk,5,36.559063000000002,-76.227748000000005,15,7,0.467000000000000,36.845714000000001,-76.288634000000002,USA,North America,32.332999999999998,35.752899999999997,1,100.000000000000000,4,4,4,34,30600.000000000000000,0.000000000000000
-1,Norfolk,6,36.559572000000003,-76.215361999999999,15,9,0.600000000000000,36.845714000000001,-76.288634000000002,USA,North America,32.481200000000001,35.752899999999997,1,100.000000000000000,5,5,5,35,31500.000000000000000,0.000000000000000
-1,Norfolk,7,36.561526999999998,-76.201243000000005,15,6,0.400000000000000,36.845714000000001,-76.288634000000002,USA,North America,32.546399999999998,35.752899999999997,1,100.000000000000000,6,6,6,35,31500.000000000000000,0.000000000000000
-1,Norfolk,8,36.575296999999999,-76.200137999999995,15,10,0.667000000000000,36.845714000000001,-76.288634000000002,USA,North America,31.086600000000001,35.752899999999997,1,100.000000000000000,7,7,7,32,28800.000000000000000,22.468750000000000
-1,Norfolk,9,36.587978999999997,-76.205731999999998,15,7,0.467000000000000,36.845714000000001,-76.288634000000002,USA,North America,29.596100000000000,35.752899999999997,1,100.000000000000000,8,8,8,35,31500.000000000000000,2.000000000000000
-1,Norfolk,10,36.598354000000000,-76.209854000000007,14,5,0.357000000000000,36.845714000000001,-76.288634000000002,USA,North America,28.387200000000000,35.752899999999997,1,100.000000000000000,9,9,9,32,28800.000000000000000,2.281250000000000
-1,Norfolk,11,36.605777000000003,-76.210656000000000,14,2,0.143000000000000,36.845714000000001,-76.288634000000002,USA,North America,27.570100000000000,35.752899999999997,1,100.000000000000000,10,10,10,34,30600.000000000000000,6.617647058820000
-1,Norfolk,12,36.619210000000002,-76.211040999999994,15,13,0.867000000000000,36.845714000000001,-76.288634000000002,USA,North America,26.118099999999998,35.752899999999997,1,100.000000000000000,11,11,11,35,31500.000000000000000,11.028571428599999
-1,Norfolk,13,36.631025000000001,-76.208697999999998,15,2,0.133000000000000,36.845714000000001,-76.288634000000002,USA,North America,24.912299999999998,35.752899999999997,1,100.000000000000000,12,12,12,36,32400.000000000000000,4.944444444440000
-1,Norfolk,14,36.644722000000002,-76.216358999999997,15,8,0.533000000000000,36.845714000000001,-76.288634000000002,USA,North America,23.258600000000001,35.752899999999997,1,100.000000000000000,13,13,13,35,31500.000000000000000,13.514285714300000
-1,Norfolk,15,36.654204999999997,-76.223185999999998,15,9,0.600000000000000,36.845714000000001,-76.288634000000002,USA,North America,22.078800000000001,35.752899999999997,1,100.000000000000000,14,14,14,32,28800.000000000000000,11.781250000000000
-1,Norfolk,16,36.666569000000003,-76.226393000000002,15,11,0.733000000000000,36.845714000000001,-76.288634000000002,USA,North America,20.677399999999999,35.752899999999997,1,100.000000000000000,15,15,15,35,31500.000000000000000,8.028571428570000
-1,Norfolk,17,36.675113000000003,-76.226348999999999,15,4,0.267000000000000,36.845714000000001,-76.288634000000002,USA,North America,19.764800000000001,35.752899999999997,1,100.000000000000000,16,16,16,35,31500.000000000000000,33.799999999999997
-1,Norfolk,18,36.686554999999998,-76.229693999999995,15,9,0.600000000000000,36.845714000000001,-76.288634000000002,USA,North America,18.460000000000001,35.752899999999997,1,100.000000000000000,17,17,17,35,31500.000000000000000,63.342857142900002
-1,Norfolk,19,36.697414000000002,-76.232787999999999,15,13,0.867000000000000,36.845714000000001,-76.288634000000002,USA,North America,17.224100000000000,35.752899999999997,0,100.000000000000000,18,18,18,36,32400.000000000000000,30.916666666699999
-1,Norfolk,20,36.706203000000002,-76.235476000000006,15,7,0.467000000000000,36.845714000000001,-76.288634000000002,USA,North America,16.219300000000000,35.752899999999997,0,100.000000000000000,19,19,19,35,31500.000000000000000,43.228571428599999
