OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Stuttgart_pcs__GMIS_OID,Stuttgart_pcs__GMIS_FID_,Stuttgart_pcs__GMIS_COUNT,Stuttgart_pcs__GMIS_AREA,Stuttgart_pcs__GMIS_MEAN
-1,Stuttgart,1,48.785029999999999,9.186260000000001,20,8,0.400000000000000,48.777110999999998,9.180770000000001,Europe,0.968100000000000,12.433999999999999,0.077900000000000,100.000000000000000,0,0,0,36,32400.000000000000000,9.833333333330000
-1,Stuttgart,2,48.781489999999998,9.184049999999999,20,5,0.250000000000000,48.777110999999998,9.180770000000001,Europe,0.543000000000000,12.433999999999999,0.043700000000000,100.000000000000000,1,1,1,34,30600.000000000000000,30.823529411799999
-1,Stuttgart,3,48.779330000000002,9.182700000000001,20,1,0.050000000000000,48.777110999999998,9.180770000000001,Europe,0.284400000000000,12.433999999999999,0.022900000000000,100.000000000000000,2,2,2,37,33300.000000000000000,37.054054054100000
-1,Stuttgart,4,48.776960000000003,9.182910000000000,19,4,0.211000000000000,48.777110999999998,9.180770000000001,Europe,0.157700000000000,12.433999999999999,0.012700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,48.571428571399998
-1,Stuttgart,5,48.777610000000003,9.179330000000000,20,12,0.600000000000000,48.777110999999998,9.180770000000001,Europe,0.119200000000000,12.433999999999999,0.009600000000000,100.000000000000000,4,4,4,35,31500.000000000000000,70.828571428600000
-1,Stuttgart,6,48.781140000000001,9.173130000000000,20,8,0.400000000000000,48.777110999999998,9.180770000000001,Europe,0.717000000000000,12.433999999999999,0.057700000000000,100.000000000000000,5,5,5,34,30600.000000000000000,31.764705882400001
-1,Stuttgart,7,48.779440000000001,9.169919999999999,20,5,0.250000000000000,48.777110999999998,9.180770000000001,Europe,0.836100000000000,12.433999999999999,0.067200000000000,100.000000000000000,6,6,6,35,31500.000000000000000,79.171428571400000
-1,Stuttgart,8,48.772759999999998,9.165319999999999,20,5,0.250000000000000,48.777110999999998,9.180770000000001,Europe,1.231200000000000,12.433999999999999,0.099000000000000,100.000000000000000,7,7,7,32,28800.000000000000000,39.968750000000000
-1,Stuttgart,9,48.769240000000003,9.168749999999999,20,4,0.200000000000000,48.777110999999998,9.180770000000001,Europe,1.241700000000000,12.433999999999999,0.099900000000000,100.000000000000000,8,8,8,36,32400.000000000000000,23.111111111100001
-1,Stuttgart,10,48.763129999999997,9.169639999999999,20,17,0.850000000000000,48.777110999999998,9.180770000000001,Europe,1.755600000000000,12.433999999999999,0.141200000000000,100.000000000000000,9,9,9,35,31500.000000000000000,60.799999999999997
-1,Stuttgart,11,48.760790000000000,9.173290000000000,20,0,0.000000000000000,48.777110999999998,9.180770000000001,Europe,1.895800000000000,12.433999999999999,0.152500000000000,100.000000000000000,10,10,10,36,32400.000000000000000,28.944444444399998
