OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Brantford_pcs__GMIS_OID,Brantford_pcs__GMIS_FID_,Brantford_pcs__GMIS_COUNT,Brantford_pcs__GMIS_AREA,Brantford_pcs__GMIS_MEAN
-1,Brantford,1,43.138888999999999,-80.268611000000007,NA,NA,0.450000000000000,43.139409999999998,-80.263649999999998,North America,0.406675157402000,8.549176674780000,0.047600000000000,100.000000000000000,0,0,0,32,28800.000000000000000,71.875000000000000
-1,Brantford,2,43.140990000000002,-80.268057999999996,NA,NA,0.100000000000000,43.139409999999998,-80.263649999999998,North America,0.398473575499000,8.549176674780000,0.046600000000000,100.000000000000000,1,1,1,35,31500.000000000000000,62.742857142900000
-1,Brantford,3,43.144651000000003,-80.269614000000004,NA,NA,0.450000000000000,43.139409999999998,-80.263649999999998,North America,0.757476216160000,8.549176674780000,0.088600000000000,100.000000000000000,2,2,2,36,32400.000000000000000,56.777777777799997
-1,Brantford,4,43.146340000000002,-80.269407999999999,NA,NA,0.200000000000000,43.139409999999998,-80.263649999999998,North America,0.901132264442000,8.549176674780000,0.105400000000000,100.000000000000000,3,3,3,34,30600.000000000000000,65.088235294100002
-1,Brantford,5,43.149062000000001,-80.270122000000001,NA,NA,0.388888889000000,43.139409999999998,-80.263649999999998,North America,1.194816399170000,8.549176674780000,0.139800000000000,100.000000000000000,4,4,4,35,31500.000000000000000,38.057142857099997
-1,Brantford,6,43.152057999999997,-80.272902999999999,NA,NA,0.250000000000000,43.139409999999998,-80.263649999999998,North America,1.594202687420000,8.549176674780000,0.186500000000000,100.000000000000000,5,5,5,36,32400.000000000000000,35.000000000000000
-1,Brantford,7,43.154786000000001,-80.271974000000000,NA,NA,0.200000000000000,43.139409999999998,-80.263649999999998,North America,1.838267902350000,8.549176674780000,0.215000000000000,100.000000000000000,6,6,6,34,30600.000000000000000,55.911764705899998
-1,Brantford,8,43.157437999999999,-80.272225000000006,NA,NA,0.047619048000000,43.139409999999998,-80.263649999999998,North America,2.121897168200000,8.549176674780000,0.248200000000000,100.000000000000000,7,7,7,36,32400.000000000000000,50.027777777799997
-1,Brantford,9,43.160246000000001,-80.272721000000004,NA,NA,0.400000000000000,43.139409999999998,-80.263649999999998,North America,2.430914429780000,8.549176674780000,0.284300000000000,100.000000000000000,8,8,8,32,28800.000000000000000,67.531250000000000
-1,Brantford,10,43.162222000000000,-80.273086000000006,NA,NA,0.250000000000000,43.139409999999998,-80.263649999999998,North America,2.649563111910000,8.549176674780000,0.309900000000000,100.000000000000000,9,9,9,36,32400.000000000000000,66.583333333300004
-1,Brantford,11,43.165812000000003,-80.274803000000006,NA,NA,0.428571429000000,43.139409999999998,-80.263649999999998,North America,3.072016623220000,8.549176674780000,0.359300000000000,100.000000000000000,10,10,10,35,31500.000000000000000,79.628571428599997
-1,Brantford,12,43.168230000000001,-80.273129999999995,NA,NA,0.368421053000000,43.139409999999998,-80.263649999999998,North America,3.295614642090000,8.549176674780000,0.385500000000000,100.000000000000000,11,11,11,37,33300.000000000000000,50.648648648600002
-1,Brantford,13,43.170555999999998,-80.275270000000006,NA,NA,0.142857143000000,43.139409999999998,-80.263649999999998,North America,3.589255297970000,8.549176674780000,0.419800000000000,100.000000000000000,12,12,12,34,30600.000000000000000,36.235294117599999
