OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Moncton_pcs__GMIS_OID,Moncton_pcs__GMIS_FID_,Moncton_pcs__GMIS_COUNT,Moncton_pcs__GMIS_AREA,Moncton_pcs__GMIS_MEAN
-1,Moncton,1,46.093240000000002,-64.762389999999996,15,3,0.200000000000000,46.088878999999999,-64.775818000000001,North America,1.143400000000000,9.148099999999999,0.125000000000000,100.000000000000000,0,0,0,34,30600.000000000000000,64.382352941199997
-1,Moncton,2,46.092810000000000,-64.768190000000004,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,0.732900000000000,9.148099999999999,0.080100000000000,100.000000000000000,1,1,1,35,31500.000000000000000,74.971428571399997
-1,Moncton,3,46.090089999999996,-64.771889999999999,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,0.331500000000000,9.148099999999999,0.036200000000000,100.000000000000000,2,2,2,35,31500.000000000000000,77.857142857100001
-1,Moncton,4,46.091340000000002,-64.770210000000006,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,0.511800000000000,9.148099999999999,0.055900000000000,100.000000000000000,3,3,3,35,31500.000000000000000,76.200000000000003
-1,Moncton,5,46.090690000000002,-64.779100000000000,17,0,0.000000000000000,46.088878999999999,-64.775818000000001,North America,0.323400000000000,9.148099999999999,0.035400000000000,100.000000000000000,4,4,4,36,32400.000000000000000,59.555555555600002
-1,Moncton,6,46.089320000000001,-64.780810000000002,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,0.388100000000000,9.148099999999999,0.042400000000000,100.000000000000000,5,5,5,36,32400.000000000000000,64.555555555599994
-1,Moncton,7,46.085209999999996,-64.789019999999994,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,1.096800000000000,9.148099999999999,0.119900000000000,100.000000000000000,6,6,6,35,31500.000000000000000,81.142857142899999
-1,Moncton,8,46.086060000000003,-64.786379999999994,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,0.872800000000000,9.148099999999999,0.095400000000000,100.000000000000000,7,7,7,37,33300.000000000000000,87.729729729699997
-1,Moncton,9,46.079140000000002,-64.799310000000006,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,2.110800000000000,9.148099999999999,0.230700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,40.485714285699999
-1,Moncton,10,46.075749999999999,-64.807760000000002,19,3,0.158000000000000,46.088878999999999,-64.775818000000001,North America,2.863700000000000,9.148099999999999,0.313000000000000,100.000000000000000,9,9,9,37,33300.000000000000000,50.405405405400003
-1,Moncton,11,46.093389999999999,-64.758769999999998,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,1.407100000000000,9.148099999999999,0.153800000000000,100.000000000000000,10,10,10,35,31500.000000000000000,77.599999999999994
