OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,St_Albert_pcs__GMIS_OID,St_Albert_pcs__GMIS_FID_,St_Albert_pcs__GMIS_COUNT,St_Albert_pcs__GMIS_AREA,St_Albert_pcs__GMIS_MEAN
-1,St_Albert,1,53.629100000000001,-113.631399999999999,20,2,0.100000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.584100000000000,6.965200000000000,0.227400000000000,100.000000000000000,0,0,0,37,33300.000000000000000,51.567567567600001
-1,St_Albert,2,53.631000000000000,-113.630099999999999,20,1,0.050000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.359300000000000,6.965200000000000,0.195200000000000,100.000000000000000,1,1,1,35,31500.000000000000000,41.542857142899997
-1,St_Albert,3,53.633600000000001,-113.628299999999996,13,1,0.077000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.053600000000000,6.965200000000000,0.151300000000000,100.000000000000000,2,2,2,37,33300.000000000000000,53.243243243199998
-1,St_Albert,4,53.636200000000002,-113.629499999999993,20,2,0.100000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.789000000000000,6.965200000000000,0.113300000000000,100.000000000000000,3,3,3,36,32400.000000000000000,30.583333333300001
-1,St_Albert,5,53.636299999999999,-113.624300000000005,20,7,0.350000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.749100000000000,6.965200000000000,0.107500000000000,100.000000000000000,4,4,4,32,28800.000000000000000,69.000000000000000
-1,St_Albert,6,53.637300000000003,-113.620599999999996,19,3,0.158000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.721000000000000,6.965200000000000,0.103500000000000,100.000000000000000,5,5,5,32,28800.000000000000000,41.125000000000000
-1,St_Albert,7,53.639099999999999,-113.621099999999998,20,5,0.250000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.534400000000000,6.965200000000000,0.076700000000000,100.000000000000000,6,6,6,36,32400.000000000000000,29.222222222199999
-1,St_Albert,8,53.641599999999997,-113.619500000000002,18,2,0.111000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.449100000000000,6.965200000000000,0.064500000000000,100.000000000000000,7,7,7,36,32400.000000000000000,12.444444444400000
-1,St_Albert,9,53.643599999999999,-113.617599999999996,20,5,0.250000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.552300000000000,6.965200000000000,0.079300000000000,100.000000000000000,8,8,8,34,30600.000000000000000,22.705882352900002
-1,St_Albert,10,53.646400000000000,-113.619100000000003,20,1,0.050000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.589100000000000,6.965200000000000,0.084600000000000,100.000000000000000,9,9,9,36,32400.000000000000000,40.583333333299997
-1,St_Albert,11,53.646400000000000,-113.615099999999998,20,4,0.200000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.808300000000000,6.965200000000000,0.116000000000000,100.000000000000000,10,10,10,33,29700.000000000000000,20.212121212100001
