OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Tampa_pcs__GMIS_OID,Tampa_pcs__GMIS_FID_,Tampa_pcs__GMIS_COUNT,Tampa_pcs__GMIS_AREA,Tampa_pcs__GMIS_MEAN
-1,Tampa,1,28.324529999999999,-82.357619999999997,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,0,0,0,32,28800.000000000000000,12.093750000000000
-1,Tampa,2,28.193449999999999,-82.637519999999995,6,6,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,1,1,1,35,31500.000000000000000,58.514285714300001
-1,Tampa,3,28.084309999999999,-82.503479999999996,14,14,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,2,2,2,35,31500.000000000000000,75.914285714299993
-1,Tampa,4,27.970340000000000,-82.460200000000000,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,3,3,3,35,31500.000000000000000,48.942857142900003
-1,Tampa,5,27.945930000000001,-82.463870000000000,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,4,4,4,36,32400.000000000000000,52.166666666700003
-1,Tampa,6,27.981410000000000,-82.386319999999998,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,5,5,5,35,31500.000000000000000,33.857142857100001
-1,Tampa,7,27.990290000000002,-82.239329999999995,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,6,6,6,36,32400.000000000000000,41.361111111100001
-1,Tampa,8,27.993020000000001,-82.224680000000006,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,7,7,7,32,28800.000000000000000,31.218750000000000
-1,Tampa,9,27.996720000000000,-82.210449999999994,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,8,8,8,35,31500.000000000000000,21.971428571400001
-1,Tampa,10,28.006090000000000,-82.174229999999994,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,9,9,9,35,31500.000000000000000,14.685714285700000
-1,Tampa,11,28.009760000000000,-82.163740000000004,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,10,10,10,36,32400.000000000000000,15.472222222199999
-1,Tampa,12,28.018260000000001,-82.105069999999998,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,11,11,11,34,30600.000000000000000,54.588235294100002
-1,Tampa,13,28.020769999999999,-82.092929999999996,15,14,0.933000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,12,12,12,36,32400.000000000000000,28.305555555600002
-1,Tampa,14,28.035470000000000,-82.017529999999994,15,14,0.933000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,13,13,13,35,31500.000000000000000,31.314285714299999
-1,Tampa,15,28.039310000000000,-82.002790000000005,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,100.000000000000000,14,14,14,36,32400.000000000000000,80.527777777799997
