OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Loja_pcs__GMIS_OID,Loja_pcs__GMIS_FID_,Loja_pcs__GMIS_COUNT,Loja_pcs__GMIS_AREA,Loja_pcs__GMIS_MEAN
-1,Loja,3,-4.062000000000000,-79.197100000000006,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,7.165500000000000,7.539700000000000,0.950400000000000,100.000000000000000,2,0,2,32,28800.000000000000000,1.125000000000000
-1,Loja,4,-4.060600000000000,-79.197000000000003,20,8,0.400000000000000,-3.997781000000000,-79.202451999999994,South America,7.011300000000000,7.539700000000000,0.929900000000000,100.000000000000000,3,1,3,31,27900.000000000000000,0.806451612903000
-1,Loja,5,-4.059400000000000,-79.196700000000007,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.881400000000000,7.539700000000000,0.912700000000000,100.000000000000000,4,2,4,28,25200.000000000000000,5.714285714290000
-1,Loja,6,-4.056900000000000,-79.197400000000002,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.597600000000000,7.539700000000000,0.875000000000000,100.000000000000000,5,3,5,35,31500.000000000000000,0.000000000000000
-1,Loja,8,-4.053800000000000,-79.198899999999995,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.241500000000000,7.539700000000000,0.827800000000000,100.000000000000000,7,4,7,36,32400.000000000000000,0.000000000000000
-1,Loja,9,-4.052000000000000,-79.198300000000003,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.046400000000000,7.539700000000000,0.801900000000000,100.000000000000000,8,5,8,35,31500.000000000000000,0.000000000000000
-1,Loja,10,-4.049900000000000,-79.197800000000001,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,5.818300000000000,7.539700000000000,0.771700000000000,100.000000000000000,9,6,9,35,31500.000000000000000,0.000000000000000
-1,Loja,11,-4.048100000000000,-79.197900000000004,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,5.618000000000000,7.539700000000000,0.745100000000000,100.000000000000000,10,7,10,35,31500.000000000000000,0.000000000000000
-1,Loja,13,-4.044200000000000,-79.198300000000003,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,5.182100000000000,7.539700000000000,0.687300000000000,100.000000000000000,12,8,12,36,32400.000000000000000,0.000000000000000
-1,Loja,14,-4.042400000000000,-79.199799999999996,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,4.970100000000000,7.539700000000000,0.659200000000000,100.000000000000000,13,9,13,36,32400.000000000000000,24.527777777800001
