OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Reading_pcs__GMIS_OID,Reading_pcs__GMIS_FID_,Reading_pcs__GMIS_COUNT,Reading_pcs__GMIS_AREA,Reading_pcs__GMIS_MEAN
-1,Reading,1,51.454310000000000,-0.972860000000000,15,15,1.000000000000000,51.455039999999997,-0.969090000000000,Europe,0.273500000000000,9.240200000000000,0.029600000000000,100.000000000000000,0,0,0,32,28800.000000000000000,84.812500000000000
-1,Reading,2,51.458060000000003,-0.972040000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,0.393100000000000,9.240200000000000,0.042500000000000,100.000000000000000,1,1,1,36,32400.000000000000000,99.500000000000000
-1,Reading,3,51.456710000000001,-0.969160000000000,15,10,0.667000000000000,51.455039999999997,-0.969090000000000,Europe,0.185800000000000,9.240200000000000,0.020100000000000,100.000000000000000,2,2,2,36,32400.000000000000000,68.138888888899999
-1,Reading,4,51.457259999999998,-0.965980000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,0.327700000000000,9.240200000000000,0.035500000000000,100.000000000000000,3,3,3,37,33300.000000000000000,68.189189189199993
-1,Reading,5,51.455779999999997,-0.964730000000000,15,1,0.067000000000000,51.455039999999997,-0.969090000000000,Europe,0.313100000000000,9.240200000000000,0.033900000000000,100.000000000000000,4,4,4,35,31500.000000000000000,61.600000000000001
-1,Reading,6,51.453629999999997,-0.965630000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,0.286500000000000,9.240200000000000,0.031000000000000,100.000000000000000,5,5,5,34,30600.000000000000000,86.852941176499996
-1,Reading,7,51.451099999999997,-0.963570000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,0.581600000000000,9.240200000000000,0.062900000000000,100.000000000000000,6,6,6,35,31500.000000000000000,87.657142857099998
-1,Reading,8,51.448349999999998,-0.961040000000000,15,13,0.867000000000000,51.455039999999997,-0.969090000000000,Europe,0.929800000000000,9.240200000000000,0.100600000000000,100.000000000000000,7,7,7,35,31500.000000000000000,53.428571428600002
-1,Reading,9,51.446300000000001,-0.959050000000000,15,1,0.067000000000000,51.455039999999997,-0.969090000000000,Europe,1.195200000000000,9.240200000000000,0.129300000000000,100.000000000000000,8,8,8,36,32400.000000000000000,21.194444444399998
-1,Reading,10,51.444270000000003,-0.957290000000000,15,1,0.067000000000000,51.455039999999997,-0.969090000000000,Europe,1.450100000000000,9.240200000000000,0.156900000000000,100.000000000000000,9,9,9,32,28800.000000000000000,44.437500000000000
-1,Reading,11,51.442369999999997,-0.956040000000000,15,11,0.733000000000000,51.455039999999997,-0.969090000000000,Europe,1.674100000000000,9.240200000000000,0.181200000000000,100.000000000000000,10,10,10,32,28800.000000000000000,57.218750000000000
-1,Reading,12,51.440350000000002,-0.953700000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,1.950800000000000,9.240200000000000,0.211100000000000,100.000000000000000,11,11,11,35,31500.000000000000000,30.257142857100000
-1,Reading,13,51.438879999999997,-0.951900000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,2.155900000000000,9.240200000000000,0.233300000000000,100.000000000000000,12,12,12,35,31500.000000000000000,22.800000000000001
-1,Reading,14,51.436860000000003,-0.950140000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,2.410700000000000,9.240200000000000,0.260900000000000,100.000000000000000,13,13,13,35,31500.000000000000000,13.571428571400000
-1,Reading,15,51.435079999999999,-0.948380000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,2.643100000000000,9.240200000000000,0.286000000000000,100.000000000000000,14,14,14,35,31500.000000000000000,17.228571428599999
-1,Reading,16,51.433259999999997,-0.946580000000000,15,0,0.000000000000000,51.455039999999997,-0.969090000000000,Europe,2.880800000000000,9.240200000000000,0.311800000000000,100.000000000000000,15,15,15,34,30600.000000000000000,5.117647058820000
