OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Bradford_pcs__GMIS_OID,Bradford_pcs__GMIS_FID_,Bradford_pcs__GMIS_COUNT,Bradford_pcs__GMIS_AREA,Bradford_pcs__GMIS_MEAN
-1,Bradford,1,44.110750000000003,-79.575007999999997,NA,NA,0.350000000000000,44.114297000000001,-79.564777000000007,North America,0.907032742487000,7.221641727680000,0.125600000000000,100.000000000000000,0,0,0,36,32400.000000000000000,41.972222222200003
-1,Bradford,2,44.111072000000000,-79.578282999999999,NA,NA,0.350000000000000,44.114297000000001,-79.564777000000007,North America,1.136318191470000,7.221641727680000,0.157300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,62.828571428600000
-1,Bradford,3,44.109583999999998,-79.580637999999993,NA,NA,0.100000000000000,44.114297000000001,-79.564777000000007,North America,1.370436983160000,7.221641727680000,0.189800000000000,100.000000000000000,2,2,2,37,33300.000000000000000,72.027027027000003
-1,Bradford,4,44.109178000000000,-79.582336999999995,NA,NA,0.250000000000000,44.114297000000001,-79.564777000000007,North America,1.513070974980000,7.221641727680000,0.209500000000000,100.000000000000000,3,3,3,26,23400.000000000000000,51.730769230800000
-1,Bradford,5,44.109440999999997,-79.585729000000001,NA,NA,0.300000000000000,44.114297000000001,-79.564777000000007,North America,1.757715151500000,7.221641727680000,0.243400000000000,100.000000000000000,4,4,4,33,29700.000000000000000,81.575757575799997
-1,Bradford,6,44.108162999999998,-79.586706000000007,NA,NA,0.200000000000000,44.114297000000001,-79.564777000000007,North America,1.878913575470000,7.221641727680000,0.260200000000000,100.000000000000000,5,5,5,32,28800.000000000000000,64.968750000000000
-1,Bradford,7,44.108901000000003,-79.590377000000004,NA,NA,0.350000000000000,44.114297000000001,-79.564777000000007,North America,2.130063211530000,7.221641727680000,0.295000000000000,100.000000000000000,6,6,6,37,33300.000000000000000,77.864864864899999
-1,Bradford,8,44.108055999999998,-79.593402999999995,NA,NA,0.400000000000000,44.114297000000001,-79.564777000000007,North America,2.388450417340000,7.221641727680000,0.330700000000000,100.000000000000000,7,7,7,37,33300.000000000000000,52.729729729699997
-1,Bradford,9,44.107443000000004,-79.596230000000006,NA,NA,0.100000000000000,44.114297000000001,-79.564777000000007,North America,2.624229744100000,7.221641727680000,0.363400000000000,100.000000000000000,8,8,8,32,28800.000000000000000,61.687500000000000
-1,Bradford,10,44.106838000000003,-79.599175000000002,NA,NA,0.200000000000000,44.114297000000001,-79.564777000000007,North America,2.868770284300000,7.221641727680000,0.397200000000000,100.000000000000000,9,9,9,35,31500.000000000000000,66.114285714299996
-1,Bradford,11,44.106839999999998,-79.601811999999995,NA,NA,0.350000000000000,44.114297000000001,-79.564777000000007,North America,3.070854674770000,7.221641727680000,0.425200000000000,100.000000000000000,10,10,10,36,32400.000000000000000,62.472222222200003
-1,Bradford,12,44.105572000000002,-79.606044999999995,NA,NA,0.300000000000000,44.114297000000001,-79.564777000000007,North America,3.434647993310000,7.221641727680000,0.475600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,19.257142857100000
-1,Bradford,13,44.103769999999997,-79.611936000000000,NA,NA,0.250000000000000,44.114297000000001,-79.564777000000007,North America,3.942924386390000,7.221641727680000,0.546000000000000,100.000000000000000,12,12,12,35,31500.000000000000000,7.628571428570000
-1,Bradford,14,44.101540000000000,-79.621072999999996,NA,NA,0.300000000000000,44.114297000000001,-79.564777000000007,North America,4.713270933310000,7.221641727680000,0.652700000000000,100.000000000000000,13,13,13,32,28800.000000000000000,8.125000000000000
-1,Bradford,15,44.100517000000004,-79.624617000000001,NA,NA,0.150000000000000,44.114297000000001,-79.564777000000007,North America,5.017438190330000,7.221641727680000,0.694800000000000,100.000000000000000,14,14,14,35,31500.000000000000000,37.085714285700000
-1,Bradford,16,44.099361000000002,-79.639301000000003,NA,NA,0.200000000000000,44.114297000000001,-79.564777000000007,North America,6.177636728640000,7.221641727680000,0.855400000000000,100.000000000000000,15,15,15,36,32400.000000000000000,6.750000000000000
-1,Bradford,17,44.097039000000002,-79.642117999999996,NA,NA,0.050000000000000,44.114297000000001,-79.564777000000007,North America,6.466542577800000,7.221641727680000,0.895400000000000,100.000000000000000,16,16,16,34,30600.000000000000000,8.294117647060000
-1,Bradford,18,44.096269999999997,-79.644496000000004,NA,NA,0.550000000000000,44.114297000000001,-79.564777000000007,North America,6.673322236890000,7.221641727680000,0.924100000000000,100.000000000000000,17,17,17,34,30600.000000000000000,7.147058823530000
-1,Bradford,19,44.096037000000003,-79.646957000000000,NA,NA,0.263157895000000,44.114297000000001,-79.564777000000007,North America,6.868626598980000,7.221641727680000,0.951100000000000,100.000000000000000,18,18,18,35,31500.000000000000000,9.171428571430001
-1,Bradford,20,44.095523000000000,-79.651360999999994,NA,NA,0.250000000000000,44.114297000000001,-79.564777000000007,North America,7.221641727680000,7.221641727680000,1.000000000000000,100.000000000000000,19,19,19,37,33300.000000000000000,6.432432432430000
