OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Atlantic_City_pcs__GMIS_OID,Atlantic_City_pcs__GMIS_FID_,Atlantic_City_pcs__GMIS_COUNT,Atlantic_City_pcs__GMIS_AREA,Atlantic_City_pcs__GMIS_MEAN
-1,Atlantic_City,1,39.192700000000002,-74.822479999999999,17,9,0.529000000000000,39.356273000000002,-74.436074000000005,USA,North America,37.909500000000001,37.909500000000001,1,100.000000000000000,0,0,0,35,31500.000000000000000,3.200000000000000
-1,Atlantic_City,2,39.197029999999998,-74.810609999999997,19,6,0.316000000000000,39.356273000000002,-74.436074000000005,USA,North America,36.781199999999998,37.909500000000001,1,100.000000000000000,1,1,1,35,31500.000000000000000,0.371428571429000
-1,Atlantic_City,3,39.197800000000001,-74.805160000000001,18,6,0.333000000000000,39.356273000000002,-74.436074000000005,USA,North America,36.328899999999997,37.909500000000001,1,100.000000000000000,2,2,2,36,32400.000000000000000,0.000000000000000
-1,Atlantic_City,4,39.202809999999999,-74.793710000000004,17,5,0.294000000000000,39.356273000000002,-74.436074000000005,USA,North America,35.195900000000002,37.909500000000001,1,100.000000000000000,3,3,3,32,28800.000000000000000,1.875000000000000
-1,Atlantic_City,5,39.210090000000001,-74.782399999999996,20,5,0.250000000000000,39.356273000000002,-74.436074000000005,USA,North America,33.951500000000003,37.909500000000001,1,100.000000000000000,4,4,4,36,32400.000000000000000,1.500000000000000
-1,Atlantic_City,6,39.221209999999999,-74.778760000000005,18,2,0.111000000000000,39.356273000000002,-74.436074000000005,USA,North America,33.095599999999997,37.909500000000001,1,100.000000000000000,5,5,5,35,31500.000000000000000,25.199999999999999
-1,Atlantic_City,7,39.225850000000001,-74.773910000000001,19,6,0.316000000000000,39.356273000000002,-74.436074000000005,USA,North America,32.489800000000002,37.909500000000001,1,100.000000000000000,6,6,6,35,31500.000000000000000,17.971428571400001
-1,Atlantic_City,8,39.235639999999997,-74.767169999999993,17,6,0.353000000000000,39.356273000000002,-74.436074000000005,USA,North America,31.491199999999999,37.909500000000001,1,100.000000000000000,7,7,7,36,32400.000000000000000,4.500000000000000
-1,Atlantic_City,9,39.240240000000000,-74.760350000000003,18,5,0.278000000000000,39.356273000000002,-74.436074000000005,USA,North America,30.742200000000000,37.909500000000001,1,100.000000000000000,8,8,8,37,33300.000000000000000,0.432432432432000
-1,Atlantic_City,10,39.244000000000000,-74.749719999999996,19,8,0.421000000000000,39.356273000000002,-74.436074000000005,USA,North America,29.735800000000001,37.909500000000001,1,100.000000000000000,9,9,9,35,31500.000000000000000,2.942857142860000
-1,Atlantic_City,11,39.248930000000001,-74.739069999999998,20,7,0.350000000000000,39.356273000000002,-74.436074000000005,USA,North America,28.673400000000001,37.909500000000001,1,100.000000000000000,10,10,10,35,31500.000000000000000,1.257142857140000
-1,Atlantic_City,12,39.251800000000003,-74.728530000000006,18,5,0.278000000000000,39.356273000000002,-74.436074000000005,USA,North America,27.715599999999998,37.909500000000001,1,100.000000000000000,11,11,11,35,31500.000000000000000,2.857142857140000
-1,Atlantic_City,14,39.261099999999999,-74.708939999999998,18,9,0.500000000000000,39.356273000000002,-74.436074000000005,USA,North America,25.751400000000000,37.909500000000001,1,100.000000000000000,13,12,13,35,31500.000000000000000,2.685714285710000
-1,Atlantic_City,15,39.261479999999999,-74.699939999999998,17,4,0.235000000000000,39.356273000000002,-74.436074000000005,USA,North America,25.029699999999998,37.909500000000001,1,100.000000000000000,14,13,14,35,31500.000000000000000,7.057142857140000
-1,Atlantic_City,16,39.259709999999998,-74.690910000000002,17,7,0.412000000000000,39.356273000000002,-74.436074000000005,USA,North America,24.413399999999999,37.909500000000001,1,100.000000000000000,15,14,15,35,31500.000000000000000,0.714285714286000
-1,Atlantic_City,17,39.257420000000003,-74.678489999999996,20,9,0.450000000000000,39.356273000000002,-74.436074000000005,USA,North America,23.576300000000000,37.909500000000001,1,100.000000000000000,16,15,16,33,29700.000000000000000,0.757575757576000
-1,Atlantic_City,18,39.263509999999997,-74.669030000000006,20,12,0.600000000000000,39.356273000000002,-74.436074000000005,USA,North America,22.540900000000001,37.909500000000001,1,100.000000000000000,17,16,17,35,31500.000000000000000,3.228571428570000
-1,Atlantic_City,19,39.266399999999997,-74.655410000000003,19,7,0.368000000000000,39.356273000000002,-74.436074000000005,USA,North America,21.353000000000002,37.909500000000001,1,100.000000000000000,18,17,18,36,32400.000000000000000,36.527777777799997
-1,Atlantic_City,20,39.264650000000003,-74.647589999999994,18,12,0.667000000000000,39.356273000000002,-74.436074000000005,USA,North America,20.855399999999999,37.909500000000001,1,100.000000000000000,19,18,19,36,32400.000000000000000,53.638888888899999
