OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Kalamazoo_pcs__GMIS_OID,Kalamazoo_pcs__GMIS_FID_,Kalamazoo_pcs__GMIS_COUNT,Kalamazoo_pcs__GMIS_AREA,Kalamazoo_pcs__GMIS_MEAN
-1,Kalamazoo,1,42.277625000000000,-85.587393000000006,20,4,0.200000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.369900000000000,8.461700000000000,0.161900000000000,100.000000000000000,0,0,0,35,31500.000000000000000,24.142857142899999
-1,Kalamazoo,2,42.280684999999998,-85.587155999999993,19,2,0.105000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.031600000000000,8.461700000000000,0.121900000000000,100.000000000000000,1,1,1,35,31500.000000000000000,21.771428571400001
-1,Kalamazoo,3,42.282749000000003,-85.587377000000004,19,5,0.263000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.812700000000000,8.461700000000000,0.096000000000000,100.000000000000000,2,2,2,35,31500.000000000000000,16.914285714300000
-1,Kalamazoo,4,42.285023000000002,-85.587331000000006,20,5,0.250000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.572200000000000,8.461700000000000,0.067600000000000,100.000000000000000,3,3,3,34,30600.000000000000000,23.500000000000000
-1,Kalamazoo,5,42.287340000000000,-85.587261999999996,20,6,0.300000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.344600000000000,8.461700000000000,0.040700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,64.342857142900002
-1,Kalamazoo,6,42.289833999999999,-85.586979999999997,20,4,0.200000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.189400000000000,8.461700000000000,0.022400000000000,100.000000000000000,5,5,5,34,30600.000000000000000,69.147058823500004
-1,Kalamazoo,7,42.292476999999998,-85.587468000000001,20,5,0.250000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.377600000000000,8.461700000000000,0.044600000000000,100.000000000000000,6,6,6,37,33300.000000000000000,89.351351351399998
-1,Kalamazoo,8,42.294322999999999,-85.587512000000004,20,2,0.100000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.556300000000000,8.461700000000000,0.065700000000000,100.000000000000000,7,7,7,37,33300.000000000000000,87.648648648600002
-1,Kalamazoo,9,42.296287000000000,-85.587576999999996,20,5,0.250000000000000,42.289780000000000,-85.584678999999994,USA,North America,0.761800000000000,8.461700000000000,0.090000000000000,100.000000000000000,8,8,8,34,30600.000000000000000,86.029411764700001
-1,Kalamazoo,10,42.298831999999997,-85.587622999999994,20,2,0.100000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.035300000000000,8.461700000000000,0.122400000000000,100.000000000000000,9,9,9,35,31500.000000000000000,26.828571428600000
-1,Kalamazoo,11,42.301420000000000,-85.587698000000003,20,5,0.250000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.317900000000000,8.461700000000000,0.155700000000000,100.000000000000000,10,10,10,35,31500.000000000000000,8.628571428570000
-1,Kalamazoo,12,42.303314999999998,-85.587740999999994,20,10,0.500000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.525900000000000,8.461700000000000,0.180300000000000,100.000000000000000,11,11,11,36,32400.000000000000000,13.416666666699999
-1,Kalamazoo,13,42.305571999999998,-85.587575000000001,20,7,0.350000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.772100000000000,8.461700000000000,0.209400000000000,100.000000000000000,12,12,12,35,31500.000000000000000,7.142857142860000
-1,Kalamazoo,14,42.307504999999999,-85.587593999999996,19,4,0.211000000000000,42.289780000000000,-85.584678999999994,USA,North America,1.985500000000000,8.461700000000000,0.234600000000000,100.000000000000000,13,13,13,36,32400.000000000000000,5.361111111110000
-1,Kalamazoo,15,42.309483999999998,-85.589882000000003,19,6,0.316000000000000,42.289780000000000,-85.584678999999994,USA,North America,2.232400000000000,8.461700000000000,0.263800000000000,100.000000000000000,14,14,14,36,32400.000000000000000,13.916666666699999
-1,Kalamazoo,16,42.311478999999999,-85.589916000000002,20,5,0.250000000000000,42.289780000000000,-85.584678999999994,USA,North America,2.451000000000000,8.461700000000000,0.289700000000000,100.000000000000000,15,15,15,32,28800.000000000000000,28.343750000000000
