OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Louisville_pcs__GMIS_OID,Louisville_pcs__GMIS_FID_,Louisville_pcs__GMIS_COUNT,Louisville_pcs__GMIS_AREA,Louisville_pcs__GMIS_MEAN
-1,Louisville,1,38.192129999999999,-85.527190000000004,16,0,0.000000000000000,38.256605999999998,-85.756595000000004,North America,21.283300000000001,40.364500000000000,0.527300000000000,100.000000000000000,0,0,0,35,31500.000000000000000,5.371428571430000
-1,Louisville,2,38.223089999999999,-85.731880000000004,16,8,0.500000000000000,38.256605999999998,-85.756595000000004,North America,4.306800000000000,40.364500000000000,0.106700000000000,100.000000000000000,1,1,1,35,31500.000000000000000,46.057142857099997
-1,Louisville,3,38.235650000000000,-85.703389999999999,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,5.197900000000000,40.364500000000000,0.128800000000000,100.000000000000000,2,2,2,35,31500.000000000000000,17.685714285700001
-1,Louisville,4,38.254049999999999,-85.757350000000002,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,0.291800000000000,40.364500000000000,0.007200000000000,100.000000000000000,3,3,3,34,30600.000000000000000,91.352941176499996
-1,Louisville,5,38.213500000000003,-85.746700000000004,16,6,0.375000000000000,38.256605999999998,-85.756595000000004,North America,4.870500000000000,40.364500000000000,0.120700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,54.628571428599997
-1,Louisville,6,38.234999999999999,-85.464299999999994,16,3,0.188000000000000,38.256605999999998,-85.756595000000004,North America,25.638400000000001,40.364500000000000,0.635200000000000,100.000000000000000,5,5,5,35,31500.000000000000000,2.942857142860000
-1,Louisville,7,38.202800000000003,-85.560199999999995,16,4,0.250000000000000,38.256605999999998,-85.756595000000004,North America,18.167999999999999,40.364500000000000,0.450100000000000,100.000000000000000,6,6,6,35,31500.000000000000000,43.399999999999999
-1,Louisville,8,38.083799999999997,-85.636899999999997,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,21.879400000000000,40.364500000000000,0.542000000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.416666666667000
-1,Louisville,9,38.264730000000000,-85.604150000000004,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,13.340700000000000,40.364500000000000,0.330500000000000,100.000000000000000,8,8,8,34,30600.000000000000000,26.911764705900001
-1,Louisville,10,38.277299999999997,-85.554599999999994,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,17.784199999999998,40.364500000000000,0.440600000000000,100.000000000000000,9,9,9,35,31500.000000000000000,6.600000000000000
-1,Louisville,11,38.250819999999997,-85.541520000000006,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,18.791100000000000,40.364500000000000,0.465500000000000,100.000000000000000,10,10,10,35,31500.000000000000000,15.342857142900000
-1,Louisville,12,38.201929999999997,-85.757980000000003,16,0,0.000000000000000,38.256605999999998,-85.756595000000004,North America,6.080900000000000,40.364500000000000,0.150600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,82.142857142899999
-1,Louisville,13,38.213999999999999,-85.757999999999996,16,6,0.375000000000000,38.256605999999998,-85.756595000000004,North America,4.739200000000000,40.364500000000000,0.117400000000000,100.000000000000000,12,12,12,35,31500.000000000000000,65.228571428600006
-1,Louisville,14,38.217900000000000,-85.700999999999993,16,5,0.312000000000000,38.256605999999998,-85.756595000000004,North America,6.488500000000000,40.364500000000000,0.160700000000000,100.000000000000000,13,13,13,35,31500.000000000000000,20.199999999999999
-1,Louisville,15,38.212299999999999,-85.703900000000004,16,3,0.188000000000000,38.256605999999998,-85.756595000000004,North America,6.742000000000000,40.364500000000000,0.167000000000000,100.000000000000000,14,14,14,36,32400.000000000000000,3.388888888890000
-1,Louisville,16,38.052000000000000,-85.536400000000000,16,5,0.312000000000000,38.256605999999998,-85.756595000000004,North America,29.804500000000001,40.364500000000000,0.738400000000000,100.000000000000000,15,15,15,37,33300.000000000000000,62.081081081100002
-1,Louisville,17,38.255200000000002,-85.735399999999998,16,7,0.438000000000000,38.256605999999998,-85.756595000000004,North America,1.857300000000000,40.364500000000000,0.046000000000000,100.000000000000000,16,16,16,36,32400.000000000000000,69.888888888899999
-1,Louisville,18,38.192399999999999,-85.682800000000000,16,4,0.250000000000000,38.256605999999998,-85.756595000000004,North America,9.619000000000000,40.364500000000000,0.238300000000000,100.000000000000000,17,17,17,34,30600.000000000000000,64.088235294100002
-1,Louisville,19,38.121400000000001,-85.598699999999994,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,20.407200000000000,40.364500000000000,0.505600000000000,100.000000000000000,18,18,18,35,31500.000000000000000,20.800000000000001
-1,Louisville,20,38.040199999999999,-85.566299999999998,16,0,0.000000000000000,38.256605999999998,-85.756595000000004,North America,29.256499999999999,40.364500000000000,0.724800000000000,100.000000000000000,19,19,19,36,32400.000000000000000,9.388888888890000
-1,Louisville,21,38.113140000000001,-85.371740000000003,16,6,0.375000000000000,38.256605999999998,-85.756595000000004,North America,37.228000000000002,40.364500000000000,0.922300000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.457142857143000
-1,Louisville,22,38.189819999999997,-85.555560000000000,16,4,0.250000000000000,38.256605999999998,-85.756595000000004,North America,19.067100000000000,40.364500000000000,0.472400000000000,100.000000000000000,21,21,21,35,31500.000000000000000,18.457142857099999
-1,Louisville,23,38.168480000000002,-85.491470000000007,16,5,0.312000000000000,38.256605999999998,-85.756595000000004,North America,25.151000000000000,40.364500000000000,0.623100000000000,100.000000000000000,22,22,22,34,30600.000000000000000,0.000000000000000
-1,Louisville,24,38.123289999999997,-85.417460000000005,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,33.139299999999999,40.364500000000000,0.821000000000000,100.000000000000000,23,23,23,34,30600.000000000000000,0.000000000000000
-1,Louisville,25,38.165599999999998,-85.700900000000004,16,5,0.312000000000000,38.256605999999998,-85.756595000000004,North America,11.228600000000000,40.364500000000000,0.278200000000000,100.000000000000000,24,24,24,37,33300.000000000000000,78.972972972999997
-1,Louisville,26,38.193049999999999,-85.679850000000002,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,9.741000000000000,40.364500000000000,0.241300000000000,100.000000000000000,25,25,25,35,31500.000000000000000,45.114285714300003
