city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Tampa,1,28.324529,-82.357619,15,15,1,27.94742,-82.458778,USA,North America,43.0898,45.9219,0.9383,10.846153846153847
Tampa,2,28.193446,-82.637518,6,6,1,27.94742,-82.458778,USA,North America,32.4953,45.9219,0.7076,62.15384615384615
Tampa,3,28.084311,-82.50348000000001,14,14,1,27.94742,-82.458778,USA,North America,15.8415,45.9219,0.345,75.21052631578948
Tampa,4,27.970340000000004,-82.460203,15,15,1,27.94742,-82.458778,USA,North America,2.5524,45.9219,0.0556,52.078947368421055
Tampa,5,27.945929,-82.46386700000001,15,15,1,27.94742,-82.458778,USA,North America,0.5267,45.9219,0.0115,54.92307692307692
Tampa,6,27.981413,-82.38632,15,15,1,27.94742,-82.458778,USA,North America,8.0578,45.9219,0.1755,30.625
Tampa,7,27.990292999999998,-82.239326,15,15,1,27.94742,-82.458778,USA,North America,22.0728,45.9219,0.4807,42.78947368421053
Tampa,8,27.993018,-82.224685,15,15,1,27.94742,-82.458778,USA,North America,23.5419,45.9219,0.5127,29.105263157894736
Tampa,9,27.996722,-82.210449,15,15,1,27.94742,-82.458778,USA,North America,24.9957,45.9219,0.5443,21.615384615384617
Tampa,10,28.006086,-82.174234,15,15,1,27.94742,-82.458778,USA,North America,28.6937,45.9219,0.6248,13.195121951219512
Tampa,11,28.009763,-82.163742,15,15,1,27.94742,-82.458778,USA,North America,29.79,45.9219,0.6487,13.682926829268293
Tampa,12,28.018261,-82.10507199999999,15,15,1,27.94742,-82.458778,USA,North America,35.6142,45.9219,0.7755,57.1219512195122
Tampa,13,28.020768,-82.092934,15,14,0.933,27.94742,-82.458778,USA,North America,36.8378,45.9219,0.8022,22.333333333333332
Tampa,14,28.035472,-82.017525,15,14,0.933,27.94742,-82.458778,USA,North America,44.4178,45.9219,0.9672,36.275
Tampa,15,28.039306,-82.00279499999999,15,15,1,27.94742,-82.458778,USA,North America,45.9219,45.9219,1,81.34210526315789
