city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Denver,9,1,1,39.6753,-104.979,Suburban,0
Denver,9,2,1,39.6753,-104.979,Suburban,0
Denver,9,3,1,39.6753,-104.979,Suburban,0
Denver,9,4,1,39.6753,-104.979,Suburban,0
Denver,9,5,1,39.6753,-104.979,Suburban,1
Denver,9,6,1,39.6753,-104.979,Suburban,0
Denver,9,7,1,39.6753,-104.979,Suburban,0
Denver,9,8,1,39.6753,-104.979,Suburban,0
Denver,9,9,1,39.6753,-104.979,Suburban,0
Denver,9,10,1,39.6753,-104.979,Suburban,0
Denver,9,11,1,39.6753,-104.979,Suburban,0
Denver,9,12,1,39.6753,-104.979,Suburban,0
Denver,9,13,1,39.6753,-104.979,Suburban,1
Denver,9,14,1,39.6753,-104.979,Suburban,0
Denver,9,15,1,39.6753,-104.979,Suburban,0
Denver,9,16,1,39.6753,-104.979,Suburban,0
Denver,9,17,1,39.6753,-104.979,Suburban,1
Denver,9,18,1,39.6753,-104.979,Suburban,0
Denver,9,19,1,39.6753,-104.979,Suburban,0
Denver,9,20,1,39.6753,-104.979,Suburban,0
Denver,10,1,1,39.6702,-104.9841,Suburban,0
Denver,10,2,1,39.6702,-104.9841,Suburban,0
Denver,10,3,1,39.6702,-104.9841,Suburban,0
Denver,10,4,1,39.6702,-104.9841,Suburban,0
Denver,10,5,1,39.6702,-104.9841,Suburban,0
Denver,10,6,1,39.6702,-104.9841,Suburban,0
Denver,10,7,1,39.6702,-104.9841,Suburban,0
Denver,10,8,1,39.6702,-104.9841,Suburban,0
Denver,10,9,1,39.6702,-104.9841,Suburban,0
Denver,10,10,1,39.6702,-104.9841,Suburban,0
Denver,10,11,1,39.6702,-104.9841,Suburban,1
Denver,10,12,1,39.6702,-104.9841,Suburban,0
Denver,10,13,1,39.6702,-104.9841,Suburban,0
Denver,10,14,1,39.6702,-104.9841,Suburban,1
Denver,10,15,1,39.6702,-104.9841,Suburban,0
Denver,10,16,1,39.6702,-104.9841,Suburban,0
Denver,10,17,1,39.6702,-104.9841,Suburban,0
Denver,10,18,1,39.6702,-104.9841,Suburban,0
Denver,10,19,1,39.6702,-104.9841,Suburban,0
Denver,10,20,1,39.6702,-104.9841,Suburban,1
Denver,11,1,1,39.659,-104.9795,Suburban,1
Denver,11,2,1,39.659,-104.9795,Suburban,0
Denver,11,3,1,39.659,-104.9795,Suburban,0
Denver,11,4,1,39.659,-104.9795,Suburban,1
Denver,11,5,1,39.659,-104.9795,Suburban,0
Denver,11,6,1,39.659,-104.9795,Suburban,0
Denver,11,7,1,39.659,-104.9795,Suburban,1
Denver,11,8,2,39.659,-104.9795,Suburban,1
Denver,11,9,2,39.659,-104.9795,Suburban,0
Denver,11,10,2,39.659,-104.9795,Suburban,1
Denver,11,11,2,39.659,-104.9795,Suburban,0
Denver,11,12,2,39.659,-104.9795,Suburban,1
Denver,11,13,2,39.659,-104.9795,Suburban,0
Denver,11,14,2,39.659,-104.9795,Suburban,0
Denver,11,15,2,39.659,-104.9795,Suburban,0
Denver,11,16,2,39.659,-104.9795,Suburban,0
