Sample Results,,,,,,,,,,
,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,320 Raw,260,280,260/280,ng/µL
1,SPL1,Tor95.1,A2,0.212,0.155,0.062,0.16,0.101,1.586,159.996
1,SPL2,Tor95.2,B2,0.27,0.188,0.067,0.22,0.131,1.677,220.227
1,SPL3,Tor95.3,C2,0.244,0.184,0.08,0.175,0.112,1.568,175.238
1,SPL4,Tor95.4,D2,0.274,0.186,0.062,0.229,0.134,1.713,228.945
1,SPL5,Tor95.5,E2,0.201,0.144,0.058,0.152,0.092,1.645,152.039
1,SPL6,Tor95.6,F2,0.232,0.171,0.073,0.168,0.104,1.617,168.214
1,SPL7,Tor95.7,G2,0.157,0.118,0.055,0.106,0.066,1.595,106.017
1,SPL8,Tor95.8,H2,0.205,0.155,0.079,0.133,0.081,1.648,133.113
1,SPL9,Tor95.9,A3,0.21,0.158,0.066,0.154,0.1,1.534,154.117
1,SPL10,Tor95.10,B3,0.364,0.265,0.099,0.292,0.184,1.59,292.195
1,SPL11,Tor95.11,C3,0.252,0.182,0.07,0.198,0.123,1.612,198.045
1,SPL12,Tor95.12,D3,0.319,0.226,0.081,0.261,0.159,1.639,260.772
1,SPL13,Tor95.13,E3,0.343,0.231,0.085,0.283,0.161,1.758,282.628
1,SPL14,Tor95.14,F3,0.376,0.254,0.076,0.327,0.194,1.682,326.923
1,SPL15,Tor95.15,G3,0.235,0.17,0.073,0.173,0.103,1.671,172.838
1,SPL16,Tor95.16,H3,0.136,0.112,0.073,0.063,0.039,1.609,63.435
1,SPL17,Tor95.17,A5,0.308,0.232,0.103,0.232,0.147,1.584,232.342
1,SPL18,Tor95.18,B5,0.234,0.172,0.069,0.186,0.116,1.6,185.674
1,SPL19,Tor95.19,C5,0.321,0.238,0.106,0.245,0.151,1.621,245.484
1,SPL20,Tor95.20,D5,0.173,0.125,0.052,0.137,0.083,1.65,136.534
1,SPL21,Tor96.1,E5,0.2,0.144,0.052,0.169,0.105,1.61,168.592
1,SPL22,Tor96.2,F5,0.159,0.115,0.048,0.125,0.076,1.644,125.325
1,SPL23,Tor96.3,G5,0.148,0.107,0.046,0.115,0.069,1.671,114.783
1,SPL24,Tor96.4,H5,0.167,0.121,0.053,0.128,0.076,1.678,127.775
1,SPL25,Tor96.5,A6,0.129,0.101,0.057,0.078,0.048,1.623,77.576
1,SPL26,Tor96.6,B6,0.115,0.089,0.047,0.073,0.046,1.597,73.474
1,SPL27,Tor96.7,C6,0.115,0.089,0.045,0.077,0.048,1.587,76.587
1,SPL28,Tor96.8,D6,0.142,0.107,0.047,0.106,0.068,1.556,106.373
1,SPL29,Tor96.9,E6,0.103,0.081,0.046,0.062,0.039,1.604,62.114
1,SPL30,Tor96.10,F6,0.114,0.089,0.046,0.075,0.049,1.541,75.167
1,SPL31,Tor96.11,G6,0.188,0.14,0.066,0.14,0.085,1.647,140.296
1,SPL32,Tor96.12,H6,0.113,0.09,0.052,0.066,0.042,1.586,65.855
1,SPL33,Tor96.13,A8,0.208,0.155,0.056,0.17,0.111,1.539,170.447
1,SPL34,Tor96.14,B8,0.18,0.136,0.06,0.132,0.084,1.567,131.609
1,SPL35,Tor96.15,C8,0.145,0.113,0.056,0.097,0.063,1.543,96.712
1,SPL36,Tor96.16,D8,0.186,0.141,0.062,0.136,0.087,1.551,135.597
