Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor97.1,A2,0.23,0.189,0.337,0.108,0.131,0.087,0.2,1.499,0.653,130.702
1,SPL2,Tor97.2,B2,0.184,0.154,0.246,0.098,0.091,0.06,0.11,1.516,0.828,90.767
1,SPL3,Tor97.3,C2,0.173,0.126,0.21,0.061,0.118,0.068,0.111,1.725,1.069,118.156
1,SPL4,Tor97.4,D2,0.269,0.188,0.274,0.099,0.183,0.096,0.14,1.917,1.311,183.289
1,SPL5,Tor97.5,E2,0.207,0.155,0.252,0.085,0.13,0.075,0.131,1.739,0.995,130.098
1,SPL6,Tor97.6,F2,0.514,0.44,0.657,0.291,0.242,0.161,0.35,1.5,0.691,241.6
1,SPL7,Tor97.7,G2,0.798,0.666,0.937,0.417,0.415,0.272,0.518,1.523,0.8,414.591
1,SPL8,Tor97.8,H2,0.363,0.271,0.404,0.15,0.231,0.131,0.224,1.765,1.03,230.795
1,SPL9,Tor97.9,A3,0.279,0.209,0.349,0.089,0.21,0.133,0.24,1.576,0.874,209.798
1,SPL10,Tor97.10,B3,0.301,0.213,0.306,0.094,0.229,0.131,0.185,1.744,1.237,229.299
1,SPL11,Tor97.11,C3,0.411,0.337,0.532,0.199,0.233,0.152,0.318,1.531,0.733,233.206
1,SPL12,Tor97.12,D3,0.326,0.279,0.46,0.188,0.15,0.099,0.252,1.513,0.596,149.91
1,SPL13,Tor97.13,E3,0.49,0.408,0.6,0.248,0.267,0.177,0.341,1.509,0.781,266.622
1,SPL14,Tor97.14,F3,0.237,0.171,0.242,0.082,0.163,0.093,0.123,1.755,1.329,163.072
1,SPL15,Tor97.15,G3,0.298,0.217,0.319,0.113,0.2,0.112,0.173,1.778,1.157,199.889
1,SPL16,Tor97.16,H3,0.249,0.194,0.295,0.114,0.145,0.087,0.147,1.671,0.989,145.41
1,SPL17,Tor97.17,A5,0.191,0.153,0.281,0.1,0.099,0.058,0.155,1.712,0.637,98.862
1,SPL18,Tor97.18,B5,0.43,0.348,0.491,0.212,0.249,0.156,0.271,1.588,0.918,248.539
